Complexity,Loss,Equation
1,0.9999999,"3.2088807e-5"
3,0.9200946,"weight_loss_rate_within_case_z_scaled * -0.28246352"
5,0.8450823,"fluence_rate_scaled * (fluence_rate_within_case_z_scaled * -0.23634364)"
6,0.81487864,"0.7802671 - abs(fluence_rate_scaled)"
7,0.80847645,"(rho_within_case_z_scaled * (fluence_rate_scaled * 0.3140224)) + 0.21319573"
8,0.78775936,"0.574819 - (abs(fluence_rate_scaled) * 0.73666555)"
9,0.73660386,"((theta_cos_scaled * theta_cos_scaled) - square(rho_within_case_z_scaled)) * 0.24673697"
10,0.7259169,"(abs(theta_cos_scaled) + (rho_within_case_z_scaled * fluence_rate_scaled)) * 0.3635569"
11,0.7108732,"((fluence_rate_scaled * rho_within_case_z_scaled) * 0.3374678) + square(theta_cos_scaled * 0.4450257)"
13,0.70069504,"(((theta_cos_scaled * -1.1405452) - square(rho_within_case_z_scaled)) * -0.15442733) * (theta_cos_scaled + -1.6082178)"
14,0.653575,"square(theta_cos_scaled * 0.6868323) + (abs(rho_within_case_z_scaled * theta_cos_scaled) * -0.76631427)"
16,0.64607394,"square(theta_cos_scaled * -0.6835263) + (abs((rho_within_case_z_scaled * theta_cos_scaled) + -0.10443188) * -0.7745046)"
18,0.6325217,"(0.41878295 - (rho_scaled * (rho_scaled + 0.79692525))) * ((abs(rho_scaled + 0.799151) + -2.490282) * -0.55481756)"
21,0.6253163,"square(theta_cos_scaled * 0.5103235) + (((rho_scaled * -0.07986548) - 0.052383516) * (rho_scaled * ((square(theta_cos_scaled) + fluence_rate_within_case_z_scaled) - -2.2467167)))"
22,0.58871216,"((-0.6650249 - (((abs(rho_scaled + 0.7773754) + -2.5841477) * rho_scaled) * (rho_scaled + 0.82828856))) * -0.59930027) + (theta_cos_scaled * -0.23270868)"
24,0.58868694,"((((theta_cos_scaled * 0.3856425) + 0.004805804) - ((abs(rho_scaled + 0.7823926) + -2.5990431) * (rho_scaled * (rho_scaled + 0.8265544)))) * -0.5926043) + 0.40454325"
25,0.55081856,"(0.0075052204 - (((abs(rho_scaled + 0.77312064) + -2.6108408) * (rho_scaled * (rho_scaled + 0.7460015))) * -0.5942703)) + (abs(theta_cos_scaled) * 0.53276193)"
27,0.54609483,"(((rho_scaled - -0.5281402) * (rho_scaled * -0.13483298)) * (square(theta_cos_scaled * -0.8114188) - (square(rho_scaled + 0.6578591) + -5.663913))) + square(theta_cos_scaled * 0.5666278)"
