case_id,estimated_v10_mean_residual_mpa,predicted_mean_correction_mpa,error_mpa
case_01,-0.4646518525939387,-0.6382730676736021,-0.17362121507966344
case_06,-0.7686789358781656,-0.7225141480340307,0.046164787844134914
case_10,-0.646103926728965,-0.6409984202258521,0.005105506503112922
case_11,-0.5734981524287398,-0.6174621905816711,-0.04396403815293126
case_12,-0.537236714892936,-0.6813843147806344,-0.14414759988769843
case_13,-0.41719507375935605,-0.6277421156210865,-0.21054704186173046
case_14,-0.8506197832726538,-0.6945304367560232,0.15608934651663053
case_17,-0.4304831833373792,-0.5735935207315319,-0.1431103373941527
case_18,-0.8470777708984248,-0.6963586258285486,0.15071914506987627
case_19,-0.503125390741777,-0.6005190464825196,-0.09739365574074266
case_20,-0.6893107884219289,-0.6794205167158456,0.009890271706083364
case_21,-1.3509203816737143,-0.8984991563812783,0.452421225292436
case_27,-0.9962119975834635,-0.8305209877417259,0.16569100984173757
case_28,-0.6233972795382917,-0.6588903588493922,-0.03549307931110046
case_29,-0.7710800355572303,-0.6840621328745953,0.08701790268263498
case_32,-0.885222527014148,-0.8013430257802683,0.08387950123387977
case_34,-0.6103679652510855,-0.5863340623309052,0.02403390292018026
case_35,-0.7034370618310866,-0.5243549498011855,0.1790821120299011
case_40,-0.9823542716432716,-0.6447855851135937,0.33756868652967786
case_42,-0.9936762277859995,-1.1333116403920114,-0.13963541260601187
case_43,-1.1293956418452975,-1.1566881220327652,-0.02729248018746766
case_44,-0.680187437846628,-0.6560453789711564,0.024142058875471606
case_45,-0.8342832386415951,-0.7599737094724168,0.07430952916917832
case_49,-0.7313467498134663,-0.6353539785795614,0.09599277123390482
case_51,-1.4875952566531694,-0.8560125789238571,0.6315826777293123
case_54,-0.9155043538781871,-0.673461879982566,0.24204247389562106
case_56,-1.575396708032863,-0.7842137749035385,0.7911829331293245
case_57,-0.7373107164166846,-0.6168070888590678,0.12050362755761679
case_58,-0.4152664595739226,-0.731288869125204,-0.31602240955128136
case_59,-0.5378465870763284,-0.5998813298883232,-0.062034742811994836
case_60,-1.106221271790351,-0.7024708864154705,0.4037503853748805
case_61,-0.6300722942606855,-0.6816444054079716,-0.051572111147286104
case_62,-0.6303149673114183,-0.5728249866851653,0.05748998062625299
case_64,-0.9772182388641328,-0.5608637347409426,0.4163545041231902
case_66,-1.109761414243517,-1.246803802304083,-0.137042388060566
case_69,-0.6018338260262114,-0.7028435929044834,-0.10100976687827201
case_71,-0.6632866337278422,-0.676722533628622,-0.013435899900779757
case_72,-1.0320510810980315,-0.4161970243761166,0.6158540567219148
case_73,-1.5067712062617522,-1.0046578964052304,0.5021133098565218
case_75,-0.5961480915823902,-0.6384864944694648,-0.04233840288707458
case_77,-0.5405059100743227,-0.6278545000202982,-0.0873485899459755
case_79,-0.5071710782065416,-0.6456447853456557,-0.1384737071391141
case_81,-0.6505618203842733,-0.6313950323001492,0.019166788084124198
