rbf_index,rho_fraction_center,z_fraction_center,theta_fraction_center,bandwidth,top_p99_training_rows
1,0.5094115613225029,0.01927422010712789,0.20828502660356413,0.24010442595819126,1541
2,0.48894251818186546,0.9422352565591998,0.47241094625171803,0.3316681034876941,6270
3,0.45246585120984434,0.20967086959740533,0.8344848474609048,0.35,7690
4,0.43792854298438594,0.7832286407775088,0.8896864679415275,0.3420318854922807,7992
5,0.9697147028940218,0.550088878682963,0.33132900258263315,0.35,1514
6,0.5299567770030075,0.639441702421805,0.23788920367492497,0.35,4743
