case_id,estimated_v10_mean_residual_mpa,predicted_mean_correction_mpa,error_mpa
case_01,-0.37141753292719343,-0.602413843989851,-0.23099631106265756
case_06,-0.7091759650912125,-0.7430709374240418,-0.03389497233282934
case_10,-0.5559380060246722,-0.5756718233405047,-0.019733817315832458
case_12,-0.48945615580629726,-0.6060268948680616,-0.11657073906176435
case_13,-0.33253509159229083,-0.567284898949673,-0.2347498073573822
case_14,-0.7721438057855842,-0.616497295200354,0.15564651058523016
case_15,-0.1599513911220592,-0.44885357191621855,-0.28890218079415936
case_16,-0.620840117531037,-0.6040623021834464,0.016777815347590597
case_18,-0.7684902220418297,-0.6193005512837573,0.14918967075807243
case_19,-0.42401068385657736,-0.5390093300987562,-0.11499864624217881
case_20,-0.5990676724267261,-0.6070760859702107,-0.008008413543484583
case_21,-1.2526357058728106,-0.7994872332375158,0.4531484726352948
case_24,-1.028201206146689,-0.7725042052095044,0.2556970009371846
case_27,-0.9232382331125907,-0.7649013250190584,0.1583369080935323
case_28,-0.5164744655187069,-0.5971374502402818,-0.08066298472157485
case_29,-0.7579691352661403,-0.6752031843376973,0.08276595092844297
case_32,-0.7321124834767462,-0.6819911227551103,0.050121360721635866
case_34,-0.5241159656295893,-0.5345163370945405,-0.010400371464951208
case_35,-0.6111823616697466,-0.45761087784790555,0.15357148382184105
case_36,-1.4567484257389258,-0.8983268561478834,0.5584215695910424
case_39,-0.9352089511962007,-0.612719957198572,0.32248899399762876
case_40,-0.8802657349639995,-0.5624504708443017,0.31781526411969785
case_42,-0.8360203085594052,-0.9745523318795508,-0.13853202332014558
case_43,-0.9692990630558791,-0.9959492114430752,-0.02665014838719615
case_45,-0.6921755424817376,-0.7034653733549436,-0.011289830873206008
case_47,-0.7262349406401182,-0.6969912582442048,0.02924368239591335
case_48,-0.4432772464176813,-0.5537966352643531,-0.11051938884667178
case_49,-0.6536714353860476,-0.5630868057416722,0.0905846296443753
case_51,-1.4405655002653406,-0.7837578274479193,0.6568076728174213
case_52,-0.5958410835640895,-0.6051340724331153,-0.009292988869025853
case_54,-0.8295857543604346,-0.6089529200262234,0.22063283433421121
case_56,-1.4774837502267797,-0.6803397479582067,0.797144002268573
case_57,-0.6474139895394319,-0.629345913379028,0.018068076160403845
case_58,-0.35726029300235684,-0.7089334965098095,-0.3516732035074527
case_59,-0.41001639019629565,-0.6076733001634096,-0.19765690996711394
case_60,-1.0106826582010857,-0.6224822189614556,0.3882004392396301
case_62,-0.544397890592599,-0.5035534838097779,0.040844406782821085
case_63,-0.8441943973140992,-0.7230467871807706,0.12114761013332853
case_64,-0.8790265191181413,-0.4941379547831053,0.38488856433503604
case_66,-0.8906078237347731,-1.050811636619364,-0.16020381288459096
case_67,-0.7407881575710992,-0.603585051738325,0.13720310583277417
case_68,-0.4317242593951483,-0.7579732168638729,-0.32624895746872457
case_71,-0.5801663212519046,-0.6405358777029149,-0.060369556451010276
