rbf_index,rho_fraction_center,z_fraction_center,theta_fraction_center,bandwidth,top_p99_training_rows
1,0.5094729544550344,0.019705881128387993,0.2035745313188663,0.22085857148012522,1520
2,0.4541510996771038,0.6202751909674067,0.836231762038533,0.35,7046
3,0.5124895229613357,0.9470441229167482,0.20616094345916527,0.24546831501251187,3642
4,0.4536050212143437,0.1592629029837816,0.8347497832794093,0.34914391039200693,5805
5,0.7243300308732274,0.5566130793877634,0.2590189871373459,0.35,4883
6,0.4584998837022181,0.9483715474242895,0.7344661524403324,0.29455890206979346,6854
