variable,role,mean,std
fluence_rate,input,3.693747231711064,0.4753202401264852
temperature,input,387.0631979691679,23.61345468474441
weight_loss_rate,input,0.39772779075632686,0.0850655102736109
fluence_rate_within_case_z,input,0.1953480587404649,1.1943958676500972
temperature_within_case_z,input,0.22753214912588426,1.17166105398076
weight_loss_rate_within_case_z,input,0.10544314132098671,1.14927464290065
fluence_rate_mean,input,3.6088780390233026,0.3792973735999943
fluence_rate_p95,input,4.426610471676681,0.2307522152767072
temperature_mean,input,383.4340944169425,18.29533551475142
temperature_p95,input,415.109865879621,18.528545317232197
weight_loss_rate_mean,input,0.3921921140274237,0.07327670181919563
weight_loss_rate_std,input,0.04929668744975472,0.00950918380718306
rho_fraction_proxy,input,0.5635242749854538,0.19753944330406442
z_fraction_proxy,input,0.5445396804508918,0.31130550143792973
theta_fraction_proxy,input,0.46547099076959386,0.2393175294678625
nearest_radial_boundary_fraction_proxy,input,0.34508092058932793,0.1380479771958262
nearest_axial_boundary_fraction_proxy,input,0.23020857753445959,0.1615781133823705
nearest_angular_boundary_fraction_proxy,input,0.29630411676203766,0.1302809254685412
signed_radial_position_proxy,input,0.12704854998055135,0.39507888658742124
signed_axial_position_proxy,input,0.08907936089097178,0.6226110028949323
signed_angular_position_proxy,input,-0.06905801846615342,0.47863505894490715
radial_axial_signed_interaction_proxy,input,0.016377533877992453,0.22380170012250286
radial_angular_signed_interaction_proxy,input,-0.05190333974236216,0.18946204194562838
axial_angular_signed_interaction_proxy,input,-0.010212998899045447,0.2976454697147589
boundary_corner_proximity_proxy,input,0.021819838445396356,0.022980368149323156
theta_sin_2_proxy,input,0.6208050847053199,0.2574527641577342
theta_cos_2_proxy,input,0.6984956140467715,0.2458108992362479
theta_sin_4_proxy,input,0.7512331483666578,0.2586027177691267
theta_cos_4_proxy,input,0.09663824215233534,0.5995285159456002
v10_fixed_shape_proxy,input,0.35713112697609994,0.7712868969131301
v10_geometry_residual_proxy,input,0.2105903487002973,0.4392863284813623
v10_physical_residual_proxy,input,0.020946202658155402,0.1603260098894756
v10_normalised_shape_proxy,input,0.588667678426116,0.9014838622164545
hotspot_rbf_01,input,0.1003601941598214,0.2067330445787777
hotspot_rbf_02,input,0.3376903756672979,0.24916469581596346
hotspot_rbf_03,input,0.18284761514155443,0.25939130427026935
hotspot_rbf_04,input,0.25263668408857154,0.25593721009327497
hotspot_rbf_05,input,0.43501815283413225,0.2484806945954732
hotspot_rbf_06,input,0.23365769036758335,0.27185556309793113
hotspot_rbf_max_proxy,input,0.7221123295950924,0.1739143343696175
v11_centered_normalised_tail_residual,target,0.36795334288107606,0.7435126575784139
