path,size_bytes,role
FE_Results_Cases_All/FE_Results_Case_175.txt,33911699,original_fem_data
FE_Results_Cases_All/FE_Results_Case_176.txt,33909276,original_fem_data
FE_Results_Cases_All/FE_Results_Case_177.txt,34020422,original_fem_data
FE_Results_Cases_All/FE_Results_Case_178.txt,33914639,original_fem_data
FE_Results_Cases_All/FE_Results_Case_179.txt,33913820,original_fem_data
FE_Results_Cases_All/FE_Results_Case_18.txt,33922250,original_fem_data
FE_Results_Cases_All/FE_Results_Case_180.txt,33908485,original_fem_data
FE_Results_Cases_All/FE_Results_Case_181.txt,33911756,original_fem_data
FE_Results_Cases_All/FE_Results_Case_182.txt,33911404,original_fem_data
FE_Results_Cases_All/FE_Results_Case_183.txt,33913705,original_fem_data
FE_Results_Cases_All/FE_Results_Case_184.txt,33910285,original_fem_data
FE_Results_Cases_All/FE_Results_Case_185.txt,33909468,original_fem_data
FE_Results_Cases_All/FE_Results_Case_186.txt,33909222,original_fem_data
FE_Results_Cases_All/FE_Results_Case_187.txt,33910972,original_fem_data
FE_Results_Cases_All/FE_Results_Case_188.txt,33912369,original_fem_data
FE_Results_Cases_All/FE_Results_Case_189.txt,33910630,original_fem_data
FE_Results_Cases_All/FE_Results_Case_19.txt,33925272,original_fem_data
FE_Results_Cases_All/FE_Results_Case_190.txt,33911848,original_fem_data
FE_Results_Cases_All/FE_Results_Case_191.txt,33911339,original_fem_data
FE_Results_Cases_All/FE_Results_Case_192.txt,33910992,original_fem_data
FE_Results_Cases_All/FE_Results_Case_193.txt,33909637,original_fem_data
FE_Results_Cases_All/FE_Results_Case_194.txt,33910481,original_fem_data
FE_Results_Cases_All/FE_Results_Case_195.txt,33912464,original_fem_data
FE_Results_Cases_All/FE_Results_Case_196.txt,33912169,original_fem_data
FE_Results_Cases_All/FE_Results_Case_197.txt,33909537,original_fem_data
FE_Results_Cases_All/FE_Results_Case_198.txt,33909825,original_fem_data
FE_Results_Cases_All/FE_Results_Case_199.txt,33913195,original_fem_data
FE_Results_Cases_All/FE_Results_Case_2.txt,33917999,original_fem_data
FE_Results_Cases_All/FE_Results_Case_20.txt,33923994,original_fem_data
FE_Results_Cases_All/FE_Results_Case_200.txt,33908817,original_fem_data
FE_Results_Cases_All/FE_Results_Case_21.txt,33909726,original_fem_data
FE_Results_Cases_All/FE_Results_Case_22.txt,33918672,original_fem_data
FE_Results_Cases_All/FE_Results_Case_23.txt,33898964,original_fem_data
FE_Results_Cases_All/FE_Results_Case_24.txt,33915948,original_fem_data
FE_Results_Cases_All/FE_Results_Case_26.txt,33896259,original_fem_data
FE_Results_Cases_All/FE_Results_Case_27.txt,33911581,original_fem_data
FE_Results_Cases_All/FE_Results_Case_28.txt,33920801,original_fem_data
FE_Results_Cases_All/FE_Results_Case_29.txt,33898971,original_fem_data
FE_Results_Cases_All/FE_Results_Case_3.txt,33924766,original_fem_data
FE_Results_Cases_All/FE_Results_Case_31.txt,33921540,original_fem_data
FE_Results_Cases_All/FE_Results_Case_32.txt,33922855,original_fem_data
FE_Results_Cases_All/FE_Results_Case_33.txt,33902609,original_fem_data
FE_Results_Cases_All/FE_Results_Case_34.txt,33912459,original_fem_data
FE_Results_Cases_All/FE_Results_Case_35.txt,33905743,original_fem_data
FE_Results_Cases_All/FE_Results_Case_36.txt,33938746,original_fem_data
FE_Results_Cases_All/FE_Results_Case_37.txt,33898802,original_fem_data
FE_Results_Cases_All/FE_Results_Case_38.txt,33960723,original_fem_data
FE_Results_Cases_All/FE_Results_Case_39.txt,33908878,original_fem_data
FE_Results_Cases_All/FE_Results_Case_4.txt,33919726,original_fem_data
FE_Results_Cases_All/FE_Results_Case_40.txt,33915924,original_fem_data
FE_Results_Cases_All/FE_Results_Case_41.txt,33937530,original_fem_data
FE_Results_Cases_All/FE_Results_Case_42.txt,33916689,original_fem_data
FE_Results_Cases_All/FE_Results_Case_43.txt,33917031,original_fem_data
FE_Results_Cases_All/FE_Results_Case_44.txt,33917545,original_fem_data
FE_Results_Cases_All/FE_Results_Case_45.txt,33930061,original_fem_data
FE_Results_Cases_All/FE_Results_Case_46.txt,33919550,original_fem_data
FE_Results_Cases_All/FE_Results_Case_47.txt,33915578,original_fem_data
FE_Results_Cases_All/FE_Results_Case_48.txt,33927678,original_fem_data
FE_Results_Cases_All/FE_Results_Case_49.txt,33924717,original_fem_data
FE_Results_Cases_All/FE_Results_Case_5.txt,33920383,original_fem_data
FE_Results_Cases_All/FE_Results_Case_50.txt,33918033,original_fem_data
FE_Results_Cases_All/FE_Results_Case_51.txt,33903599,original_fem_data
FE_Results_Cases_All/FE_Results_Case_52.txt,33919711,original_fem_data
FE_Results_Cases_All/FE_Results_Case_53.txt,33937878,original_fem_data
