stage,run_id,candidate_index,complexity,loss,score,equation,formula_scaled_sympy,formula_original_variables,feature_support_json,structure_signature,family_signature,segment,attempt,search_mode,completed_segment,completed_attempt
v10_physical_residual,v10_i2_physical_signed_residual_pilot,0,1,0.3793706087759199,0.0,-0.02669076739109766,-0.02669076739109766,0.0002011637193547627,[],CONST,"{""features"": [], ""operators"": []}",5,1,warm_start_checkpoint,5,1
v10_physical_residual,v10_i2_physical_signed_residual_pilot,1,3,0.3746333603218921,0.0062828724801218,nearest_axial_boundary_fraction_proxy_scaled * 0.11450135020289817,nearest_axial_boundary_fraction_proxy_scaled*0.11450135020289817,0.49132310399710299*nearest_axial_boundary_fraction_proxy - 0.097955221409297048,"[""nearest_axial_boundary_fraction_proxy_scaled""]","Mul(CONST, Symbol('nearest_axial_boundary_fraction_proxy_scaled'))","{""features"": [""nearest_axial_boundary_fraction_proxy_scaled""], ""operators"": [""Mul""]}",5,1,warm_start_checkpoint,5,1
v10_physical_residual,v10_i2_physical_signed_residual_pilot,2,5,0.3656289534968518,0.0121644054927672,fluence_rate_mean_scaled * (nearest_radial_boundary_fraction_proxy_scaled * -0.17016923065531545),fluence_rate_mean_scaled*nearest_radial_boundary_fraction_proxy_scaled*(-0.17016923065531545),-0.11498293406220557*(2.82006446107875*fluence_rate_mean - 10.0899396115978)*(7.28302970000392*nearest_radial_boundary_fraction_proxy - 2.40606118576507) + 0.0182360501390777,"[""fluence_rate_mean_scaled"", ""nearest_radial_boundary_fraction_proxy_scaled""]","Mul(Integer(-1), CONST, Symbol('fluence_rate_mean_scaled'), Symbol('nearest_radial_boundary_fraction_proxy_scaled'))","{""features"": [""fluence_rate_mean_scaled"", ""nearest_radial_boundary_fraction_proxy_scaled""], ""operators"": [""Mul""]}",5,1,warm_start_checkpoint,5,1
v10_physical_residual,v10_i2_physical_signed_residual_pilot,3,7,0.3617993548341406,0.0052646205811146,(nearest_axial_boundary_fraction_proxy_scaled - (fluence_rate_mean_scaled * nearest_radial_boundary_fraction_proxy_scaled)) * 0.14228233893361972,(-fluence_rate_mean_scaled*nearest_radial_boundary_fraction_proxy_scaled + nearest_axial_boundary_fraction_proxy_scaled)*0.14228233893361972,0.6105307953570706*nearest_axial_boundary_fraction_proxy - 0.096139829349988042*(2.82006446107875*fluence_rate_mean - 10.0899396115978)*(7.28302970000392*nearest_radial_boundary_fraction_proxy - 2.40606118576507) - 0.12614622876225579,"[""fluence_rate_mean_scaled"", ""nearest_axial_boundary_fraction_proxy_scaled"", ""nearest_radial_boundary_fraction_proxy_scaled""]","Mul(Integer(-1), CONST, Add(Mul(CONST, Symbol('fluence_rate_mean_scaled'), Symbol('nearest_radial_boundary_fraction_proxy_scaled')), Mul(Integer(-1), CONST, Symbol('nearest_axial_boundary_fraction_proxy_scaled'))))","{""features"": [""fluence_rate_mean_scaled"", ""nearest_axial_boundary_fraction_proxy_scaled"", ""nearest_radial_boundary_fraction_proxy_scaled""], ""operators"": [""Add"", ""Mul""]}",5,1,warm_start_checkpoint,5,1
v10_physical_residual,v10_i2_physical_signed_residual_pilot,4,8,0.3617831585281671,4.476699112287945e-05,(theta_cos_scaled * boundary_corner_proximity_proxy_scaled) * (theta_cos_scaled * 0.15756379759227773),theta_cos_scaled*boundary_corner_proximity_proxy_scaled*theta_cos_scaled*0.15756379759227773,0.10646547368977991*(43.6667583874302*boundary_corner_proximity_proxy - 1.00313812600926)*(15.6006536140747*theta_cos - 14.4099430342809)**2 + 0.0182360501390777,"[""boundary_corner_proximity_proxy_scaled"", ""theta_cos_scaled""]","Mul(CONST, Symbol('boundary_corner_proximity_proxy_scaled'), Pow(Symbol('theta_cos_scaled'), Integer(2)))","{""features"": [""boundary_corner_proximity_proxy_scaled"", ""theta_cos_scaled""], ""operators"": [""Mul""]}",5,1,warm_start_checkpoint,5,1
v10_physical_residual,v10_i2_physical_signed_residual_pilot,5,9,0.3593003954636778,0.0068862279879143,(nearest_radial_boundary_fraction_proxy_scaled - (nearest_axial_boundary_fraction_proxy_scaled - (theta_cos_scaled * theta_cos_scaled))) * -0.10907429453365053,(nearest_radial_boundary_fraction_proxy_scaled - (nearest_axial_boundary_fraction_proxy_scaled - theta_cos_scaled*theta_cos_scaled))*(-0.10907429453365053),0.46803571190736032*nearest_axial_boundary_fraction_proxy - 0.53676828163218356*nearest_radial_boundary_fraction_proxy - 0.073701234752879654*(15.6006536140747*theta_cos - 14.4099430342809)**2 + 0.084881612262952833,"[""nearest_axial_boundary_fraction_proxy_scaled"", ""nearest_radial_boundary_fraction_proxy_scaled"", ""theta_cos_scaled""]","Mul(CONST, Add(Mul(CONST, Symbol('nearest_axial_boundary_fraction_proxy_scaled')), Mul(Integer(-1), CONST, Symbol('nearest_radial_boundary_fraction_proxy_scaled')), Mul(Integer(-1), CONST, Pow(Symbol('theta_cos_scaled'), Integer(2)))))","{""features"": [""nearest_axial_boundary_fraction_proxy_scaled"", ""nearest_radial_boundary_fraction_proxy_scaled"", ""theta_cos_scaled""], ""operators"": [""Add"", ""Mul""]}",5,1,warm_start_checkpoint,5,1
v10_physical_residual,v10_i2_physical_signed_residual_pilot,6,10,0.3560050383302156,0.0092139114043886,(boundary_corner_proximity_proxy_scaled * (fluence_rate_scaled - (theta_cos_scaled * theta_cos_scaled))) * -0.16729356049436883,boundary_corner_proximity_proxy_scaled*(fluence_rate_scaled - theta_cos_scaled*theta_cos_scaled)*(-0.16729356049436883),-0.11303985074903876*(43.6667583874302*boundary_corner_proximity_proxy - 1.00313812600926)*(1.99218277892369*fluence_rate - (15.6006536140747*theta_cos - 14.4099430342809)**2 - 7.30950256193446) + 0.0182360501390777,"[""boundary_corner_proximity_proxy_scaled"", ""fluence_rate_scaled"", ""theta_cos_scaled""]","Mul(Integer(-1), CONST, Symbol('boundary_corner_proximity_proxy_scaled'), Add(Symbol('fluence_rate_scaled'), Mul(Integer(-1), Pow(Symbol('theta_cos_scaled'), Integer(2)))))","{""features"": [""boundary_corner_proximity_proxy_scaled"", ""fluence_rate_scaled"", ""theta_cos_scaled""], ""operators"": [""Add"", ""Mul""]}",5,1,warm_start_checkpoint,5,1
v10_physical_residual,v10_i2_physical_signed_residual_pilot,7,11,0.3492546487683972,0.0191435745979754,((nearest_axial_boundary_fraction_proxy_scaled - (fluence_rate_mean_scaled * nearest_radial_boundary_fraction_proxy_scaled)) - (theta_cos_scaled * theta_cos_scaled)) * 0.1292991922263852,(-fluence_rate_mean_scaled*nearest_radial_boundary_fraction_proxy_scaled + nearest_axial_boundary_fraction_proxy_scaled - theta_cos_scaled*theta_cos_scaled)*0.1292991922263852,0.5548203611259922*nearest_axial_boundary_fraction_proxy - 0.08736714878953058*(2.82006446107875*fluence_rate_mean - 10.0899396115978)*(7.28302970000392*nearest_radial_boundary_fraction_proxy - 2.40606118576507) - 0.08736714878953058*(15.6006536140747*theta_cos - 14.4099430342809)**2 - 0.1129714642556405,"[""fluence_rate_mean_scaled"", ""nearest_axial_boundary_fraction_proxy_scaled"", ""nearest_radial_boundary_fraction_proxy_scaled"", ""theta_cos_scaled""]","Mul(Integer(-1), CONST, Add(Mul(CONST, Symbol('fluence_rate_mean_scaled'), Symbol('nearest_radial_boundary_fraction_proxy_scaled')), Mul(Integer(-1), CONST, Symbol('nearest_axial_boundary_fraction_proxy_scaled')), Mul(CONST, Pow(Symbol('theta_cos_scaled'), Integer(2)))))","{""features"": [""fluence_rate_mean_scaled"", ""nearest_axial_boundary_fraction_proxy_scaled"", ""nearest_radial_boundary_fraction_proxy_scaled"", ""theta_cos_scaled""], ""operators"": [""Add"", ""Mul""]}",5,1,warm_start_checkpoint,5,1
v10_physical_residual,v10_i2_physical_signed_residual_pilot,8,15,0.3482363834418098,0.0007299492057778,(((nearest_axial_boundary_fraction_proxy_scaled - (fluence_rate_p95_scaled * nearest_radial_boundary_fraction_proxy_scaled)) - -0.6086724194734436) - (theta_cos_scaled * (theta_cos_scaled + 0.5152195142313791))) * 0.15289785901853065,(-fluence_rate_p95_scaled*nearest_radial_boundary_fraction_proxy_scaled + nearest_axial_boundary_fraction_proxy_scaled - theta_cos_scaled*(theta_cos_scaled + 0.5152195142313791) - 1*(-0.6086724194734436))*0.15289785901853065,0.65608178903024402*nearest_axial_boundary_fraction_proxy - 0.10331271037706228*(4.44447758019809*fluence_rate_p95 - 19.5886082827843)*(7.28302970000392*nearest_radial_boundary_fraction_proxy - 2.40606118576507) - 0.10331271037706228*(15.6006536140747*theta_cos - 14.4099430342809)*(15.6006536140747*theta_cos - 13.89472352004954) - 0.074034825542072921,"[""fluence_rate_p95_scaled"", ""nearest_axial_boundary_fraction_proxy_scaled"", ""nearest_radial_boundary_fraction_proxy_scaled"", ""theta_cos_scaled""]","Mul(Integer(-1), CONST, Add(Mul(CONST, Symbol('fluence_rate_p95_scaled'), Symbol('nearest_radial_boundary_fraction_proxy_scaled')), Mul(Integer(-1), CONST, Symbol('nearest_axial_boundary_fraction_proxy_scaled')), Mul(CONST, Pow(Symbol('theta_cos_scaled'), Integer(2))), Mul(CONST, Symbol('theta_cos_scaled')), CONST))","{""features"": [""fluence_rate_p95_scaled"", ""nearest_axial_boundary_fraction_proxy_scaled"", ""nearest_radial_boundary_fraction_proxy_scaled"", ""theta_cos_scaled""], ""operators"": [""Add"", ""Mul""]}",5,1,warm_start_checkpoint,5,1
v10_physical_residual,v10_i2_physical_signed_residual_pilot,9,17,0.3410930308200209,0.0103631271070966,(gauss(nearest_radial_boundary_fraction_proxy_scaled + 0.7323857202104684) * (nearest_radial_boundary_fraction_proxy_scaled - (nearest_axial_boundary_fraction_proxy_scaled - (theta_cos_scaled * theta_cos_scaled)))) * -0.32002638680818085,exp(-(nearest_radial_boundary_fraction_proxy_scaled + 0.7323857202104684)**2)*(nearest_radial_boundary_fraction_proxy_scaled - (nearest_axial_boundary_fraction_proxy_scaled - theta_cos_scaled*theta_cos_scaled))*(-0.32002638680818085),-0.2162410489300848*(-6.35044600645681*nearest_axial_boundary_fraction_proxy + 7.28302970000392*nearest_radial_boundary_fraction_proxy + (15.6006536140747*theta_cos - 14.4099430342809)**2 - 0.904266561440087)*exp(-(7.28302970000392*nearest_radial_boundary_fraction_proxy - 1.673675465554604)**2) + 0.0182360501390777,"[""nearest_axial_boundary_fraction_proxy_scaled"", ""nearest_radial_boundary_fraction_proxy_scaled"", ""theta_cos_scaled""]","Mul(CONST, Add(Symbol('nearest_axial_boundary_fraction_proxy_scaled'), Mul(Integer(-1), Symbol('nearest_radial_boundary_fraction_proxy_scaled')), Mul(Integer(-1), Pow(Symbol('theta_cos_scaled'), Integer(2)))), exp(Mul(Integer(-1), CONST, Symbol('nearest_radial_boundary_fraction_proxy_scaled'))), exp(Mul(Integer(-1), Pow(Symbol('nearest_radial_boundary_fraction_proxy_scaled'), Integer(2)))))","{""features"": [""nearest_axial_boundary_fraction_proxy_scaled"", ""nearest_radial_boundary_fraction_proxy_scaled"", ""theta_cos_scaled""], ""operators"": [""Add"", ""Mul"", ""Pow"", ""exp""]}",5,1,warm_start_checkpoint,5,1
