iteration,case_id,n_rows,sample_source,stress_mean_offset,stress_p95_scale,sample_stress_p95,weight_mean,weight_max,tail_q99
2,case_01,5000,reused_v4_iteration_manifest,5.896753311157227,4.429481029510498,18.854880523681643,1.0,1.2902833245153833,16.558459148406914
2,case_06,5000,reused_v4_iteration_manifest,5.917630195617676,4.216940402984619,19.02136898040772,0.9999999999999997,1.2902856690331437,15.962084121704066
2,case_10,5000,reused_v4_iteration_manifest,5.735562324523926,4.4105730056762695,18.448571300506593,1.0,1.2902856690331441,16.147420253753637
2,case_11,5000,reused_v4_iteration_manifest,6.201050758361816,4.421328067779541,19.952390861511237,1.0,1.2902856690331441,17.002918834686216
2,case_13,5000,reused_v4_iteration_manifest,5.239577293395996,3.8787827491760254,16.774812316894533,1.0,1.2902856690331441,14.603178558349592
2,case_14,5000,reused_v4_iteration_manifest,5.300424098968506,3.8865535259246826,17.157059764862062,1.0,1.2902856690331441,14.805124273300162
2,case_15,5000,reused_v4_iteration_manifest,3.3780579566955566,2.454085111618042,10.75329742431641,1.0,1.2902856690331441,9.363036231994613
2,case_16,5000,reused_v4_iteration_manifest,5.625429630279541,4.1759796142578125,18.19905214309693,1.0,1.2902856690331441,15.720469598770103
2,case_17,5000,reused_v4_iteration_manifest,5.22471284866333,3.657592535018921,16.4119083404541,0.9999999999999997,1.2902856690331437,13.956213130950902
2,case_18,5000,reused_v4_iteration_manifest,5.653727054595947,4.261300563812256,18.5441969871521,1.0,1.2902856690331441,15.819301843643087
2,case_19,5000,reused_v4_iteration_manifest,5.88552188873291,4.458274841308594,19.1624945640564,1.0,1.2902856690331441,16.581697864532423
2,case_21,5000,reused_v4_iteration_manifest,4.529992580413818,3.491702079772949,14.308304452896119,1.0,1.2902856690331441,12.29129181861873
2,case_24,5000,reused_v4_iteration_manifest,5.30462646484375,3.797711133956909,17.011051559448244,1.0,1.2902856690331441,14.59939882278439
2,case_28,5000,reused_v4_iteration_manifest,5.526687145233154,4.198164463043213,18.45905561447144,1.0,1.2902856690331441,15.672686471939013
2,case_29,5000,reused_v4_iteration_manifest,2.0336740016937256,1.4687446355819702,6.284811520576478,1.0,1.2902856690331441,5.4425946283340405
2,case_32,5000,reused_v4_iteration_manifest,5.271242618560791,4.744748115539551,17.65733613967896,1.0000000000000002,1.2902856690331441,15.115796918868979
2,case_34,5000,reused_v4_iteration_manifest,4.6840739250183105,3.5422446727752686,15.308139371871949,1.0,1.2902856690331441,12.876111402511585
2,case_35,5000,reused_v4_iteration_manifest,3.846318006515503,3.029498338699341,11.754975652694704,1.0,1.2902856690331441,10.138929128646827
2,case_36,5000,reused_v4_iteration_manifest,3.0640299320220947,6.74899435043335,21.965458393096924,1.0,1.2902856690331441,19.2957092285156
2,case_40,5000,reused_v4_iteration_manifest,5.041595458984375,3.8456971645355225,16.26521234512329,1.0,1.2902856690331441,14.066408891677813
2,case_44,5000,reused_v4_iteration_manifest,5.309877395629883,3.887087106704712,17.388794136047366,1.0,1.2902856690331441,14.862060785293576
2,case_45,5000,reused_v4_iteration_manifest,5.207303047180176,5.654827117919922,18.041856002807616,1.0,1.2902856690331441,15.904301156997667
2,case_48,5000,reused_v4_iteration_manifest,6.037508010864258,4.614516258239746,19.453417015075686,1.0000000000000004,1.2902856690331443,16.89704576492309
2,case_49,5000,reused_v4_iteration_manifest,5.852952480316162,4.412420272827148,18.98578691482544,1.0000000000000004,1.2902856690331443,16.352748069763166
2,case_51,5000,reused_v4_iteration_manifest,3.49507474899292,2.701798915863037,11.117197847366336,0.9999999999999998,1.2902856690331437,9.536471252441398
2,case_52,5000,reused_v4_iteration_manifest,5.676126003265381,3.891796827316284,17.682045364379885,1.0000000000000004,1.2902856690331443,15.024835319519037
2,case_54,5000,reused_v4_iteration_manifest,5.355597496032715,4.050854682922363,17.383204078674318,0.9999999999999997,1.2902856690331437,14.854768409728997
2,case_56,5000,reused_v4_iteration_manifest,4.807046890258789,4.205310344696045,15.25072460174561,1.0,1.2902856690331441,12.885962295532151
2,case_57,5000,reused_v4_iteration_manifest,5.400399684906006,4.328103065490723,17.199592399597176,1.0,1.2902856690331441,14.611289510726927
2,case_58,5000,reused_v4_iteration_manifest,3.828242063522339,2.672424554824829,11.745133209228516,1.0,1.2902856690331441,10.108694267272929
2,case_59,5000,reused_v4_iteration_manifest,5.287437438964844,4.162769794464111,17.329077148437506,1.0,1.2902856690331441,14.667274990081749
2,case_60,5000,reused_v4_iteration_manifest,5.622468948364258,4.341862678527832,18.48375577926636,1.0,1.2902856690331441,15.850470104217512
2,case_61,5000,reused_v4_iteration_manifest,5.705564975738525,3.977691173553467,17.943119621276857,1.0,1.2902856690331441,15.157886562347406
2,case_62,5000,reused_v4_iteration_manifest,2.4747231006622314,2.032750368118286,7.648597311973573,1.0000000000000004,1.2902856690331443,6.4952899599075264
2,case_64,5000,reused_v4_iteration_manifest,3.977193593978882,2.9157111644744873,12.496655988693242,1.0,1.2902856690331441,10.860165023803638
2,case_66,5000,reused_v4_iteration_manifest,3.309709310531616,5.331147193908691,16.03847532272339,1.0,1.2902856690331441,14.484742507934437
2,case_67,5000,reused_v4_iteration_manifest,5.64584493637085,3.838149070739746,17.55653944015503,1.0,1.2902856690331441,15.007321405410755
2,case_71,5000,reused_v4_iteration_manifest,4.549803733825684,3.2207579612731934,14.25994811058045,1.0000000000000004,1.2902856690331443,12.114842939376807
2,case_72,5000,reused_v4_iteration_manifest,2.7397327423095703,2.0545945167541504,8.67274217605591,1.0000000000000004,1.2902856690331443,7.4184241771698
2,case_73,5000,reused_v4_iteration_manifest,3.1237294673919678,5.102689266204834,16.790502643585206,1.0000000000000004,1.2902856690331443,14.632464952468844
2,case_74,5000,reused_v4_iteration_manifest,5.210357189178467,3.973194122314453,16.168520069122316,1.0000000000000004,1.2902856690331443,13.751770725250228
2,case_75,5000,reused_v4_iteration_manifest,5.66758918762207,3.9983980655670166,18.02551546096802,1.0000000000000004,1.2902856690331443,15.416833810806175
2,case_77,5000,reused_v4_iteration_manifest,4.216345310211182,3.0873091220855713,13.419590091705322,1.0,1.2902856690331441,11.748572282791129
2,case_78,5000,reused_v4_iteration_manifest,3.235144853591919,2.412745952606201,10.61460204124451,1.0,1.2902856690331441,8.848848810195921
2,case_79,5000,reused_v4_iteration_manifest,5.79337739944458,4.263050556182861,18.401690101623537,1.0,1.2902856690331441,15.850202865600538
2,case_82,5000,reused_v4_iteration_manifest,5.501571178436279,4.104699611663818,17.998526287078857,1.0,1.2902856690331441,15.515425043106074
2,case_83,5000,reused_v4_iteration_manifest,5.771707534790039,4.528461456298828,19.03630142211914,1.0000000000000004,1.2902856690331443,16.17190748214708
2,case_85,5000,reused_v4_iteration_manifest,5.742957592010498,4.162041187286377,18.146055030822755,1.0,1.2902856690331441,15.767036905288688
2,case_86,5000,reused_v4_iteration_manifest,4.475714206695557,3.125272512435913,14.167020893096923,1.0,1.2902856690331441,12.306284666061373
2,case_87,5000,reused_v4_iteration_manifest,5.090262413024902,5.68237829208374,17.45578889846802,1.0,1.2902856690331441,15.996327209472646
2,case_89,5000,reused_v4_iteration_manifest,5.2668914794921875,4.2342119216918945,17.252912235260013,1.0,1.2902856690331441,14.831547985076902
2,case_91,5000,reused_v4_iteration_manifest,6.2276692390441895,4.563692569732666,19.64978485107422,1.0,1.2902856690331441,16.847370262145986
2,case_92,5000,reused_v4_iteration_manifest,5.130990028381348,3.4959352016448975,16.166739082336427,0.9999999999999997,1.2902856690331437,13.86244007110595
2,case_93,5000,reused_v4_iteration_manifest,5.478693008422852,3.7717955112457275,16.841942214965822,1.0,1.2902856690331441,14.655003519058223
2,case_95,5000,reused_v4_iteration_manifest,4.895933628082275,5.882122039794922,17.969580745697023,1.0,1.2902856690331441,16.617831211090085
2,case_96,5000,reused_v4_iteration_manifest,4.446458339691162,3.3342716693878174,14.343755197525025,0.9999999999999997,1.2902856690331437,12.240180082321166
2,case_97,5000,reused_v4_iteration_manifest,5.692471027374268,4.183786869049072,17.979706859588628,1.0,1.2902856690331441,15.68950984954829
2,case_98,5000,reused_v4_iteration_manifest,6.260926246643066,4.1957855224609375,19.471330833435058,1.0,1.2902856690331441,16.65958471298217
2,case_99,5000,reused_v4_iteration_manifest,3.4767818450927734,2.486318349838257,10.813035011291506,1.0,1.2902856690331441,9.452709732055656
2,case_101,5000,reused_v4_iteration_manifest,5.892951965332031,4.504834175109863,18.83461666107178,0.9999999999999997,1.2902856690331437,16.382473373413045
2,case_102,5000,reused_v4_iteration_manifest,3.561208724975586,4.844951152801514,15.853955602645877,1.0,1.2902856690331441,14.098538675308209
2,case_104,5000,reused_v4_iteration_manifest,5.571784019470215,3.922346353530884,17.448056793212896,0.9999999999999997,1.2902856690331437,15.03142244338985
2,case_106,5000,reused_v4_iteration_manifest,2.808864116668701,2.3262412548065186,8.619701099395755,0.9999999999999997,1.2902856690331437,7.404705095291117
2,case_107,5000,reused_v4_iteration_manifest,5.773948669433594,4.049834251403809,17.934239578247073,0.9999999999999997,1.2902856690331437,15.309831600189176
2,case_109,5000,reused_v4_iteration_manifest,5.195677280426025,3.985301971435547,17.689571762084967,1.0000000000000004,1.2902856690331443,14.838084297180142
2,case_110,5000,reused_v4_iteration_manifest,3.9290082454681396,2.933415651321411,12.653282690048218,1.0,1.2902856690331441,10.958230762481676
2,case_111,5000,reused_v4_iteration_manifest,1.853567361831665,3.4736340045928955,15.95007429122925,1.0,1.2902856690331441,13.019953222274761
2,case_115,5000,reused_v4_iteration_manifest,5.9189252853393555,4.476027488708496,19.00403699874878,0.9999999999999997,1.2902856690331437,16.448994159698447
2,case_116,5000,reused_v4_iteration_manifest,5.529623508453369,4.097034454345703,17.704368305206298,0.9999999999999997,1.2902856690331437,15.341071567535392
2,case_117,5000,reused_v4_iteration_manifest,5.137139797210693,3.7386441230773926,16.052100467681885,1.0,1.2902856690331441,13.745235443115213
2,case_118,5000,reused_v4_iteration_manifest,4.115224361419678,5.613200664520264,16.65522394180298,1.0,1.2902856690331441,15.380120143890334
2,case_119,5000,reused_v4_iteration_manifest,4.59283971786499,3.442823886871338,14.656759834289552,0.9999999999999997,1.2902856690331437,12.864710826873766
