case_id,stress_tier,selected_rows,target_loss_mass,actual_selected_loss_mass,q90,q95,q99,residual_rmse_before_correction
case_15,p95_to_p99,1000,0.2,0.2,4.917429590225221,5.832143068313598,9.363036231994613,1.157865147970915
case_15,top_p99,1000,0.2,0.2,4.917429590225221,5.832143068313598,9.363036231994613,1.157865147970915
case_16,below_p90,2500,0.5,0.5,8.29208583831787,9.801409292221068,15.720469598770103,1.1448546695729536
case_16,p90_to_p95,500,0.1,0.09999999999999999,8.29208583831787,9.801409292221068,15.720469598770103,1.1448546695729536
case_16,p95_to_p99,1000,0.2,0.2,8.29208583831787,9.801409292221068,15.720469598770103,1.1448546695729536
case_16,top_p99,1000,0.2,0.2,8.29208583831787,9.801409292221068,15.720469598770103,1.1448546695729536
case_17,below_p90,2500,0.5,0.5,7.94538350105286,8.882305335998534,13.956213130950902,1.1434305302314627
case_17,p90_to_p95,500,0.1,0.09999999999999999,7.94538350105286,8.882305335998534,13.956213130950902,1.1434305302314627
case_17,p95_to_p99,1000,0.2,0.2,7.94538350105286,8.882305335998534,13.956213130950902,1.1434305302314627
case_17,top_p99,1000,0.2,0.2,7.94538350105286,8.882305335998534,13.956213130950902,1.1434305302314627
case_19,below_p90,2500,0.5,0.5,8.578166675567628,10.343796873092652,16.581697864532423,1.173230488283307
case_19,p90_to_p95,500,0.1,0.09999999999999999,8.578166675567628,10.343796873092652,16.581697864532423,1.173230488283307
case_19,p95_to_p99,1000,0.2,0.2,8.578166675567628,10.343796873092652,16.581697864532423,1.173230488283307
case_19,top_p99,1000,0.2,0.2,8.578166675567628,10.343796873092652,16.581697864532423,1.173230488283307
case_20,below_p90,2500,0.5,0.5,8.465796852111817,10.149102687835692,16.289631748199415,1.1719212066493343
case_20,p90_to_p95,500,0.1,0.09999999999999999,8.465796852111817,10.149102687835692,16.289631748199415,1.1719212066493343
case_20,p95_to_p99,1000,0.2,0.2,8.465796852111817,10.149102687835692,16.289631748199415,1.1719212066493343
case_20,top_p99,1000,0.2,0.2,8.465796852111817,10.149102687835692,16.289631748199415,1.1719212066493343
case_21,below_p90,2500,0.5,0.5,6.813072156906129,8.021694707870484,12.29129181861873,1.0369840354757007
case_21,p90_to_p95,500,0.1,0.09999999999999999,6.813072156906129,8.021694707870484,12.29129181861873,1.0369840354757007
case_21,p95_to_p99,1000,0.2,0.2,6.813072156906129,8.021694707870484,12.29129181861873,1.0369840354757007
case_21,top_p99,1000,0.2,0.2,6.813072156906129,8.021694707870484,12.29129181861873,1.0369840354757007
