iteration,case_id,n_rows,sample_source,stress_mean_offset,stress_p95_scale,sample_stress_p95,weight_mean,weight_max,tail_q99
1,case_01,5000,reused_v4_iteration_manifest,5.896753311157227,4.429481029510498,18.854880523681643,1.0,1.2902833245153833,16.558459148406914
1,case_10,5000,reused_v4_iteration_manifest,5.735562324523926,4.4105730056762695,18.448571300506593,1.0,1.2902856690331441,16.147420253753637
1,case_11,5000,reused_v4_iteration_manifest,6.201050758361816,4.421328067779541,19.952390861511237,1.0,1.2902856690331441,17.002918834686216
1,case_12,5000,reused_v4_iteration_manifest,5.673344612121582,4.4087700843811035,18.439182090759285,0.9999999999999997,1.2902856690331437,16.142577419280983
1,case_13,5000,reused_v4_iteration_manifest,5.239577293395996,3.8787827491760254,16.774812316894533,1.0,1.2902856690331441,14.603178558349592
1,case_14,5000,reused_v4_iteration_manifest,5.300424098968506,3.8865535259246826,17.157059764862062,1.0,1.2902856690331441,14.805124273300162
1,case_15,5000,reused_v4_iteration_manifest,3.3780579566955566,2.454085111618042,10.75329742431641,1.0,1.2902856690331441,9.363036231994613
1,case_16,5000,reused_v4_iteration_manifest,5.625429630279541,4.1759796142578125,18.19905214309693,1.0,1.2902856690331441,15.720469598770103
1,case_17,5000,reused_v4_iteration_manifest,5.22471284866333,3.657592535018921,16.4119083404541,0.9999999999999997,1.2902856690331437,13.956213130950902
1,case_19,5000,reused_v4_iteration_manifest,5.88552188873291,4.458274841308594,19.1624945640564,1.0,1.2902856690331441,16.581697864532423
1,case_20,5000,reused_v4_iteration_manifest,5.788522243499756,4.3605804443359375,18.654836082458495,1.0,1.2902856690331441,16.289631748199415
1,case_21,5000,reused_v4_iteration_manifest,4.529992580413818,3.491702079772949,14.308304452896119,1.0,1.2902856690331441,12.29129181861873
1,case_24,5000,reused_v4_iteration_manifest,5.30462646484375,3.797711133956909,17.011051559448244,1.0,1.2902856690331441,14.59939882278439
1,case_27,5000,reused_v4_iteration_manifest,4.916951656341553,3.1960651874542236,15.37581195831299,1.0,1.2902856690331441,13.111589975357049
1,case_32,5000,reused_v4_iteration_manifest,5.271242618560791,4.744748115539551,17.65733613967896,1.0000000000000002,1.2902856690331441,15.115796918868979
1,case_34,5000,reused_v4_iteration_manifest,4.6840739250183105,3.5422446727752686,15.308139371871949,1.0,1.2902856690331441,12.876111402511585
1,case_35,5000,reused_v4_iteration_manifest,3.846318006515503,3.029498338699341,11.754975652694704,1.0,1.2902856690331441,10.138929128646827
1,case_36,5000,reused_v4_iteration_manifest,3.0640299320220947,6.74899435043335,21.965458393096924,1.0,1.2902856690331441,19.2957092285156
1,case_39,5000,reused_v4_iteration_manifest,3.0877292156219482,3.5583479404449463,12.094823122024536,1.0,1.2902856690331441,10.974815073013293
1,case_40,5000,reused_v4_iteration_manifest,5.041595458984375,3.8456971645355225,16.26521234512329,1.0,1.2902856690331441,14.066408891677813
1,case_42,5000,reused_v4_iteration_manifest,4.117154121398926,4.795129776000977,14.869993448257448,1.0,1.2902856690331441,13.76958976745605
1,case_43,5000,reused_v4_iteration_manifest,4.204806804656982,4.800558567047119,14.808673191070557,1.0,1.2902856690331441,13.601225948333738
1,case_44,5000,reused_v4_iteration_manifest,5.309877395629883,3.887087106704712,17.388794136047366,1.0,1.2902856690331441,14.862060785293576
