artifact,path,size_bytes,sha256
completion,/net/scratch/j96317yn/NotebookCT3/outputs/10_signed_staged_residual_symbolic_pilot/iteration_4/pilot_complete.json,752,255a8690fdbf24a8482afb5883d32ea43fa5e0661e09e92e46cd60304307c814
composite,/net/scratch/j96317yn/NotebookCT3/outputs/10_signed_staged_residual_symbolic_pilot/iteration_4/selected_composite_formula.csv,4985,97426738cc814ac73472fa83553caf75bb7c45c7dd726e26c960ced6493a0e71
geometry_row,/net/scratch/j96317yn/NotebookCT3/outputs/10_signed_staged_residual_symbolic_pilot/iteration_4/stages/stage_geometry/selected_formula.csv,5618,e892c3452a007a0e4176ea39beebc63ff8abf46f3ce45b4deff8a7be196806e8
physical_row,/net/scratch/j96317yn/NotebookCT3/outputs/10_signed_staged_residual_symbolic_pilot/iteration_4/stages/stage_physical/selected_formula.csv,3921,6577bac0e89f6e8594a2e60318f50417d2cd4204e4d661707c84ae033ff110bb
geometry_scaling,/net/scratch/j96317yn/NotebookCT3/outputs/10_signed_staged_residual_symbolic_pilot/iteration_4/training_cache/stage_a_scaling.csv,1942,54af19500ea6dfb8c2372e7f002b8dc95a9376231735cfe1a263da96e43f302c
physical_scaling,/net/scratch/j96317yn/NotebookCT3/outputs/10_signed_staged_residual_symbolic_pilot/iteration_4/training_cache/stage_b_scaling.csv,2081,ab5ca893209d15943334cde056db30dc506b215179053b1a712f28f0ffccb9db
all_X,/net/scratch/j96317yn/NotebookCT3/outputs/10_signed_staged_residual_symbolic_pilot/iteration_4/training_cache/all_v10_features.npy,95200128,f408ff21d54f96a62bf3210b784b8fa231815f02b25eaa299787ba7d1ab08560
base_target,/net/scratch/j96317yn/NotebookCT3/outputs/10_signed_staged_residual_symbolic_pilot/iteration_4/training_cache/deployable_normalised_residual_target.npy,2380128,290644dddc908debdb87566e5d83a6cec72424a23116de90c8d07f9c3733f6d1
sample_manifest,/net/scratch/j96317yn/NotebookCT3/outputs/10_signed_staged_residual_symbolic_pilot/iteration_4/training_cache/training_sample_manifest.csv.gz,2058593,fe460e739f1fef798952725de258a6f8ea6d085b25596bcb9cafa3a01e872dfe
cache_metadata,/net/scratch/j96317yn/NotebookCT3/outputs/10_signed_staged_residual_symbolic_pilot/iteration_4/training_cache/cache_metadata.json,5189,6cc362fee472470de3b8dda5aace33c14931c0e04dd5f6a02e0b611390c30251
split_metrics,/net/scratch/j96317yn/NotebookCT3/outputs/10_signed_staged_residual_symbolic_pilot/iteration_4/selected_models_split_metrics.csv,2667,fa8b8c3c8c00711d489b8df0a1c4af8b5222e186b04f6de0e2b3a7809a6add2f
