Complexity,Loss,Equation
1,1.0,"-8.560956e-5"
3,0.9420276,"nearest_radial_boundary_fraction_proxy_scaled * 0.24044226"
5,0.8983645,"(nearest_radial_boundary_fraction_proxy_scaled + z_scaled) * 0.22148599"
7,0.8664833,"gauss(fluence_rate_scaled) - 0.6189402"
9,0.83933,"(nearest_axial_boundary_fraction_proxy_scaled - -0.9565401) * ((z_fraction_proxy_scaled * -0.6972313) * z_fraction_proxy_scaled)"
10,0.8372566,"(z_fraction_proxy_scaled * (abs(nearest_axial_boundary_fraction_proxy_scaled) - 1.010027)) * z_fraction_proxy_scaled"
11,0.8212426,"gauss(fluence_rate_scaled) - gauss(nearest_axial_boundary_fraction_proxy_scaled)"
12,0.79934245,"(gauss(fluence_rate_scaled) * abs(nearest_axial_boundary_fraction_proxy_scaled)) - 0.5720946"
13,0.7935823,"z_fraction_proxy_scaled * ((gauss(fluence_rate_within_case_z_scaled + -0.46687108) - 0.5707568) * z_fraction_proxy_scaled)"
15,0.7701019,"(z_within_case_z_scaled * ((nearest_axial_boundary_fraction_proxy_scaled * gauss(fluence_rate_scaled)) - -0.61343104)) * (z_within_case_z_scaled * -0.739776)"
17,0.70069623,"z_within_case_z_scaled * (((nearest_axial_boundary_fraction_proxy_scaled * gauss(fluence_rate_within_case_z_scaled + -0.5218975)) - -0.6135336) * (z_within_case_z_scaled * -0.91314876))"
19,0.67946845,"(((((nearest_axial_boundary_fraction_proxy_scaled * gauss(-0.42097187 - rho_within_case_z_scaled)) - -0.61097527) * z_within_case_z_scaled) - 0.21557352) * -0.7944215) * z_within_case_z_scaled"
21,0.6644931,"((z_within_case_z_scaled + 0.27480233) * ((((gauss(-0.4212848 - rho_within_case_z_scaled) * nearest_axial_boundary_fraction_proxy_scaled) - -0.6646149) * z_within_case_z_scaled) - 0.21543808)) * -0.86144215"
