stage,run_id,candidate_index,complexity,loss,score,equation,formula_scaled_sympy,formula_original_variables,feature_support_json,structure_signature,family_signature,segment,attempt,search_mode,completed_segment,completed_attempt
shape,recoverable_i1_single_shape,0,1,0.9999999,0.0,3.2088807e-5,3.20888070000000e-5,0.285774961493221,[],CONST,"{""features"": [], ""operators"": []}",6,1,warm_start_checkpoint,6,1
shape,recoverable_i1_single_shape,1,3,0.9200946,0.0416393440691646,weight_loss_rate_within_case_z_scaled * -0.28246352,weight_loss_rate_within_case_z_scaled*(-0.28246352),0.338682388136667 - 0.263778515239209*weight_loss_rate_within_case_z,"[""weight_loss_rate_within_case_z_scaled""]","Mul(Integer(-1), CONST, Symbol('weight_loss_rate_within_case_z_scaled'))","{""features"": [""weight_loss_rate_within_case_z_scaled""], ""operators"": [""Mul""]}",6,1,warm_start_checkpoint,6,1
shape,recoverable_i1_single_shape,2,5,0.8453067,0.0423884853801392,fluence_rate_scaled * (rho_within_case_z_scaled * 0.25405452),fluence_rate_scaled*rho_within_case_z_scaled*0.25405452,0.280267443290953*(1.88569304205524*fluence_rate - 6.93049292450245)*(0.886855416159597*rho_within_case_z + 0.230750889548587) + 0.285739561816426,"[""fluence_rate_scaled"", ""rho_within_case_z_scaled""]","Mul(CONST, Symbol('fluence_rate_scaled'), Symbol('rho_within_case_z_scaled'))","{""features"": [""fluence_rate_scaled"", ""rho_within_case_z_scaled""], ""operators"": [""Mul""]}",6,1,warm_start_checkpoint,6,1
shape,recoverable_i1_single_shape,3,6,0.81487864,0.0366603259060151,0.7802671 - abs(fluence_rate_scaled),0.7802671 - Abs(fluence_rate_scaled),1.14651332486952 - 1.10317833861391*Abs(1.88569304205524*fluence_rate - 6.93049292450245),"[""fluence_rate_scaled""]","Mul(Integer(-1), CONST, Add(Mul(CONST, Abs(Symbol('fluence_rate_scaled'))), CONST))","{""features"": [""fluence_rate_scaled""], ""operators"": [""Abs"", ""Add"", ""Mul""]}",6,1,warm_start_checkpoint,6,1
shape,recoverable_i1_single_shape,4,7,0.80847645,0.0078876435994188,(rho_within_case_z_scaled * (fluence_rate_scaled * 0.3140224)) + 0.21319573,rho_within_case_z_scaled*fluence_rate_scaled*0.3140224 + 0.21319573,0.346422709519551*(1.88569304205524*fluence_rate - 6.93049292450245)*(0.886855416159597*rho_within_case_z + 0.230750889548587) + 0.520932473037405,"[""fluence_rate_scaled"", ""rho_within_case_z_scaled""]","Mul(CONST, Add(Mul(CONST, Symbol('fluence_rate_scaled'), Symbol('rho_within_case_z_scaled')), CONST))","{""features"": [""fluence_rate_scaled"", ""rho_within_case_z_scaled""], ""operators"": [""Add"", ""Mul""]}",6,1,warm_start_checkpoint,6,1
shape,recoverable_i1_single_shape,5,8,0.7877594,0.0259588372921292,0.57502663 - (abs(fluence_rate_scaled) * 0.73684496),0.57502663 - 0.73684496*Abs(fluence_rate_scaled),0.920096484158579 - 0.81287139878883*Abs(1.88569304205524*fluence_rate - 6.93049292450245),"[""fluence_rate_scaled""]","Mul(Integer(-1), CONST, Add(Mul(CONST, Abs(Symbol('fluence_rate_scaled'))), CONST))","{""features"": [""fluence_rate_scaled""], ""operators"": [""Abs"", ""Add"", ""Mul""]}",6,1,warm_start_checkpoint,6,1
shape,recoverable_i1_single_shape,6,9,0.7366099,0.0671342692349853,((theta_cos_scaled * theta_cos_scaled) - square(rho_within_case_z_scaled)) * 0.2483528,(-rho_within_case_z_scaled**2 + theta_cos_scaled*theta_cos_scaled)*0.2483528,-0.215486680850048*(rho_within_case_z + 0.260189976115635)**2 + 65.1287958875523*(theta_cos - 0.922666019258146)**2 + 0.285739561816426,"[""rho_within_case_z_scaled"", ""theta_cos_scaled""]","Mul(Integer(-1), CONST, Add(Mul(CONST, Symbol('rho_within_case_z_scaled')), Mul(Integer(-1), CONST, Symbol('theta_cos_scaled'))), Add(Mul(CONST, Symbol('rho_within_case_z_scaled')), Mul(CONST, Symbol('theta_cos_scaled'))))","{""features"": [""rho_within_case_z_scaled"", ""theta_cos_scaled""], ""operators"": [""Add"", ""Mul"", ""Pow""]}",6,1,warm_start_checkpoint,6,1
shape,recoverable_i1_single_shape,7,10,0.7259169,0.0146228985874644,(abs(theta_cos_scaled) + (rho_within_case_z_scaled * fluence_rate_scaled)) * 0.3635569,(fluence_rate_scaled*rho_within_case_z_scaled + Abs(theta_cos_scaled))*0.3635569,0.401068096933622*(1.88569304205524*fluence_rate - 6.93049292450245)*(0.886855416159597*rho_within_case_z + 0.230750889548587) + 0.401068096933622*Abs(15.4180386938948*theta_cos - 14.225700386464) + 0.285739561816426,"[""fluence_rate_scaled"", ""rho_within_case_z_scaled"", ""theta_cos_scaled""]","Mul(CONST, Add(Mul(CONST, Symbol('fluence_rate_scaled'), Symbol('rho_within_case_z_scaled')), Mul(CONST, Abs(Symbol('theta_cos_scaled')))))","{""features"": [""fluence_rate_scaled"", ""rho_within_case_z_scaled"", ""theta_cos_scaled""], ""operators"": [""Abs"", ""Add"", ""Mul""]}",6,1,warm_start_checkpoint,6,1
shape,recoverable_i1_single_shape,8,11,0.7108732,0.0209414719304866,((fluence_rate_scaled * rho_within_case_z_scaled) * 0.3374678) + square(theta_cos_scaled * 0.4450257),fluence_rate_scaled*rho_within_case_z_scaled*0.3374678 + 0.19804787366049*theta_cos_scaled**2,0.37228716693969*(1.88569304205524*fluence_rate - 6.93049292450245)*(0.886855416159597*rho_within_case_z + 0.230750889548587) + 51.936678545995*(theta_cos - 0.922666019258146)**2 + 0.285739561816426,"[""fluence_rate_scaled"", ""rho_within_case_z_scaled"", ""theta_cos_scaled""]","Mul(CONST, Add(Mul(CONST, Symbol('fluence_rate_scaled'), Symbol('rho_within_case_z_scaled')), Mul(CONST, Pow(Symbol('theta_cos_scaled'), Integer(2)))))","{""features"": [""fluence_rate_scaled"", ""rho_within_case_z_scaled"", ""theta_cos_scaled""], ""operators"": [""Add"", ""Mul"", ""Pow""]}",6,1,warm_start_checkpoint,6,1
shape,recoverable_i1_single_shape,9,13,0.70069504,0.00721065840862,(((theta_cos_scaled * -1.1405452) - square(rho_within_case_z_scaled)) * -0.15442733) * (theta_cos_scaled + -1.6082178),(-rho_within_case_z_scaled**2 + theta_cos_scaled*(-1.1405452))*(-0.15442733)*(theta_cos_scaled - 1.6082178),-0.170360885345981*(15.4180386938948*theta_cos - 15.833918186464)*(-17.584970025736*theta_cos - 0.786512529171612*(rho_within_case_z + 0.260189976115635)**2 + 16.2250542924196) + 0.285739561816426,"[""rho_within_case_z_scaled"", ""theta_cos_scaled""]","Mul(CONST, Add(Mul(CONST, Pow(Symbol('rho_within_case_z_scaled'), Integer(2))), Mul(CONST, Symbol('theta_cos_scaled'))), Add(Mul(CONST, Symbol('theta_cos_scaled')), CONST))","{""features"": [""rho_within_case_z_scaled"", ""theta_cos_scaled""], ""operators"": [""Add"", ""Mul"", ""Pow""]}",6,1,warm_start_checkpoint,6,1
shape,recoverable_i1_single_shape,10,14,0.653575,0.0696154635955321,square(theta_cos_scaled * 0.6868323) + (abs(rho_within_case_z_scaled * theta_cos_scaled) * -0.76631427),0.47173860832329*theta_cos_scaled**2 + Abs(rho_within_case_z_scaled*theta_cos_scaled)*(-0.76631427),123.710171714454*(theta_cos - 0.922666019258146)**2 - 0.845381303234728*Abs((0.886855416159597*rho_within_case_z + 0.230750889548587)*(15.4180386938948*theta_cos - 14.225700386464)) + 0.285739561816426,"[""rho_within_case_z_scaled"", ""theta_cos_scaled""]","Mul(Integer(-1), CONST, Add(Mul(Integer(-1), CONST, Pow(Symbol('theta_cos_scaled'), Integer(2))), Mul(CONST, Abs(Mul(Symbol('rho_within_case_z_scaled'), Symbol('theta_cos_scaled'))))))","{""features"": [""rho_within_case_z_scaled"", ""theta_cos_scaled""], ""operators"": [""Abs"", ""Add"", ""Mul"", ""Pow""]}",6,1,warm_start_checkpoint,6,1
shape,recoverable_i1_single_shape,11,16,0.64607394,0.0057716688415783,square(theta_cos_scaled * -0.6835263) + (abs((rho_within_case_z_scaled * theta_cos_scaled) + -0.10443188) * -0.7745046),0.46720820279169*theta_cos_scaled**2 + Abs(rho_within_case_z_scaled*theta_cos_scaled - 0.10443188)*(-0.7745046),122.522104347566*(theta_cos - 0.922666019258146)**2 - 0.854416697876828*Abs((0.886855416159597*rho_within_case_z + 0.230750889548587)*(15.4180386938948*theta_cos - 14.225700386464) - 0.10443188) + 0.285739561816426,"[""rho_within_case_z_scaled"", ""theta_cos_scaled""]","Mul(Integer(-1), CONST, Add(Mul(Integer(-1), CONST, Pow(Symbol('theta_cos_scaled'), Integer(2))), Mul(CONST, Abs(Add(Mul(Symbol('rho_within_case_z_scaled'), Symbol('theta_cos_scaled')), CONST)))))","{""features"": [""rho_within_case_z_scaled"", ""theta_cos_scaled""], ""operators"": [""Abs"", ""Add"", ""Mul"", ""Pow""]}",6,1,warm_start_checkpoint,6,1
shape,recoverable_i1_single_shape,12,18,0.6399241,0.0047821899330864,(abs((theta_cos_scaled * rho_within_case_z_scaled) - 0.14569826) * -0.81714106) + (square(theta_cos_scaled * -0.67471594) + 0.106293574),0.455241599690084*theta_cos_scaled**2 + Abs(rho_within_case_z_scaled*theta_cos_scaled - 1*0.14569826)*(-0.81714106) + 0.106293574,119.383945845339*(theta_cos - 0.922666019258146)**2 - 0.901452316984006*Abs((0.886855416159597*rho_within_case_z + 0.230750889548587)*(15.4180386938948*theta_cos - 14.225700386464) - 0.14569826) + 0.40300033018708,"[""rho_within_case_z_scaled"", ""theta_cos_scaled""]","Mul(Integer(-1), CONST, Add(Mul(Integer(-1), CONST, Pow(Symbol('theta_cos_scaled'), Integer(2))), Mul(CONST, Abs(Add(Mul(Symbol('rho_within_case_z_scaled'), Symbol('theta_cos_scaled')), CONST))), CONST))","{""features"": [""rho_within_case_z_scaled"", ""theta_cos_scaled""], ""operators"": [""Abs"", ""Add"", ""Mul"", ""Pow""]}",6,1,warm_start_checkpoint,6,1
