Complexity,Loss,Equation
1,0.9999999,"3.2088807e-5"
3,0.9200946,"weight_loss_rate_within_case_z_scaled * -0.28246352"
5,0.8450822,"fluence_rate_scaled * (fluence_rate_within_case_z_scaled * -0.23631586)"
6,0.81487864,"0.7802671 - abs(fluence_rate_scaled)"
7,0.80847645,"(rho_within_case_z_scaled * (fluence_rate_scaled * 0.3140224)) + 0.21319573"
8,0.7725567,"rho_scaled * (abs(rho_scaled) + -1.5419669)"
9,0.7366033,"((theta_cos_scaled * theta_cos_scaled) - square(rho_within_case_z_scaled)) * 0.24702795"
10,0.7259169,"(abs(theta_cos_scaled) + (rho_within_case_z_scaled * fluence_rate_scaled)) * 0.3635569"
11,0.7108732,"((fluence_rate_scaled * rho_within_case_z_scaled) * 0.3374678) + square(theta_cos_scaled * 0.4450257)"
12,0.7038818,"(0.30413145 - rho_scaled) * ((abs(rho_scaled) + -1.5044442) * -0.71074325)"
13,0.70069504,"(((theta_cos_scaled * -1.1405452) - square(rho_within_case_z_scaled)) * -0.15442733) * (theta_cos_scaled + -1.6082178)"
14,0.65356857,"square(theta_cos_scaled * 0.68717235) + (abs(rho_within_case_z_scaled * theta_cos_within_case_z_scaled) * -0.7670775)"
16,0.59651536,"((theta_cos_scaled * (theta_sin_scaled * -0.54305893)) - rho_scaled) * ((abs(rho_scaled) + -1.5176885) * -0.5709942)"
18,0.5817304,"(((((theta_cos_scaled * theta_sin_scaled) * -0.7294356) - rho_scaled) * (abs(rho_scaled) + -1.5512555)) + 0.30401608) * -0.50046"
22,0.552861,"(abs(rho_scaled + 0.757475) + -2.4488266) * ((((1.3981436 - theta_cos_scaled) * 0.2961056) - (rho_scaled * (rho_scaled + 0.65401906))) * -0.56791365)"
23,0.51135963,"((abs(theta_cos_scaled) * -0.3392919) - ((rho_scaled + 0.5516943) * (rho_scaled * -0.6075758))) * (abs(rho_scaled + 0.7099127) + -2.41054)"
25,0.51007855,"(((abs(theta_cos_scaled) * -0.3682405) - (((rho_scaled + 0.5343488) * rho_scaled) * -0.59704584)) * (abs(rho_scaled + 0.71280664) + -2.3833053)) - 0.06332859"
28,0.5095462,"((abs(rho_scaled + 0.7502038) + -2.182191) * (((square((theta_cos_scaled - 0.29160264) * 0.42733732) + 0.8489491) - ((rho_scaled + 0.31703788) * rho_scaled)) * -0.57194555)) - 0.4405511"
