Complexity,Loss,Equation
1,0.9999999,"3.2088807e-5"
3,0.9200946,"weight_loss_rate_within_case_z_scaled * -0.28246352"
5,0.8450822,"fluence_rate_scaled * (fluence_rate_within_case_z_scaled * -0.23631586)"
6,0.81487864,"0.7802671 - abs(fluence_rate_scaled)"
7,0.79559606,"(theta_cos_scaled - (rho_scaled * fluence_rate_scaled)) * -0.24838354"
8,0.7725567,"rho_scaled * (abs(rho_scaled) + -1.5419669)"
9,0.7262442,"((theta_sin_scaled * theta_cos_scaled) - (rho_scaled * fluence_rate_scaled)) * -0.2975769"
10,0.7259169,"(abs(theta_cos_scaled) + (rho_within_case_z_scaled * fluence_rate_scaled)) * 0.3635569"
11,0.7086823,"(((theta_sin_scaled * theta_cos_scaled) * 0.7067983) - (rho_scaled * fluence_rate_scaled)) * -0.35142067"
12,0.7038818,"(0.30413145 - rho_scaled) * ((abs(rho_scaled) + -1.5044442) * -0.71074325)"
13,0.6937517,"((theta_cos_scaled + -1.9003185) * ((0.39010203 - theta_cos_scaled) - square(rho_within_case_z_scaled))) * -0.14201234"
14,0.65356857,"square(theta_cos_scaled * 0.68717235) + (abs(rho_within_case_z_scaled * theta_cos_within_case_z_scaled) * -0.7670775)"
16,0.5965109,"((theta_cos_scaled * (theta_sin_scaled * -0.54230505)) - rho_scaled) * ((abs(rho_scaled) + -1.5157052) * -0.5709048)"
18,0.5817236,"(((((theta_cos_scaled * theta_sin_scaled) * -0.72789794) - rho_scaled) * (abs(rho_scaled) + -1.5515759)) + 0.3043583) * -0.49794212"
21,0.5611421,"((abs(theta_cos_scaled) * -0.38593993) - ((rho_scaled * rho_scaled) * -0.44122168)) * (abs(rho_scaled + 0.7404361) + -2.4153783)"
22,0.55285203,"(abs(rho_scaled + 0.75682306) + -2.446154) * ((((1.3968052 - theta_cos_scaled) * 0.29733866) - (rho_scaled * (rho_scaled + 0.6561748))) * -0.5693967)"
23,0.51135546,"((abs(theta_cos_scaled) * -0.33720678) - ((rho_scaled + 0.55312616) * (rho_scaled * -0.60745907))) * (abs(rho_scaled + 0.70872515) + -2.4089437)"
25,0.510062,"(((abs(theta_cos_scaled) * -0.36819604) - (((rho_scaled + 0.5297703) * rho_scaled) * -0.59498614)) * (abs(rho_scaled + 0.71414894) + -2.381751)) - 0.06703055"
26,0.50357753,"((((0.753177 - rho_scaled) + square(theta_cos_scaled * 0.666713)) * ((abs(rho_scaled + 0.83936626) + -2.0936186) * (rho_within_case_z_scaled + 1.3721688))) * -0.4619026) - 0.52625155"
28,0.49809313,"(((((rho_within_case_z_scaled + 1.81837) * -0.3839766) * (abs(rho_scaled + 0.65890825) + -1.959724)) - 0.20878386) * ((0.84546155 - rho_scaled) + square(theta_cos_scaled * 0.6773623))) - 0.5120345"
