case_id,weighted_numerator,weighted_denominator,unconstrained_case_gain,q90,q95,q99,raw_weight_mean,normalised_weight_mean,normalised_weight_min,normalised_weight_max
case_01,537900.8195466878,254079.84894791374,2.1170542322581323,8.621943473815918,10.326234483718872,16.558459148406914,1.2400064941552602,1.0000000000000002,0.8064473893592293,6.451579114873835
case_06,469084.981298978,219573.0913609814,2.1363500344757425,8.970299243927002,10.134570455551147,15.962084121704066,1.240003996403237,1.0,0.8064490137939926,6.451592110351941
case_10,504353.40172366146,264107.5758611305,1.9096513989771116,8.422401428222656,10.146135330200195,16.147420253753637,1.240003996403237,1.0,0.8064490137939926,6.451592110351941
case_11,542911.6206103878,255616.70633065724,2.1239285506953345,9.481954383850102,10.622378873825072,17.002918834686216,1.240003996403237,1.0,0.8064490137939926,6.451592110351941
case_12,517169.7215410106,243984.53049784328,2.119682426118332,8.25219078063965,10.082114791870117,16.142577419280983,1.240003996403237,1.0,0.8064490137939926,6.451592110351941
case_13,428175.30486676417,191164.55099728703,2.2398258601451726,7.618145275115968,9.118360137939451,14.603178558349592,1.240003996403237,1.0,0.8064490137939926,6.451592110351941
case_14,422646.01963292126,210679.80188774402,2.006106023671499,7.814601469039917,9.186977624893188,14.805124273300162,1.240003996403237,1.0,0.8064490137939926,6.451592110351941
case_15,174807.21522880372,86847.87517507043,2.0127978361752934,4.917429590225221,5.832143068313598,9.363036231994613,1.240003996403237,1.0,0.8064490137939926,6.451592110351941
case_16,483282.36245743337,241781.97197947922,1.9988353908307566,8.29208583831787,9.801409292221068,15.720469598770103,1.240003996403237,1.0,0.8064490137939926,6.451592110351941
case_17,361790.77950766374,159232.86945993715,2.2720860381071635,7.94538350105286,8.882305335998534,13.956213130950902,1.240003996403237,1.0,0.8064490137939926,6.451592110351941
case_18,477525.1698796743,250500.82003421945,1.9062818629274043,8.313796043395998,9.915027427673339,15.819301843643087,1.240003996403237,1.0,0.8064490137939926,6.451592110351941
case_19,546121.8619895692,270531.4171700769,2.0187003332268607,8.578166675567628,10.343796873092652,16.581697864532423,1.240003996403237,1.0,0.8064490137939926,6.451592110351941
case_20,519983.65068144485,250264.8554727412,2.0777334064713746,8.465796852111817,10.149102687835692,16.289631748199415,1.240003996403237,1.0,0.8064490137939926,6.451592110351941
case_21,258839.0101761005,179384.94448900587,1.4429249395116557,6.813072156906129,8.021694707870484,12.29129181861873,1.240003996403237,1.0,0.8064490137939926,6.451592110351941
case_24,384824.2823857879,193314.4942331921,1.990664403681913,7.66337251663208,9.102337694168089,14.59939882278439,1.240003996403237,1.0,0.8064490137939926,6.451592110351941
case_27,294345.05111957586,202706.8100001753,1.4520728293209355,7.139598655700684,8.11301689147949,13.111589975357049,1.240003996403237,1.0,0.8064490137939926,6.451592110351941
case_28,459909.46741320356,276183.82682835497,1.665229541840739,8.16353693008423,9.724851751327513,15.672686471939013,1.240003996403237,1.0,0.8064490137939926,6.451592110351941
case_29,24549.46212648788,55123.77813280286,0.44535158797250646,3.055029153823853,3.50241869688034,5.4425946283340405,1.240003996403237,1.0,0.8064490137939926,6.451592110351941
case_32,459165.82504339854,341497.0177462018,1.3445675984926093,8.342197036743167,10.015990829467771,15.115796918868979,1.240003996403237,1.0,0.8064490137939926,6.451592110351941
case_34,283367.11601594667,179346.01211143666,1.580002324444641,7.029938602447512,8.226318550109863,12.876111402511585,1.240003996403237,1.0,0.8064490137939926,6.451592110351941
case_35,164209.1563540362,106485.84113549093,1.5420750270930295,5.815611219406129,6.875816249847412,10.138929128646827,1.240003996403237,1.0,0.8064490137939926,6.451592110351941
case_36,-88349.39615580846,273863.37944283016,-0.3226039068660937,6.371178054809575,9.813024330139159,19.2957092285156,1.240003996403237,1.0,0.8064490137939926,6.451592110351941
case_39,81635.514098415,123734.74642229847,0.6597622451158417,5.178376388549805,6.646077251434326,10.974815073013293,1.240003996403237,1.0,0.8064490137939926,6.451592110351941
case_40,353540.6212179852,188589.82709799038,1.874653721562018,7.539405775070191,8.88729267120361,14.066408891677813,1.240003996403237,1.0,0.8064490137939926,6.451592110351941
case_42,211194.31858685313,292564.8197214761,0.7218718873578569,7.019306039810181,8.91228380203247,13.76958976745605,1.240003996403237,1.0000000000000002,0.8064490137939926,6.451592110351941
case_43,214187.8010074801,290137.84195253707,0.738227731915503,7.143338203430185,9.005365419387815,13.601225948333738,1.240003996403237,1.0,0.8064490137939926,6.451592110351941
case_44,407816.3741422713,229518.1481229866,1.7768371585315517,7.955138158798219,9.196964502334595,14.862060785293576,1.240003996403237,1.0,0.8064490137939926,6.451592110351941
case_45,398646.12063326815,347853.2580953136,1.146018073299279,8.678328609466552,10.862130212783812,15.904301156997667,1.240003996403237,0.9999999999999999,0.8064490137939926,6.451592110351941
case_47,385052.981642763,212739.0183152966,1.8099781821503147,7.777303504943848,9.033231782913207,14.435490150451656,1.240003996403237,1.0,0.8064490137939926,6.451592110351941
case_48,561802.3364130794,279088.6700040558,2.0129886906728074,8.957969093322754,10.65202441215515,16.89704576492309,1.240003996403237,1.0,0.8064490137939926,6.451592110351941
case_49,520927.71997287014,271548.942238667,1.9183566530523317,8.614511680603032,10.265372943878171,16.352748069763166,1.240003996403237,1.0,0.8064490137939926,6.451592110351941
case_51,130962.73152633575,112095.6975819639,1.168311847388936,5.316217565536501,6.196873641014097,9.536471252441398,1.240003996403237,1.0,0.8064490137939926,6.451592110351941
case_52,405455.51365795627,214265.37237613357,1.8923053648920773,8.210784435272217,9.567922735214232,15.024835319519037,1.240003996403237,1.0,0.8064490137939926,6.451592110351941
case_54,388350.08618572715,242569.37650087854,1.6009856305349435,8.060875701904298,9.406452131271362,14.854768409728997,1.240003996403237,1.0,0.8064490137939926,6.451592110351941
case_56,255929.72492945762,219322.94852392928,1.1669080990014793,7.545088195800784,9.012357282638549,12.885962295532151,1.240003996403237,1.0,0.8064490137939926,6.451592110351941
case_57,347367.84400585666,218608.49581801737,1.5889951701375147,8.346374702453614,9.728502988815302,14.611289510726927,1.240003996403237,1.0,0.8064490137939926,6.451592110351941
case_58,187742.63881627744,100627.45922207442,1.8657197574863615,5.742211008071901,6.500666666030883,10.108694267272929,1.240003996403237,1.0,0.8064490137939926,6.451592110351941
