fluence_rate_mean,fluence_rate_p95,temperature_mean,temperature_p95,weight_loss_rate_mean,weight_loss_rate_std,case_id,estimated_v10_mean_residual_mpa
3.399423837661743,4.336071968078613,398.7736511230469,431.3729248046875,0.3569064140319824,0.0541711002588272,case_01,-0.2733915116026564
3.47940444946289,4.354030132293701,426.3059997558594,442.93011474609375,0.3404279053211212,0.04245026409626,case_06,-0.523980049291656
3.434783697128296,4.363170146942139,386.9534912109375,426.16058349609375,0.3542420864105224,0.0568722411990165,case_10,-0.4690361878035638
3.423363447189331,4.352518081665039,439.5626831054688,447.81744384765625,0.3563190102577209,0.0523955263197422,case_11,-0.32544604898490714
3.4136345386505127,4.322353839874268,383.26806640625,426.6660461425781,0.3571361303329468,0.0514870733022689,case_12,-0.39463361140948816
3.357408046722412,4.221428871154785,385.4025268554688,425.37994384765625,0.356633573770523,0.0537875443696975,case_13,-0.2145160819097942
3.4991164207458496,4.3103108406066895,385.0202941894531,427.4309997558594,0.357739120721817,0.051540445536375,case_14,-0.6509430969511394
3.17668890953064,3.788631916046143,389.1473388671875,427.666748046875,0.352100133895874,0.0616110749542713,case_15,-0.09523477999138841
3.462811231613159,4.341714859008789,389.4546813964844,427.8513793945313,0.3562471866607666,0.0535491593182086,case_16,-0.4888637422477089
3.3391776084899902,4.13048791885376,440.5730590820313,448.5782775878906,0.3592750132083893,0.0520152747631073,case_17,-0.19801827031293584
3.517946720123291,4.379520893096924,385.7846374511719,427.0711975097656,0.35971400141716,0.0523169860243797,case_18,-0.6400228079262833
3.423744201660156,4.346603870391846,390.79241943359375,430.1040954589844,0.3600948452949524,0.0629341006278991,case_19,-0.37551898372013515
3.4376983642578125,4.357461929321289,386.24993896484375,428.4507751464844,0.3569400310516357,0.0531734600663185,case_20,-0.47564432625902864
3.7922611236572266,4.532018184661865,380.0529174804688,418.7206726074219,0.304046481847763,0.0346808359026908,case_21,-1.1753659974712374
3.4139652252197266,4.31955099105835,386.143798828125,428.4120788574219,0.2968947887420654,0.0334775671362876,case_24,-0.8957019945835336
3.465683460235596,4.414574146270752,385.1637573242188,427.7463684082031,0.5838103294372559,0.0133214984089136,case_27,-0.828566559030051
3.444808959960937,4.344237804412842,388.1788024902344,427.000244140625,0.4003788828849792,0.0502807050943374,case_28,-0.5172202654599118
3.1236889362335205,3.676456928253174,392.5954895019531,424.3432922363281,0.3146193325519562,0.0281614027917385,case_29,-0.7903963835269483
4.004930019378662,4.635653018951416,385.7896423339844,427.2201232910156,0.3441199362277984,0.0573530942201614,case_32,-0.5377311133695439
3.406077146530152,4.2971391677856445,389.1787109375,428.2310485839844,0.5822104215621948,0.0434413105249404,case_34,-0.5047371429631555
3.4408388137817383,4.375041961669922,371.5977478027344,408.7979736328125,0.6220473647117615,0.0442086197435855,case_35,-0.6360548944643591
4.85212516784668,5.117259979248047,433.7020263671875,446.0522766113281,0.4091252386569977,0.0524387471377849,case_36,-1.398952087266403
