Complexity,Loss,Equation
1,0.3871856924450639,"-0.09940782987420842"
3,0.38101974896309193,"hotspot_rbf_max_proxy_scaled * 0.15791893033485313"
5,0.37825647238682386,"(hotspot_rbf_max_proxy_scaled * 0.15195572110428485) + -0.08736339443655075"
6,0.37624348331049534,"abs(fluence_rate_scaled) * -0.18755370619458556"
8,0.3738785501900506,"0.12621286828771713 - (abs(fluence_rate_scaled) * 0.2820870691664308)"
9,0.36722991037537367,"(0.7923809703625972 - gauss(fluence_rate_scaled)) * -0.6671960421142302"
11,0.3616655939345888,"((-0.5572984811370764 - nearest_radial_boundary_fraction_proxy_scaled) * ((0.9990325337477687 - fluence_rate_mean_scaled) * -0.22188412417689665)) + -0.20186812607489216"
13,0.36027329866755653,"((((-0.5441946625084958 - nearest_radial_boundary_fraction_proxy_scaled) * 1.2700286595320291) * (0.999443670308231 - fluence_rate_mean_scaled)) * -0.14560895246739844) + -0.20174465355674087"
14,0.35358282364439686,"((v10_fixed_shape_proxy_scaled + (1.1271422114402994 - fluence_rate_mean_scaled)) * ((-0.4814224788795108 - nearest_radial_boundary_fraction_proxy_scaled) * -0.17471616471521179)) + -0.26946256887108944"
16,0.35171405552189305,"(((-0.5556525535626743 - nearest_radial_boundary_fraction_proxy_scaled) * (v10_normalised_shape_proxy_scaled + (1.6883304405585107 - (fluence_rate_mean_scaled * 1.69963313512397)))) * -0.12245124938693439) + -0.26805481114406987"
17,0.34985551949764615,"((((v10_fixed_shape_proxy_scaled + abs(nearest_axial_boundary_fraction_proxy_scaled)) - fluence_rate_mean_scaled) * (-0.4669785261111731 - nearest_radial_boundary_fraction_proxy_scaled)) * -0.18018481369748318) + -0.2721375317718817"
24,0.3488272473423494,"(((-0.5542136851792806 - nearest_radial_boundary_fraction_proxy_scaled) * (((0.8009024316314592 - (fluence_rate_mean_scaled * 1.51755062256002)) + v10_normalised_shape_proxy_scaled) + (tanh(fluence_rate_scaled) + 0.3508355051260769))) * -0.1685289792170672) + -0.2878162522866845"
26,0.34857272059531774,"(((-0.6402631355002396 - nearest_radial_boundary_fraction_proxy_scaled) * ((((0.14014067319103513 - fluence_rate_mean_scaled) * 1.4186293529479679) + (v10_normalised_shape_proxy_scaled + 1.0591100055750413)) + (tanh(fluence_rate_scaled) + 0.0037276977355581685))) * -0.16801857139516482) + -0.30711045463438386"
28,0.3479172874259459,"((-0.6442533477683142 - nearest_radial_boundary_fraction_proxy_scaled) * (((((gauss(fluence_rate_mean_scaled) - fluence_rate_mean_scaled) * 1.2189233245454543) + (v10_normalised_shape_proxy_scaled + tanh(fluence_rate_scaled))) + 0.28751038087936687) * -0.16376424731786948)) + -0.3041597029868206"
