split,oracle_macro_rmse_ratio_to_direct,deployable_macro_rmse_ratio_to_direct,oracle_p95_error_ratio_to_direct,deployable_p95_error_ratio_to_direct,oracle_p99_error_ratio_to_direct,deployable_p99_error_ratio_to_direct,oracle_shape_supported,deployable_hierarchy_supported
internal_test,0.9008593720696164,0.920072076473086,0.43519941742495116,0.8241839464031696,0.28862465909451374,0.9193050499897036,True,True
validation,0.8454726023118467,0.8703183883359552,0.30257523731979985,0.6215419707661544,0.6094633137206904,1.0520266357358008,True,False
