split,model,case_p95_spearman,case_p95_std_ratio,case_p95_mean_bias,case_p99_spearman,case_p99_std_ratio,case_p99_mean_bias
internal_test,fixed_v8_global_trend,0.9678571428571429,0.8802968841907782,-1.343237135456384,0.7678571428571428,0.8616800416830704,-3.5940219812840772
internal_test,v9_trend_plus_symbolic_residual,0.7535714285714286,1.2164381868593503,1.2950821521096187,0.8107142857142855,1.0811526549012205,-0.09672675635875964
validation,fixed_v8_global_trend,0.8428571428571429,0.7225003040651823,-1.0936434012258163,0.825,0.661623816338624,-3.088852677798473
validation,v9_trend_plus_symbolic_residual,0.9285714285714284,1.0072263596916633,1.5361349728160028,0.8321428571428571,0.9241850505950565,0.3961917261348165
