case_a,case_b,case_number_a,case_number_b,input_distribution_distance,stress_distribution_distance,response_profile_distance,stress_p95_relative_difference,stress_p99_relative_difference,stress_max_relative_difference,input_distribution_distance_percentile,stress_distribution_distance_percentile,response_profile_distance_percentile,combined_distance_percentile_score,rank_of_b_from_a,rank_of_a_from_b,similarity_candidate,provisional_practical_screen
case_06,case_79,6,79,1.0513166512097258,0.2160597957984917,0.8234589146875032,0.007740335550178944,0.007033813098214485,0.09392690804042989,0.3488655398203137,0.08826963098319882,0.40921780620273085,0.28211765900208113,28,63,False,difference_exceeds_integrated_presplit_screen
case_114,case_194,114,194,0.5825751852552506,0.7645686840938023,0.7745835397939783,0.23497814543608195,0.22186502089434362,0.20835566811215184,0.06750926348916299,0.42079082280087304,0.3581544084056647,0.2821514982319002,55,62,False,difference_exceeds_integrated_presplit_screen
case_58,case_86,58,86,0.9336694272961039,0.6042838078671638,0.6766613048465046,0.15605545721247874,0.1960822686874287,0.15954172147268886,0.2570427897061063,0.33500837520938026,0.2544540886249429,0.2821684178468098,4,19,False,difference_exceeds_integrated_presplit_screen
case_105,case_190,105,190,0.7909847051737646,0.6739972249173141,0.7380769755413342,0.19141545022367712,0.19408340028902407,0.15782626994180488,0.15613420638546266,0.37338206182427286,0.31698898533069386,0.2821684178468098,48,55,False,difference_exceeds_integrated_presplit_screen
case_105,case_196,105,196,0.8611535753342872,0.7177539267709211,0.6668312787711024,0.19850746662734495,0.18792429190086718,0.20617893400134613,0.20481193848028018,0.39708644231257295,0.24480990812649103,0.282236096306448,49,73,False,difference_exceeds_integrated_presplit_screen
case_06,case_14,6,14,1.0149094384406365,0.46142332656202584,0.7004767911807539,0.09808666180054508,0.07520730574389137,0.06385971819298457,0.3206436221511598,0.24897213339424396,0.27729556875285516,0.2823037747660863,29,65,False,difference_exceeds_integrated_presplit_screen
case_114,case_148,114,148,0.8840957033316198,0.36011719135003895,0.85738574976442,0.11852601484141521,0.10431027367461274,0.13153696497343273,0.22054718034617532,0.1836962590731435,0.4428709202578549,0.2823714532257246,56,56,False,difference_exceeds_integrated_presplit_screen
case_129,case_168,129,168,0.9040191037900042,0.26099549534239563,0.908708770582519,0.00900114831419601,0.048745884058248694,0.05388745495506674,0.23481041571493833,0.11857266128622912,0.4937312826760063,0.2823714532257246,34,68,False,difference_exceeds_integrated_presplit_screen
case_12,case_139,12,139,0.7109202447641544,0.9286343694818691,0.6504419860407931,0.19239889294355658,0.19923457174519232,0.20107537068704998,0.11344601796863103,0.5059641642556215,0.22775493629764987,0.28238837284063417,60,57,False,difference_exceeds_integrated_presplit_screen
case_47,case_158,47,158,1.1738124576597508,0.2347577583693134,0.7239201794626489,0.00019721354411660736,0.004236600550991563,0.11124466998675313,0.44469823866808794,0.10009644180498452,0.3025227145830161,0.2824391316853629,55,33,False,difference_exceeds_integrated_presplit_screen
case_11,case_16,11,16,1.16111798837124,0.42927287852722223,0.6074312954237997,0.08039349721631223,0.07838118813992084,0.043290745078293245,0.4339373635856048,0.22719658900563422,0.1862849601543069,0.2824729709151819,21,70,False,difference_exceeds_integrated_presplit_screen
case_114,case_135,114,135,0.6857460926542918,0.8045909797824116,0.7258521257191913,0.2348912407848342,0.2471414978361268,0.31802542528834804,0.10243134866250445,0.44012994264250543,0.304857621440536,0.2824729709151819,57,9,False,difference_exceeds_integrated_presplit_screen
case_70,case_76,70,76,0.8293364971277254,0.6652567053933159,0.718826689780594,0.19426434235284032,0.21169630675888226,0.11075159442438276,0.18181818181818182,0.3690675600223339,0.296736206283945,0.2825406493748202,56,39,False,difference_exceeds_integrated_presplit_screen
case_116,case_158,116,158,1.2413813117220693,0.27246712018425195,0.648299632821458,0.06380152526498274,0.06505752954195011,0.06428208770243321,0.49581239530988275,0.12603421146134713,0.2257753413532308,0.2825406493748202,59,34,False,difference_exceeds_integrated_presplit_screen
case_11,case_108,11,108,1.323228511577585,0.38119949105131046,0.49098471034427876,0.06739474983687051,0.06865185425177561,0.005968491428264049,0.5552510024871834,0.19745190599461956,0.09507131617684382,0.2825914082195489,22,60,False,difference_exceeds_integrated_presplit_screen
case_115,case_161,115,161,1.4660953807553374,0.1592840160669706,0.5677537486047857,0.015240815114834824,0.029852636753263207,0.03211126031165356,0.6466676818435613,0.05030201512613573,0.1508045276889498,0.2825914082195489,52,36,False,difference_exceeds_integrated_presplit_screen
case_47,case_178,47,178,1.1110156716681472,0.2533525296402186,0.7575102526290521,0.003507916557700714,0.00623963602342435,0.11087354923380553,0.39571595350489824,0.11283691183188671,0.33927211816659053,0.2826083278344585,56,23,False,difference_exceeds_integrated_presplit_screen
case_19,case_171,19,171,0.798996599423677,0.5276410320380248,0.809972224246167,0.11884296193971315,0.12856333032832923,0.06033898186512133,0.16146388508197554,0.29155880412161816,0.3951068473681539,0.28270984552391587,61,52,False,difference_exceeds_integrated_presplit_screen
case_97,case_199,97,199,0.7144811881414305,0.7567281298719111,0.7368092088277021,0.12473045142864578,0.1373732700915942,0.1652060092773009,0.11491802446576316,0.41769453327242273,0.31561849652301915,0.282743684753735,68,70,False,difference_exceeds_integrated_presplit_screen
case_130,case_199,130,199,1.0698090240954237,0.460649418447604,0.659604502950316,0.11852828612113867,0.09992219998320033,0.15632176791513647,0.36267194558651844,0.2484137861022283,0.23714532257245824,0.282743684753735,49,69,False,difference_exceeds_integrated_presplit_screen
case_140,case_187,140,187,0.8267673805980997,0.2509661160089871,0.9824852636980963,0.020185635674287505,0.08006410436352356,0.030765521182798686,0.17973706918430538,0.11131414649002588,0.5572813562763311,0.2827775239835541,55,60,False,difference_exceeds_integrated_presplit_screen
case_186,case_187,186,187,0.6531212283825344,0.46967912820402435,0.9194605248010828,0.07333828595953934,0.1275344017654483,0.14610034759021723,0.08989391401451703,0.25486015938277246,0.5035784985533729,0.2827775239835541,61,61,False,difference_exceeds_integrated_presplit_screen
case_139,case_155,139,155,0.6543083444489007,0.3257472388059865,1.0450171262441157,0.09099356417998883,0.11038106370755349,0.05159077050310817,0.09029998477234658,0.15978884320592862,0.5983960205065733,0.2828282828282828,58,50,False,difference_exceeds_integrated_presplit_screen
