iteration,similarity_group,n_splits_used_by_group,leakage_detected
3,group_005,1,False
3,group_006,1,False
3,group_007,1,False
3,group_008,1,False
3,group_009,1,False
3,group_010,1,False
3,group_011,1,False
3,group_012,1,False
3,group_013,1,False
3,group_014,1,False
3,group_015,1,False
3,group_016,1,False
3,group_017,1,False
3,group_018,1,False
3,group_019,1,False
3,group_020,1,False
3,group_021,1,False
3,group_022,1,False
3,group_023,1,False
3,group_024,1,False
3,group_025,1,False
3,group_026,1,False
3,group_027,1,False
3,group_028,1,False
3,group_029,1,False
3,group_030,1,False
3,group_031,1,False
3,group_032,1,False
3,group_033,1,False
3,group_034,1,False
3,group_035,1,False
3,group_036,1,False
3,group_037,1,False
3,group_038,1,False
3,group_039,1,False
3,group_040,1,False
3,group_041,1,False
3,group_042,1,False
3,group_043,1,False
3,group_044,1,False
3,group_045,1,False
3,group_046,1,False
3,group_047,1,False
3,group_048,1,False
3,group_049,1,False
3,group_050,1,False
3,group_051,1,False
3,group_052,1,False
3,group_053,1,False
3,group_054,1,False
3,group_055,1,False
3,group_056,1,False
3,group_057,1,False
3,group_058,1,False
3,group_059,1,False
3,group_060,1,False
3,group_061,1,False
3,group_062,1,False
3,group_063,1,False
3,group_064,1,False
3,group_065,1,False
3,group_066,1,False
3,group_067,1,False
3,group_068,1,False
3,group_069,1,False
3,group_070,1,False
3,group_071,1,False
3,group_072,1,False
3,group_073,1,False
3,group_074,1,False
3,group_075,1,False
3,group_076,1,False
3,group_077,1,False
3,group_078,1,False
3,group_079,1,False
3,group_080,1,False
3,group_081,1,False
3,group_082,1,False
3,group_083,1,False
3,group_084,1,False
3,group_085,1,False
3,group_086,1,False
3,group_087,1,False
3,group_088,1,False
3,group_089,1,False
3,group_090,1,False
3,group_091,1,False
3,group_092,1,False
3,group_093,1,False
3,group_094,1,False
3,group_095,1,False
3,group_096,1,False
3,group_097,1,False
3,group_098,1,False
3,group_099,1,False
3,group_100,1,False
3,group_101,1,False
3,group_102,1,False
3,group_103,1,False
3,group_104,1,False
3,group_105,1,False
3,group_106,1,False
3,group_107,1,False
3,group_108,1,False
3,group_109,1,False
3,group_110,1,False
3,group_111,1,False
3,group_112,1,False
3,group_113,1,False
3,group_114,1,False
3,group_115,1,False
3,group_116,1,False
3,group_117,1,False
3,group_118,1,False
3,group_119,1,False
3,group_120,1,False
3,group_121,1,False
3,group_122,1,False
3,group_123,1,False
3,group_124,1,False
3,group_125,1,False
3,group_126,1,False
3,group_127,1,False
3,group_128,1,False
3,group_129,1,False
3,group_130,1,False
3,group_131,1,False
3,group_132,1,False
3,group_133,1,False
3,group_134,1,False
3,group_135,1,False
3,group_136,1,False
3,group_137,1,False
3,group_138,1,False
3,group_139,1,False
3,group_140,1,False
3,group_141,1,False
3,group_142,1,False
3,group_143,1,False
3,group_144,1,False
3,group_145,1,False
3,group_146,1,False
3,group_147,1,False
3,group_148,1,False
3,group_149,1,False
3,group_150,1,False
3,group_151,1,False
3,group_152,1,False
3,group_153,1,False
3,group_154,1,False
3,group_155,1,False
4,group_000,1,False
4,group_001,1,False
4,group_002,1,False
4,group_003,1,False
4,group_004,1,False
4,group_005,1,False
4,group_006,1,False
4,group_007,1,False
4,group_008,1,False
4,group_009,1,False
4,group_010,1,False
4,group_011,1,False
4,group_012,1,False
4,group_013,1,False
4,group_014,1,False
4,group_015,1,False
4,group_016,1,False
4,group_017,1,False
4,group_018,1,False
4,group_019,1,False
4,group_020,1,False
4,group_021,1,False
4,group_022,1,False
4,group_023,1,False
4,group_024,1,False
4,group_025,1,False
4,group_026,1,False
4,group_027,1,False
4,group_028,1,False
4,group_029,1,False
4,group_030,1,False
4,group_031,1,False
4,group_032,1,False
4,group_033,1,False
4,group_034,1,False
4,group_035,1,False
4,group_036,1,False
4,group_037,1,False
4,group_038,1,False
4,group_039,1,False
4,group_040,1,False
4,group_041,1,False
4,group_042,1,False
4,group_043,1,False
4,group_044,1,False
4,group_045,1,False
4,group_046,1,False
4,group_047,1,False
4,group_048,1,False
4,group_049,1,False
4,group_050,1,False
4,group_051,1,False
4,group_052,1,False
4,group_053,1,False
4,group_054,1,False
4,group_055,1,False
4,group_056,1,False
4,group_057,1,False
4,group_058,1,False
4,group_059,1,False
4,group_060,1,False
4,group_061,1,False
4,group_062,1,False
4,group_063,1,False
4,group_064,1,False
4,group_065,1,False
4,group_066,1,False
4,group_067,1,False
