iteration,split,metric,n_cases,split_min,split_mean,split_max,pool_min,pool_mean,pool_max,n_in_pool_bottom_10pct,n_in_pool_top_10pct
1,final_test,fluence_rate_mean,50,3.075800532081127,3.6576393301200922,5.0937675761814365,3.075800532081127,3.607506983140399,5.0937675761814365,8,8
1,final_test,temperature_mean,50,351.41064556083523,389.9113064205859,446.71809085479055,351.41064556083523,384.91069707089247,446.71809085479055,7,9
1,final_test,weight_loss_rate_mean,50,0.2730300072534719,0.3778318728716156,0.6391212553701666,0.2730300072534719,0.38571463446757215,0.6391212553701666,8,5
1,final_test,stress_p95,50,2.32110575,8.212942978,11.034744149999996,2.32110575,8.380024869095475,11.034744149999996,8,8
1,final_test,stress_p99,50,3.6403850699999993,13.337450983599968,23.167241859999923,3.6403850699999993,13.363068363517565,23.167241859999923,8,11
1,final_test,stress_max,50,8.488296,27.86904156,37.491329,8.488296,28.601669899497484,37.491329,8,10
1,final_test,negative_stress_fraction,50,0.0449595364172245,0.06804111299830148,0.4094190228794085,0.0449595364172245,0.057786170838205364,0.4094190228794085,6,8
1,internal_test,fluence_rate_mean,15,3.400256319432511,3.6573018577706735,4.957562357138575,3.075800532081127,3.607506983140399,5.0937675761814365,0,2
1,internal_test,temperature_mean,15,366.03805430914184,387.8041845833896,426.91705705457093,351.41064556083523,384.91069707089247,446.71809085479055,0,2
1,internal_test,weight_loss_rate_mean,15,0.3400049167149567,0.41807710885802774,0.6096782598261564,0.2730300072534719,0.38571463446757215,0.6391212553701666,0,3
1,internal_test,stress_p95,15,7.7352063,8.918236189999998,10.4567118,2.32110575,8.380024869095475,11.034744149999996,0,1
1,internal_test,stress_p99,15,12.114843099999977,14.15437166066664,16.659584779999992,3.6403850699999993,13.363068363517565,23.167241859999923,0,1
1,internal_test,stress_max,15,22.389339,29.85598046666667,36.075844,8.488296,28.601669899497484,37.491329,0,0
1,internal_test,negative_stress_fraction,15,0.0488035767808971,0.05328271222566351,0.0572584673793585,0.0449595364172245,0.057786170838205364,0.4094190228794085,2,1
1,train,fluence_rate_mean,119,3.176688511060046,3.5831292348778545,5.0714266586672,3.075800532081127,3.607506983140399,5.0937675761814365,10,10
1,train,temperature_mean,119,352.43258790748325,381.6484009190033,441.106624332241,351.41064556083523,384.91069707089247,446.71809085479055,12,7
