model,split,macro_rmse_mean,macro_rmse_std,macro_rmse_min,macro_rmse_max,worst_case_rmse_mean,worst_case_rmse_std,worst_case_rmse_min,worst_case_rmse_max,mean_top5_actual_rmse_mean,mean_top5_actual_rmse_std,mean_top5_actual_rmse_min,mean_top5_actual_rmse_max,mean_p95_relative_error_mean,mean_p95_relative_error_std,mean_p95_relative_error_min,mean_p95_relative_error_max,mean_p99_relative_error_mean,mean_p99_relative_error_std,mean_p99_relative_error_min,mean_p99_relative_error_max,mean_p99_underprediction_fraction_mean,mean_p99_underprediction_fraction_std,mean_p99_underprediction_fraction_min,mean_p99_underprediction_fraction_max,mean_top5pct_hotspot_overlap_mean,mean_top5pct_hotspot_overlap_std,mean_top5pct_hotspot_overlap_min,mean_top5pct_hotspot_overlap_max,mean_top1pct_hotspot_overlap_mean,mean_top1pct_hotspot_overlap_std,mean_top1pct_hotspot_overlap_min,mean_top1pct_hotspot_overlap_max,mean_top1_recall_in_predicted_top5_mean,mean_top1_recall_in_predicted_top5_std,mean_top1_recall_in_predicted_top5_min,mean_top1_recall_in_predicted_top5_max
ExtraTrees,internal_test,0.633919570091092,0.049360307840979854,0.587496957738848,0.703294614371132,1.0761980465920495,0.14437071151288836,0.9485356304160493,1.2784747838938644,1.319497047584117,0.07026777006567979,1.239667964425657,1.3850519301640882,0.05304875034294323,0.016665218062744402,0.029731322335069067,0.06858660419898949,0.06561614169045646,0.0038885370083371605,0.0601046700623333,0.06920766429153477,0.05219640296692671,0.007960849270016735,0.04175097826000199,0.05956056181186598,0.8686423885170014,0.017237939266358034,0.8478835714523597,0.8896459852799146,0.8671953046953047,0.015768268293536544,0.8487012987012987,0.8851148851148853,0.9993881118881118,0.0006086372536275415,0.9986846486846486,0.9999833499833499
ExtraTrees,train,0.5593388138129994,0.011835251335067791,0.5440267108344078,0.5729125831249244,1.493593159976012,0.30451234223435003,1.0376139878329713,1.6589878079509275,1.2044406761359219,0.029300312253895205,1.1637526481583949,1.2334448236750866,0.06873938143881314,0.003309422208797182,0.06384670474289725,0.0710081492785434,0.07102890679651767,0.004223917372183645,0.06488714440596587,0.07452789134157205,0.03869696530825663,0.0012446937139993335,0.037169276539977585,0.040163564205154004,0.8755736433848192,0.004418707440555379,0.8720827725635165,0.8818458345472268,0.877102939077729,0.005644406618246323,0.8692043250866782,0.8824914581217101,0.9999045072574484,6.12242889287847e-05,0.9998572855715713,0.9999937037752163
ExtraTrees,validation,0.8226693873949705,0.1396081401066365,0.6449514890619361,0.9492887388562049,1.9595676606907966,0.5209658232485097,1.1843329507432412,2.2836303822863955,1.6348125460857563,0.3650075425747453,1.313918450747652,2.108517743212467,0.11187584872404543,0.06404371521524502,0.057769581771491725,0.20417713172236268,0.11430655739645698,0.06338392347601698,0.07089673500950108,0.20845854122034757,0.05325930623561531,0.01782286145494241,0.030454598551224562,0.0708560389928075,0.8492406833849535,0.018136076107836494,0.8264062343890497,0.8678722483098544,0.8392690642690641,0.03898583414076851,0.7970529470529469,0.8914918414918415,0.995970695970696,0.004179673768887726,0.9901764901764901,0.9999833499833499
HistGradientBoosting,internal_test,0.7869043465866069,0.028523171810906304,0.7486953266193767,0.8147937888711323,1.2026966680244306,0.0600939116598195,1.1344889456053073,1.2592313867703344,1.4481953194057007,0.07527397148930867,1.3684336959814916,1.5166137174457348,0.055304003464473124,0.01525762507298309,0.03773266647716464,0.07449712661483114,0.06665919750906563,0.007910522636989149,0.05797868422681952,0.0750035173511058,0.052637986755125994,0.006966089677456063,0.0455267461986436,0.062207034080279874,0.8271347453958104,0.014688419880949074,0.8112931694808007,0.8468511672827789,0.8415875790875791,0.014355664406972599,0.8235431235431234,0.8553779553779552,0.9937645687645688,0.007000356887862515,0.9862637362637362,1.0
HistGradientBoosting,train,0.7673386447720452,0.017193089922610094,0.7453251431394987,0.7858187043509746,1.8015714052099288,0.3401163956948818,1.291852288755011,1.990904768480807,1.3731999540343909,0.04430984309101216,1.3203471988305544,1.419668360323336,0.07930021044534173,0.004910193201406518,0.07227495906975377,0.08340122990142257,0.0708624705078168,0.005016530042834242,0.06371456010336071,0.07472092557584852,0.035291425430066935,0.00119776797196417,0.03364142799278447,0.03649194107651062,0.8272498029084747,0.004924243158160107,0.8238047941726393,0.8345421893405179,0.8456128955078535,0.00885876587516348,0.8354586589880707,0.8562886693138793,0.9985534423559633,0.0005825973981520318,0.9979180483382164,0.9992906253410455
HistGradientBoosting,validation,0.9615019512505354,0.14338110339485427,0.7962655330934665,1.112730797489805,2.0479528659756,0.5157943994977491,1.3197683977928014,2.5348843545570374,1.7912739662240138,0.3760718633915733,1.4568537121727614,2.190278266292409,0.11396293283222389,0.06377700034018091,0.05848363006409865,0.20482176572340505,0.1167899525558487,0.06289926264063274,0.06721656770425903,0.20734909055012624,0.04694583665757955,0.01739237370258017,0.025988496638695697,0.06740749972064126,0.8082542378525993,0.01930491753626646,0.7907183534818664,0.8281213574449662,0.8097319347319347,0.0486139743251068,0.7507992007992007,0.8695471195471196,0.9908966033966033,0.007256318138620877,0.9825507825507825,0.9999333999333999
Ridge,internal_test,2.896159320018369,0.04490453301828182,2.84911050554585,2.950473993289559,3.4767557931737,0.2061882707431525,3.323451869963079,3.762459601522444,5.701623993494197,0.49353569854920454,5.074492996674991,6.264597533932058,0.1339526447153009,0.028028309505266715,0.10281816248497412,0.16577386842255173,0.2673901053379142,0.03169410558652371,0.23902421456720305,0.3092993142916262,0.2645320372787895,0.03540312977783796,0.22759194233070443,0.3092993142916262,0.2432369201052386,0.007406585159530864,0.23232424151596895,0.24818996236720284,0.2999375624375624,0.008644917558007678,0.29039294039294034,0.31108891108891107,0.5492424242424242,0.007167047324427502,0.5442390942390942,0.5596070596070596
Ridge,train,2.9166222097851726,0.023172864541893348,2.8843980700768412,2.937989732333779,5.139271240291204,0.8028477757313619,3.9351753628594466,5.558322812615054,5.419454161065722,0.061970732000905145,5.332033796042528,5.467170870002302,0.16492837802229196,0.012274170667023965,0.14665524649438091,0.17229333361624483,0.2626370448341797,0.008929825007892899,0.25004905622419027,0.26915987352557036,0.24200473914108708,0.0031968421235686337,0.23840987589243579,0.24578841202680476,0.25122830628904574,0.0026613254444120492,0.24933946003218949,0.25517160605874883,0.3113824201009075,0.0029711789084615283,0.3070542902475675,0.3138248306315533,0.5685475239046669,0.0021155040262458634,0.5658815973942025,0.5710570941663379
Ridge,validation,2.9559169780173917,0.17769959804777194,2.7619259218119945,3.1765079735592017,4.085837686268759,1.059641500316321,3.1574575510210208,5.600437546368928,5.41421158347156,0.34693694171034456,5.108879731160264,5.736255045951987,0.17730061043004935,0.09853181828407498,0.10183744103401816,0.3206817419985171,0.2824591080648289,0.06051418747316412,0.2382360469577244,0.3704819382375441,0.24447502405430033,0.016855619996392797,0.22830433602902458,0.26794409822506954,0.24856046225064105,0.01088191069245113,0.2328371132647284,0.2569354247843607,0.3052031302031302,0.037757878015465624,0.2583583083583083,0.3361804861804863,0.5677322677322677,0.015402306367127137,0.5476023976023975,0.5850482850482849
