iteration,model,split,n_cases,n_elements_evaluated,micro_mae,micro_rmse,micro_r2,macro_mae,macro_rmse,macro_r2,worst_case_rmse,mean_top5_actual_rmse,mean_top5_actual_bias,mean_p95_relative_error,mean_p95_underprediction_fraction,mean_p99_relative_error,mean_p99_underprediction_fraction,mean_top5pct_hotspot_overlap,mean_top1pct_hotspot_overlap,mean_top1_recall_in_predicted_top5,max_prediction_abs_max_ratio
1,ExtraTrees,internal_test,15,6005400,0.4338723746952725,0.6397361296858288,0.9519014717202217,0.4338723746952724,0.6162000698030341,0.9475489707615642,0.9485356304160493,1.3850519301640882,-0.7426394677406752,0.05395523045423499,0.04237846651393699,0.06622704317384402,0.05956056181186598,0.8716288673527158,0.8851148851148853,0.9999833499833499,1.0933760340261247
1,ExtraTrees,train,119,47642840,0.3777118266074172,0.5614285672498546,0.9597079815473571,0.37771182660741714,0.5440267108344078,0.9462160410670083,1.0376139878329713,1.1637526481583949,-0.23747318025301956,0.06384670474289725,0.016155222395620165,0.06488714440596587,0.037169276539977585,0.8818458345472268,0.8824914581217101,0.9999937037752163,1.4720182578373695
1,ExtraTrees,validation,15,6005400,0.7103624407026986,1.0851888130887364,0.8693058898142653,0.7103624407026989,0.9492887388562049,0.5247519244203749,2.2836303822863955,2.108517743212467,-0.1395698967981258,0.20417713172236268,0.045223576022779176,0.20845854122034757,0.06326943890459978,0.8439471142638292,0.8339493839493838,0.9961038961038962,2.1305850415470675
1,HistGradientBoosting,internal_test,15,6005400,0.5860466796949412,0.8192958877360761,0.9211118846365746,0.5860466796949412,0.8007162146835682,0.9138773125313905,1.1703413034031516,1.5166137174457348,-0.8185546998765453,0.05133538860629725,0.040594947014713875,0.062207034080279874,0.062207034080279874,0.8253538482032837,0.8553779553779552,1.0,1.100152998129328
1,HistGradientBoosting,train,119,47642840,0.552700206974857,0.7632571117560348,0.9255316503709442,0.5527002069748568,0.7453251431394987,0.9041039672169329,1.291852288755011,1.3203471988305544,-0.20865310717746996,0.07227495906975377,0.01694548425782277,0.06371456010336071,0.03364142799278447,0.8345421893405179,0.8562886693138793,0.9992906253410455,1.554886534747142
1,HistGradientBoosting,validation,15,6005400,0.8482049271894176,1.2361160485201947,0.8304241940186896,0.8482049271894175,1.112730797489805,0.42565151781068883,2.5348843545570374,2.190278266292409,0.09356442847569563,0.20482176572340505,0.035049363929385374,0.20734909055012624,0.04222017610387488,0.7927165551004095,0.8048951048951049,0.9887612387612388,2.2292801395126705
1,Ridge,internal_test,15,6005400,2.0058993842372255,2.858123481429595,0.03995407889697267,2.005899384237226,2.84911050554585,-0.04760773153692131,3.323451869963079,6.264597533932058,-5.489430933598614,0.16577386842255173,0.16577386842255173,0.3092993142916262,0.3092993142916262,0.24818996236720284,0.29039294039294034,0.5596070596070596,0.587948872688773
1,Ridge,train,119,47642840,2.1070804602982967,2.903078375777854,-0.077326968545405,2.107080460298296,2.8843980700768412,-0.3233888287262715,3.9351753628594466,5.332033796042528,-4.411691151671419,0.14665524649438091,0.09812913858079272,0.25004905622419027,0.24060604296957233,0.25517160605874883,0.3122633668852156,0.5658815973942025,0.8134072611201089
1,Ridge,validation,15,6005400,2.395999610742284,3.2536485757628286,-0.1748615389429815,2.3959996107422845,3.1765079735592017,-1.9936529500981994,5.600437546368928,5.692226651426249,-4.222626626432392,0.3206817419985171,0.13270061567073801,0.3704819382375441,0.2434156150053828,0.25456755586638685,0.3361804861804863,0.5850482850482849,1.2624507732250743
2,ExtraTrees,internal_test,15,6005400,0.5355524297728141,0.7538447293322138,0.927511849397652,0.535552429772814,0.703294614371132,0.9176421384844562,1.2784747838938644,1.371582323481155,-0.4726893082409292,0.05992184438347937,0.02426866665156868,0.06920766429153477,0.05041735738621616,0.8654111299830153,0.8487012987012987,0.9986846486846486,1.1918988274114597
2,ExtraTrees,train,119,47642840,0.38744701641458146,0.5889376580587339,0.9574093446154193,0.3874470164145813,0.5601866550280725,0.9290800544900552,1.657476036212689,1.212575231489035,-0.23639561335494555,0.0710081492785434,0.01665035047925072,0.07452789134157205,0.039011390537124976,0.8754440331432802,0.8776496612631065,0.9998929641786785,1.9877663248409878
2,ExtraTrees,validation,15,6005400,0.609795929376852,0.9029603583516085,0.8863259474754634,0.6097959293768519,0.779118530391328,0.8408165574084415,2.2418660098119134,1.313918450747652,0.059457840315250914,0.08476747983388802,0.006608291014683684,0.07089673500950108,0.030454598551224562,0.8587371365770806,0.8345820845820845,0.9976190476190475,1.0818482493171897
2,HistGradientBoosting,internal_test,15,6005400,0.6074931898342283,0.8316726716691379,0.91177166646334,0.6074931898342284,0.8147937888711323,0.8997424794357715,1.1344889456053073,1.5081402414156828,-0.4967166336716963,0.05765083215959947,0.020921108569411966,0.07144755437805728,0.050949518269949624,0.8250407966163785,0.8235431235431234,0.9862637362637362,1.263393646739328
2,HistGradientBoosting,train,119,47642840,0.5705763524980166,0.8016861076143773,0.9210804884598917,0.5705763524980169,0.7743234861846262,0.876435575216798,1.990904768480807,1.3978045094085592,-0.21646781671330412,0.08173235429039816,0.017621286445697208,0.07394005618446159,0.03565616283159779,0.824941166395622,0.8423341364517837,0.9979180483382164,2.2296408004303694
2,HistGradientBoosting,validation,15,6005400,0.6922447023567389,0.972132304540572,0.868242688430523,0.692244702356739,0.8929971993596558,0.8236008481102971,2.197520617857122,1.4568537121727614,0.09242848308041895,0.08524182172124874,0.004253286560493442,0.06721656770425903,0.025988496638695697,0.8214606853831552,0.8136863136863137,0.9923409923409924,1.0928741511971198
2,Ridge,internal_test,15,6005400,2.0949015873875854,2.921933647950143,-0.08904020568232718,2.0949015873875854,2.9132529463978303,-0.20768222438237574,3.4931608904239986,5.637677013621609,-4.819751762456105,0.14729460064929306,0.12015488486883572,0.2471865309186518,0.2471865309186518,0.24495287574516267,0.29720279720279724,0.5446553446553447,0.6552697508660453
2,Ridge,train,119,47642840,2.145764828624704,2.965403321716364,-0.07979972470398344,2.145764828624704,2.937989732333779,-0.5339762889977884,5.52489157482513,5.467170870002302,-4.473618420012657,0.17229333361624483,0.10567736567516423,0.26915987352557036,0.24321462567553545,0.25030161929893346,0.31238719263929354,0.5686918123892913,1.2544885058657753
2,Ridge,validation,15,6005400,1.9878740466417553,2.773083484783259,-0.07213596074302098,1.9878740466417548,2.7619259218119945,-0.19458596412410092,3.1574575510210208,5.108879731160264,-4.273427568666028,0.10183744103401816,0.0760320763590423,0.2382360469577244,0.2382360469577244,0.2499017550870883,0.29080919080919077,0.567982017982018,0.5806178311755976
3,ExtraTrees,internal_test,15,6005400,0.42165695474092774,0.6256495494957796,0.9527506706685207,0.42165695474092774,0.587496957738848,0.9518913581817968,1.0744681794360194,1.239667964425657,-0.6874846161151351,0.029731322335069067,0.022152910276527514,0.0601046700623333,0.057056714409622705,0.8896459852799146,0.8739094239094239,0.9990842490842492,1.058255712091594
3,ExtraTrees,train,119,47642840,0.3855241436070597,0.5845088008206403,0.9576510945620741,0.38552414360705994,0.560229306264593,0.9321192707210393,1.62029480790746,1.2079900012211706,-0.23930658778688202,0.07045678898633072,0.01660906694180998,0.072534901274779,0.03844362995076996,0.8729219332852535,0.8790663118394211,0.9998740755043276,1.988148953906109
3,ExtraTrees,validation,15,6005400,0.7005609121708568,1.0232071570113657,0.8507824680557681,0.7005609121708568,0.917318791270413,0.7989548868401215,2.128441299921636,1.732542384740395,-0.28117403377901073,0.10078920156843929,0.01984697243825428,0.09177915865331196,0.048457148493829386,0.8264062343890497,0.7970529470529469,0.9901764901764901,1.4226929819388854
3,HistGradientBoosting,internal_test,15,6005400,0.556999023873983,0.7767795861580097,0.9271668684237504,0.5569990238739829,0.7486953266193767,0.925685194579383,1.2592313867703344,1.3684336959814916,-0.6353243065127753,0.03773266647716464,0.02244037493895805,0.05797868422681952,0.051868648471630883,0.8468511672827789,0.8505494505494505,0.9893439893439894,1.0720234550926668
3,HistGradientBoosting,train,119,47642840,0.5634389235271309,0.7874165793527776,0.9231455196863663,0.563438923527131,0.7638872454130814,0.8829677835756381,1.9669253046044486,1.354979747575114,-0.22190788205292014,0.07979229851979244,0.01760256942485789,0.07107434016759641,0.03537616981937486,0.8257110617251197,0.8483701172776802,0.9986840890202234,2.209801202383488
