iteration,model,split,case_id,n_elements,mae,rmse,r2,bias_predicted_minus_actual,top5_actual_rmse,top5_actual_bias,actual_mean,predicted_mean,actual_p95,predicted_p95,p95_relative_error,p95_underprediction_fraction,actual_p99,predicted_p99,p99_relative_error,p99_underprediction_fraction,actual_max,predicted_max,max_relative_error,prediction_abs_max_ratio,top5pct_hotspot_overlap,top1pct_hotspot_overlap,top1_recall_in_predicted_top5,negative_prediction_fraction,sum_absolute_error,sum_squared_error,actual_sum,actual_squared_sum
1,Ridge,train,case_01,400360,2.152358413809895,3.1206117168678866,0.0736705716534084,0.7374724836855849,7.171668394810603,-6.262867617885815,5.896753568734742,6.634226052420327,10.326234483718872,8.590580797195434,0.16808195564995176,0.16808195564995176,16.558459148406914,10.663715295791611,0.3559959172398257,0.3559959172398257,37.16805648803711,15.267965316772461,0.5892180878037946,0.41078191219620536,0.2726546108502348,0.37987012987012986,0.5814185814185814,0.0,861718.2145529294,3898792.7532767383,2360824.2587786415,18130060.897750977
1,Ridge,train,case_10,400360,2.0804194873195763,3.0294746607766285,0.08518908323131613,0.6208621216106287,6.958125998927608,-6.088944382702795,5.735561601321801,6.356423722932432,10.146135330200195,8.37119517326355,0.17493755988583135,0.17493755988583135,16.147420253753637,10.471246080398556,0.3515220440265432,0.3515220440265432,36.003170013427734,15.053146362304688,0.5818938622157307,0.41810613778426925,0.277300429613348,0.3743756243756244,0.5811688311688312,0.0,832916.7459432655,3674390.6661343714,2296289.4427051963,17187067.072017305
1,Ridge,train,case_11,400360,2.4452805915720606,3.386289918876732,0.000770623583522756,1.2548053347233752,7.047052450171319,-6.085919941039766,6.201051010845691,7.4558563455690665,10.622378873825072,9.414154720306396,0.11374327425807589,0.11374327425807589,17.002918834686216,11.208393230438226,0.3407959339561787,0.3407959339561787,35.55618667602539,15.609115600585938,0.5610014160739358,0.43899858392606417,0.23368967928864023,0.38786213786213786,0.6051448551448552,0.0,978992.5376417902,4590911.871263761,2482652.782702181,19989509.012440648
1,Ridge,train,case_12,400360,2.055950773022315,3.022459548041937,0.0740793231365483,0.6102728137423225,7.111993929826258,-6.243052291517575,5.6733454984825915,6.283618312224914,10.082114791870117,8.252664279937743,0.18145503693407475,0.18145503693407475,16.142577419280983,10.502553091049183,0.3493880922321149,0.3493880922321149,36.23194885253906,14.9884033203125,0.5863208081543164,0.4136791918456835,0.2753022279948047,0.3531468531468531,0.5686813186813187,0.0,823120.4514872141,3657393.3820389863,2271380.6037724903,16836334.16889702
1,Ridge,train,case_13,400360,2.0882556647286266,2.966289207404276,-0.0754025452627376,1.1868133282016553,5.5627136982360055,-4.643529086289724,5.239577948061452,6.426391276263109,9.118360137939451,8.418631172180175,0.07673846559842053,0.07673846559842053,14.603178558349592,10.640570774078355,0.2713524160810562,0.2713524160810562,30.08977508544922,14.978706359863281,0.5021994575457406,0.4978005424542594,0.2810470576481167,0.36313686313686316,0.5851648351648352,0.0,836054.037930753,3522716.2585835424,2097717.427285883,14266872.702133816
1,Ridge,train,case_14,400360,2.02268429414994,2.9155980052733104,-0.009913102062109047,0.8735942001712443,5.9903287840577,-5.111159957578363,5.300424085269767,6.174018285441011,9.186977624893188,8.190795135498046,0.10843419131618103,0.10843419131618103,14.805124273300162,10.526584529876684,0.28899046468252054,0.28899046468252054,30.95267105102539,14.891721725463867,0.5188873457507138,0.4811126542492861,0.2768508342491757,0.35764235764235763,0.5889110889110889,0.0,809801.88400587,3403344.947563689,2122077.7867786037,14617850.616076909
1,Ridge,train,case_15,400360,3.5428445809354443,3.9351753628594466,-3.6105159395536193,3.4722461043408765,2.200655514901775,0.28651420557245244,3.3780577288595954,6.850303833200472,5.832143068313598,8.802312088012695,0.5092757473382663,0.0,9.363036231994613,11.145740222930899,0.1903980660509006,0.0,18.940412521362305,15.406269073486328,0.1865927388798911,0.8134072611201089,0.2886402237985813,0.35664335664335667,0.5844155844155844,0.0,1418413.2564233146,6199816.872431515,1352439.1923262277,5913329.831794531
1,Ridge,train,case_16,400360,2.0808642550956016,3.004425196291446,0.052204484445563026,0.716493304799886,6.61415094019286,-5.731825899906313,5.625429952986378,6.341923257786264,9.801409292221068,8.326453828811644,0.1504840191277421,0.1504840191277421,15.720469598770103,10.534452095031694,0.3298894776110339,0.3298894776110339,34.04954528808594,15.101512908935547,0.5564841532782635,0.4435158467217365,0.2813467878908982,0.3776223776223776,0.5894105894105894,0.0,833094.8131700751,3613877.869517998,2252197.1359776263,16482507.138438577
1,Ridge,train,case_17,400360,2.820114214374201,3.550679400617319,-0.5886222882764784,2.360791753170312,4.418369430673556,-3.391360457763649,5.224712665699665,7.585504418869978,8.882305335998534,9.540736389160156,0.07412839665543892,0.0,13.956213130950902,11.462072696685789,0.17871183327903042,0.17871183327903042,27.7415714263916,15.83597183227539,0.4291609660868009,0.5708390339131991,0.22889399540413627,0.37312687312687315,0.6228771228771228,0.0,1129060.926866855,5047468.319101414,2091765.9628395182,14106137.547034325
1,Ridge,train,case_19,400360,2.1106555407203906,3.047974728528246,0.1163443816863936,0.5082610001047195,7.306437510837243,-6.429094257906417,5.885521276208228,6.393782276312947,10.343796873092652,8.399511909484863,0.18796627461483345,0.18796627461483345,16.581697864532423,10.39918116569517,0.37285184842629443,0.37285184842629443,35.93040466308594,14.634162902832031,0.5927080966648052,0.4072919033351948,0.2770006993705665,0.3593906093906094,0.5691808191808192,0.0,845022.0522828156,3719404.4322792026,2356327.298142726,18077325.27607492
1,Ridge,train,case_20,400360,2.102685889089744,3.054381964905585,0.0811871951652895,0.520026976069209,7.148204711442163,-6.280963808521427,5.788521283110883,6.308548259180092,10.149102687835692,8.285586643218993,0.1836138722736774,0.1836138722736774,16.289631748199415,10.48739750862119,0.35619186052008694,0.35619186052008694,36.26679992675781,15.045578002929688,0.5851418367952285,0.4148581632047715,0.27540213807573183,0.36538461538461536,0.5761738261738262,0.0,841831.32255597,3735058.2047237153,2317492.380906273,17479945.55924125
1,Ridge,train,case_21,400360,2.155666062314575,3.034741594530194,-0.5584079831605517,1.6177320459585562,4.0858340718874935,-3.082525637948033,4.529992944088067,6.1477249900466235,8.021694707870484,8.35073800086975,0.041019174249604065,0.0,12.29129181861873,11.487046241760227,0.06543214405179436,0.06543214405179436,23.24169158935547,14.695358276367188,0.36771563206279023,0.6322843679372098,0.26271355779798183,0.27372627372627373,0.6076423576423576,0.0,863042.4647082633,3687178.0945850713,1813627.9750950986,10581712.180962272
1,Ridge,train,case_24,400360,2.353139719945995,3.332746453833255,-0.3809625273197348,1.666852956369929,5.262432422708874,-4.19678358146034,5.304625899199469,6.971478855569399,9.102337694168089,9.006239318847655,0.010557548901092138,0.010557548901092138,14.59939882278439,12.115720748901362,0.17012194159713645,0.17012194159713645,27.87183380126953,15.379619598388672,0.44820209147170836,0.5517979085282917,0.26546108502347887,0.2777222777222777,0.5761738261738262,0.0,942103.0182775785,4446878.161828449,2123760.0250034994,14485881.92450586
1,Ridge,train,case_27,400360,2.239645289993172,2.8934311732412685,-0.2578351826306604,-1.0456858763934918,6.596735367456494,-5.936073368407234,4.916951870695414,3.8712659943019228,8.11301689147949,5.954328203201293,0.2660771840060273,0.2660771840060273,13.111589975357049,9.055920333862295,0.3093194379260866,0.3093194379260866,27.218610763549805,12.317272186279297,0.5474687413960837,0.4525312586039163,0.26201418723149167,0.280969030969031,0.6193806193806194,0.0,896664.3883016664,3351791.4815372797,1968550.850951616,12344000.055735279
1,Ridge,train,case_32,400360,1.9751601852695377,2.8982889114748067,0.07931838755196541,0.22987242410857053,7.122224186965201,-6.434088349247064,5.271242364639071,5.501114788747642,10.015990829467771,7.506870198249817,0.2505114744949586,0.2505114744949586,15.115796918868979,9.846555881500242,0.3485916796613725,0.3485916796613725,33.723785400390625,14.048715591430664,0.5834181891316407,0.4165818108683593,0.2615645918673194,0.3384115884115884,0.6018981018981019,0.0,790775.1317745121,3363055.4740523044,2110394.5931068985,14777190.176314557
1,Ridge,train,case_34,400360,1.8867009234506287,2.6022371257522297,-0.06278227537020942,-0.6127299672158709,6.345037472446692,-5.6483823050746595,4.684073457170518,4.071343489954647,8.226318550109863,6.162002182006835,0.2509404851670203,0.2509404851670203,12.876111402511585,8.777381801605218,0.3183204519422594,0.3183204519422594,30.05852508544922,12.835351943969727,0.5729879657274639,0.42701203427253603,0.26381256868818065,0.32342657342657344,0.5986513486513486,0.0002897392346887801,755359.5817126937,2711093.0131584015,1875315.6493127886,11335055.49990527
1,Ridge,train,case_35,400360,1.7170610065422072,2.268819603089293,-0.23384482135441553,-0.6172044674749968,4.664353676368958,-3.9454634598364113,3.846318012911481,3.2291135454364848,6.875816249847412,5.786565971374512,0.15841759565594446,0.15841759565594446,10.138929128646827,8.268251333236693,0.18450447494742486,0.18450447494742486,21.769367218017578,11.765556335449219,0.45953613545039707,0.5404638645496029,0.32875412129083825,0.2712287712287712,0.5724275724275725,0.0007043660705365172,687442.544579238,2060870.071805793,1539911.8796492405,7593273.8350793915
1,Ridge,train,case_36,400360,2.7561830598211867,3.611202716014655,-0.0712693306455432,1.3677821122458997,10.248537694383623,-9.158693545478506,3.0640295821179975,4.431811694363898,9.813024330139159,6.5512121438980095,0.3323962191985,0.3323962191985,19.2957092285156,8.809345664978,0.5434557206138158,0.5434557206138158,31.747325897216797,12.770615577697754,0.5977420076562316,0.40225799234376836,0.22844440003996402,0.015484515484515484,0.3086913086913087,0.0,1103465.4498300103,5221008.705080864,1226714.8834967616,8632356.497202441
1,Ridge,train,case_39,400360,1.6693566898980974,2.2086134789664174,-0.1990926371312116,1.1296108394258695,3.615709194215379,-2.848397498864944,3.087728669230164,4.217339508656034,6.646077251434326,6.653437232971189,0.0011074173920074524,0.0,10.974815073013293,8.858502912521361,0.19283351440662294,0.19283351440662294,22.030895233154297,12.645655632019043,0.42600355100465487,0.5739964489953452,0.3994405035468079,0.23676323676323677,0.810939060939061,0.0008842042162054151,668343.6443676023,1952945.4702486668,1236203.0500129885,5445745.664773294
1,Ridge,train,case_40,400360,1.918828076015452,2.7950100012539876,-0.020818908902060285,0.9926673514166614,5.67271783516437,-4.820703706334957,5.041594912488031,6.034262263904693,8.88729267120361,8.143687009811401,0.08367066202305029,0.08367066202305029,14.066408891677813,10.112830162048338,0.2810652498498428,0.2810652498498428,32.35271072387695,14.698060989379883,0.545693060627145,0.454306939372855,0.24947547207513238,0.3696303696303696,0.5806693306693307,0.0,768222.0085135463,3127644.711970486,2018452.9391637081,13240080.589726774
1,Ridge,train,case_42,400360,2.0958661367704288,2.886867057007445,-0.19720920304768974,1.0121245858682344,5.794867463839402,-5.276211140848728,4.11715438872547,5.129278974593704,8.91228380203247,7.307806324958799,0.18002989050996843,0.18002989050996843,13.76958976745605,10.442853240966773,0.24160026425419762,0.24160026425419762,24.76995849609375,13.864240646362305,0.4402800211171645,0.5597199788828354,0.2323408931961235,0.1978021978021978,0.47152847152847155,0.0,839100.9665174088,3336600.802439671,1648343.931070129,9573468.703283088
1,Ridge,train,case_43,400360,2.1346730527168134,2.9527857202942904,-0.24107993991116183,1.022310403343698,5.789227194166455,-5.306784910759806,4.204806520399298,5.227116923742997,9.005365419387815,7.4392671585083,0.17390724173256017,0.17390724173256017,13.601225948333738,10.657828655242906,0.21640676393964492,0.21640676393964492,24.57630157470703,14.07840347290039,0.42715532562518144,0.5728446743748186,0.2137576181436707,0.20404595404595405,0.4727772227772228,0.0,854637.7033857035,3490716.2236531395,1683436.3385070632,9891168.235563483
