split,comparison,selected_model,reference_model,metric,direction,n_paired_cases,mean_delta_selected_minus_reference,median_delta_selected_minus_reference,bootstrap_95ci_low,bootstrap_95ci_high,wilcoxon_statistic,wilcoxon_two_sided_p,descriptive_only
validation,selected_vs_v10,v11_selected_gain_0.75,v10_signed_staged_symbolic,rmse,lower_is_better,15,-0.08454723701635022,-0.10339061979798214,-0.1241645061398064,-0.0321210401933005,16.0,0.01025390625,True
validation,selected_vs_v10,v11_selected_gain_0.75,v10_signed_staged_symbolic,top5_actual_rmse,lower_is_better,15,-0.05432827405842241,-0.14945341825048253,-0.15059067270289228,0.06284473558363374,40.0,0.27685546875,True
validation,selected_vs_v10,v11_selected_gain_0.75,v10_signed_staged_symbolic,p95_relative_error,lower_is_better,15,-0.0036721733119975037,-0.004016067900833701,-0.009340462688256205,0.0019909824974950144,43.0,0.359130859375,True
validation,selected_vs_v10,v11_selected_gain_0.75,v10_signed_staged_symbolic,p99_relative_error,lower_is_better,15,-0.005650295681707984,-0.005699717519117381,-0.007488804371022677,-0.003846250769995308,1.0,0.0001220703125,True
validation,selected_vs_v10,v11_selected_gain_0.75,v10_signed_staged_symbolic,p99_underprediction_fraction,lower_is_better,15,-0.005650295681707984,-0.005699717519117381,-0.007494210689398522,-0.003834086095756893,1.0,0.0001220703125,True
validation,selected_vs_v10,v11_selected_gain_0.75,v10_signed_staged_symbolic,top1pct_hotspot_overlap,higher_is_better,15,-0.013519813519813517,-0.002247752247752255,-0.028072344322344334,-0.0010656010656010663,26.5,0.10247043485974937,True
validation,selected_vs_v10,v11_selected_gain_0.75,v10_signed_staged_symbolic,top1_recall_in_predicted_top5,higher_is_better,15,0.0429070929070929,0.06293706293706292,0.018548118548118546,0.06468531468531467,6.0,0.0008544921875,True
validation,selected_vs_v10,v11_selected_gain_0.75,v10_signed_staged_symbolic,prediction_abs_max_ratio,closer_to_one_is_better,15,0.0009819246901669502,0.0050904785062634295,-0.0057540003506280964,0.007484644809598759,59.0,0.97796630859375,True
validation,selected_vs_current_v11,v11_selected_gain_0.75,v11_current_gain_1_00,rmse,lower_is_better,15,-0.044405973940615386,-0.03450892156356544,-0.05469500147021355,-0.03562320126874383,0.0,6.103515625e-05,True
validation,selected_vs_current_v11,v11_selected_gain_0.75,v11_current_gain_1_00,top5_actual_rmse,lower_is_better,15,0.09193711100992372,0.12146850320643088,0.05694563861242051,0.12156680932598253,6.0,0.0008544921875,True
validation,selected_vs_current_v11,v11_selected_gain_0.75,v11_current_gain_1_00,p95_relative_error,lower_is_better,15,-0.01671310139698095,-0.03162070420913579,-0.029207934412624308,-0.0027508630374709383,20.0,0.02154541015625,True
validation,selected_vs_current_v11,v11_selected_gain_0.75,v11_current_gain_1_00,p99_relative_error,lower_is_better,15,0.02741979956731296,0.026525076212583182,0.02600086497501644,0.029127593788947987,0.0,6.103515625e-05,True
validation,selected_vs_current_v11,v11_selected_gain_0.75,v11_current_gain_1_00,p99_underprediction_fraction,lower_is_better,15,0.02741979956731296,0.026525076212583182,0.02597702333249583,0.02915002100159194,0.0,6.103515625e-05,True
validation,selected_vs_current_v11,v11_selected_gain_0.75,v11_current_gain_1_00,top1pct_hotspot_overlap,higher_is_better,15,0.029387279387279384,0.022227772227772225,0.02157842157842158,0.03777888777888778,0.0,6.103515625e-05,True
