split,case_id,metric,recomputed_lambda_1,frozen_parent_v11,absolute_difference,tolerance,pass
internal_test,case_100,rmse,1.8956762155451607,1.8956762155451607,0.0,1.8956762155451607e-06,True
internal_test,case_100,r2,0.6349879571966324,0.6349879571966324,0.0,1e-06,True
internal_test,case_100,predicted_mean,5.587653148129205,5.587653148129205,0.0,5.587653148129205e-06,True
internal_test,case_100,predicted_p95,10.301794380253032,10.301794380253032,0.0,1.0301794380253031e-05,True
internal_test,case_100,predicted_p99,13.06465676682331,13.06465676682331,0.0,1.306465676682331e-05,True
internal_test,case_100,predicted_max,27.08398774164665,27.08398774164665,0.0,2.7083987741646648e-05,True
internal_test,case_100,p95_relative_error,0.028507888089860916,0.0285078880898609,1.734723475976807e-17,1e-06,True
internal_test,case_100,p99_relative_error,0.18713260607833412,0.1871326060783341,2.7755575615628914e-17,1e-06,True
internal_test,case_100,p99_underprediction_fraction,0.18713260607833412,0.1871326060783341,2.7755575615628914e-17,1e-06,True
internal_test,case_100,prediction_abs_max_ratio,0.7522767146625167,0.7522767146625167,0.0,1e-06,True
internal_test,case_100,top5pct_hotspot_overlap,0.4823159156758917,0.4823159156758917,0.0,1e-06,True
internal_test,case_100,top1pct_hotspot_overlap,0.4627872127872128,0.4627872127872128,0.0,1e-06,True
internal_test,case_100,top1_recall_in_predicted_top5,0.8586413586413586,0.8586413586413586,0.0,1e-06,True
internal_test,case_114,rmse,1.2723394109580317,1.2723394109580315,2.220446049250313e-16,1.2723394109580314e-06,True
internal_test,case_114,r2,0.620911078843615,0.620911078843615,0.0,1e-06,True
internal_test,case_114,predicted_mean,3.9605817960272014,3.9605817960272014,0.0,3.960581796027201e-06,True
internal_test,case_114,predicted_p95,7.065408305273485,7.065408305273485,0.0,7.065408305273485e-06,True
internal_test,case_114,predicted_p99,8.860922555026916,8.860922555026916,0.0,8.860922555026914e-06,True
internal_test,case_114,predicted_max,16.72528607523073,16.72528607523073,0.0,1.672528607523073e-05,True
internal_test,case_114,p95_relative_error,0.08486269919124557,0.0848626991912455,6.938893903907228e-17,1e-06,True
internal_test,case_114,p99_relative_error,0.14360293001874747,0.1436029300187474,5.551115123125783e-17,1e-06,True
internal_test,case_114,p99_underprediction_fraction,0.14360293001874747,0.1436029300187474,5.551115123125783e-17,1e-06,True
internal_test,case_114,prediction_abs_max_ratio,0.7271625919963441,0.7271625919963441,0.0,1e-06,True
internal_test,case_114,top5pct_hotspot_overlap,0.4754720751323809,0.4754720751323809,0.0,1e-06,True
internal_test,case_114,top1pct_hotspot_overlap,0.468031968031968,0.468031968031968,0.0,1e-06,True
internal_test,case_114,top1_recall_in_predicted_top5,0.8543956043956044,0.8543956043956044,0.0,1e-06,True
internal_test,case_12,rmse,1.8997812643858036,1.899781264385804,4.440892098500626e-16,1.899781264385804e-06,True
internal_test,case_12,r2,0.6341862806535514,0.6341862806535514,0.0,1e-06,True
internal_test,case_12,predicted_mean,5.533524333788678,5.533524333788678,0.0,5.533524333788678e-06,True
