artifact,path,size_bytes,sha256
completion,/Users/novwin/Documents/University/University of Manchester/毕设项目/Nuclear graphite/NotebookCT3/outputs/10_signed_staged_residual_symbolic_pilot/iteration_1/pilot_complete.json,751,b8600e03c39b568e35fa959a3df863f001bc882590bf3931da54fa6f4a67c4be
composite,/Users/novwin/Documents/University/University of Manchester/毕设项目/Nuclear graphite/NotebookCT3/outputs/10_signed_staged_residual_symbolic_pilot/iteration_1/selected_composite_formula.csv,4691,f11e19aec293e6d71e13de2e3fd617081f6fbb47843b4623c47d7e7917a62762
geometry_row,/Users/novwin/Documents/University/University of Manchester/毕设项目/Nuclear graphite/NotebookCT3/outputs/10_signed_staged_residual_symbolic_pilot/iteration_1/stages/stage_geometry/selected_formula.csv,5191,e6a0620d8fcd393ba4ba205b4c2628df8de43c1428d95309bb97a99fb2e86d5c
physical_row,/Users/novwin/Documents/University/University of Manchester/毕设项目/Nuclear graphite/NotebookCT3/outputs/10_signed_staged_residual_symbolic_pilot/iteration_1/stages/stage_physical/selected_formula.csv,4862,8edb412cac135e988fd429baf9a761fc1b72561cc5a47c163a9a7b327a321638
geometry_scaling,/Users/novwin/Documents/University/University of Manchester/毕设项目/Nuclear graphite/NotebookCT3/outputs/10_signed_staged_residual_symbolic_pilot/iteration_1/training_cache/stage_a_scaling.csv,1932,c4c694ba9b5005b652d577535c24338244b98afc3dd61d3e521266bf4e1ed8cd
physical_scaling,/Users/novwin/Documents/University/University of Manchester/毕设项目/Nuclear graphite/NotebookCT3/outputs/10_signed_staged_residual_symbolic_pilot/iteration_1/training_cache/stage_b_scaling.csv,2071,2bca81f2782d75cc50ce7b8c582d6dfccd51ed1fd9c0efda5af979883c3313a6
all_X,/Users/novwin/Documents/University/University of Manchester/毕设项目/Nuclear graphite/NotebookCT3/outputs/10_signed_staged_residual_symbolic_pilot/iteration_1/training_cache/all_v10_features.npy,95200128,d2ba620e579595f9b7e3d9f2fc2f349334e5475fa0b1d70cb3fdf552da4bbde9
base_target,/Users/novwin/Documents/University/University of Manchester/毕设项目/Nuclear graphite/NotebookCT3/outputs/10_signed_staged_residual_symbolic_pilot/iteration_1/training_cache/deployable_normalised_residual_target.npy,2380128,f81fa67e0945c68ac643422890f62891a6c2f21d5f4c89a719e134c8437325e2
sample_manifest,/Users/novwin/Documents/University/University of Manchester/毕设项目/Nuclear graphite/NotebookCT3/outputs/10_signed_staged_residual_symbolic_pilot/iteration_1/training_cache/training_sample_manifest.csv.gz,2062118,ceba140b49b82ad9e4a14762a7bfc4cd7f26422a573cb0553da8080762dd9851
cache_metadata,/Users/novwin/Documents/University/University of Manchester/毕设项目/Nuclear graphite/NotebookCT3/outputs/10_signed_staged_residual_symbolic_pilot/iteration_1/training_cache/cache_metadata.json,5199,1166aeb767ae55ce2f618429a622fe92b179b7341d1f4a082c0e170ab38c323f
split_metrics,/Users/novwin/Documents/University/University of Manchester/毕设项目/Nuclear graphite/NotebookCT3/outputs/10_signed_staged_residual_symbolic_pilot/iteration_1/selected_models_split_metrics.csv,2667,05139f60ca8829a1bb108ee3ea53e3b91d3941b947481a704d3403cb3ecf609b
