rbf_index,rho_fraction_center,z_fraction_center,theta_fraction_center,bandwidth,top_p99_training_rows
1,0.45768694930408393,0.5330648254206842,0.8200583125271287,0.35,7069
2,0.509470818903588,0.9550356850388103,0.2095376333169823,0.23791315880334896,3542
3,0.4554890280316011,0.9226049178981742,0.7647036469657763,0.31728275526151956,7975
4,0.7048475661213184,0.563619144593169,0.24405640417180785,0.35,4785
5,0.5092942416048025,0.018277138925762385,0.20219031429831627,0.2183818288061289,1462
6,0.4542913582404953,0.11082032313540036,0.8269583407373359,0.34734674592747566,4917
