feature,n_cases,mean_spearman,median_spearman,mean_abs_spearman,std_spearman,positive_sign_fraction
z,149,0.2147644477269758,0.2238840771580012,0.2154839356794619,0.07208459584293873,0.9731543624161074
fluence_rate,149,0.09266351309507447,0.1390412955443469,0.16024707594033696,0.1568517600434657,0.8590604026845637
weight_loss_rate,149,-0.07962055921156466,-0.06631400606695373,0.09206766662899053,0.10002156560425744,0.2080536912751678
temperature,149,-0.04779358099844275,-0.01649588321843294,0.07264768848545108,0.10374356384695689,0.35570469798657717
rho,149,0.039879997733776824,0.01252270478588071,0.06488245134463697,0.08861568288000136,0.5637583892617449
theta_cos,149,-0.04032846352184536,-0.039859891170301115,0.04032846352184536,0.009122708684718239,0.0
theta,149,0.040328364393605744,0.03985972497015465,0.040328364393605744,0.009122710856315285,1.0
theta_sin,149,0.04032836420044347,0.03985972533636222,0.04032836420044347,0.0091227108918845,1.0
