iteration,feature_set,split,case_id,n_elements,mae,rmse,r2,bias_predicted_minus_actual,top5_actual_rmse,top5_actual_bias,actual_mean,predicted_mean,actual_p95,predicted_p95,p95_relative_error,p95_underprediction_fraction,actual_p99,predicted_p99,p99_relative_error,p99_underprediction_fraction,actual_max,predicted_max,max_relative_error,prediction_abs_max_ratio,top5pct_hotspot_overlap,top1pct_hotspot_overlap,top1_recall_in_predicted_top5,negative_prediction_fraction,sum_absolute_error,sum_squared_error,actual_sum,actual_squared_sum
1,physical_only,validation,case_18,400360,2.035123384446511,2.7295574732523713,0.2294740211157289,0.8736409798501741,5.053389175089152,-3.4986475956286998,5.653727981126508,6.527368960976682,9.915027427673339,10.728855507443074,0.0820802651032815,0.0,15.819301843643087,13.564928955035807,0.1425077358589747,0.1425077358589747,36.45985412597656,15.00772974579895,0.5883765828040879,0.41162341719591217,0.2842941352782496,0.07492507492507493,0.5307192807192808,0.05255270256768908,814781.9981970051,2982875.774155072,2263526.534523809,16668583.556267565
1,physical_only,validation,case_29,400360,3.027366217724217,4.109272441703576,-12.419503277455313,2.9886705641554974,2.572718720750296,1.5573553466545784,2.033673969191559,5.022344533347055,3.50241869688034,10.583682282196035,2.0218209752086715,0.0,5.4425946283340405,13.725344767230089,1.5218385171984359,0.0,12.888184547424316,14.792518623057806,0.14775813215788158,1.1477581321578816,0.04950544509941053,0.002997002997002997,0.051698301698301696,0.0011989209711259865,1212036.3389280676,6760527.003257839,814201.7103055326,2159604.52317288
1,physical_only,validation,case_45,400360,2.8211277023353087,3.7093364452986286,-0.3383033827893289,1.3598189942508292,8.226497638939321,-7.3018132982922435,5.207303312044021,6.567122306294852,10.862130212783812,9.659334653137757,0.11073293507662675,0.11073293507662675,15.904301156997667,10.475675404073622,0.3413306689389195,0.3413306689389195,36.334930419921875,13.065447541858312,0.6404163324145316,0.3595836675854684,0.05180337696073534,0.0,0.015984015984015984,0.05734838645219303,1129466.6869069643,5508624.049439457,2084795.9540099443,14972289.90461304
1,physical_only,validation,case_51,400360,4.095749413170818,4.523642121542216,-4.703544886164062,3.9607637866543426,2.572235626737104,0.4238401235729041,3.495074740730534,7.455838527384874,6.196873641014097,10.361587817420427,0.6720669837193564,0.0,9.536471252441398,10.84126939941255,0.13682190324194757,0.0,19.359146118164062,13.909311645929249,0.281512130698854,0.7184878693011459,0.10220801278849036,0.04295704295704296,0.10364635364635365,0.0011989209711259865,1639774.2350570688,8192702.01921215,1399288.1231988766,6327039.392613842
1,physical_only,validation,case_54,400360,1.7748439951153199,2.446220792313069,0.297814551801346,0.2516126012783998,5.374034227871344,-4.0508823865717725,5.355598113270859,5.6072107145492565,9.406452131271362,10.152371506797703,0.079298694674325,0.0,14.854768409728997,12.546134145572616,0.1554136826962824,0.1554136826962824,33.38887405395508,14.177518442710959,0.5753819544857769,0.42461804551422305,0.3129683285043461,0.1595904095904096,0.5452047952047953,0.05750824258167649,710576.5418843694,2395752.70451722,2144167.260629121,14895149.962829953
1,physical_only,validation,case_60,400360,2.5984944308031084,3.4382086050516625,-0.21239471614635597,1.557514835236133,5.74979503397362,-4.190095031438041,5.622468909648277,7.17998374488441,9.96433162689209,12.117028150603309,0.21604023273386905,0.0,15.850470104217512,14.374370198973384,0.09312656946694381,0.09312656946694381,36.91607666015625,15.220153811453411,0.5877093345653218,0.4122906654346781,0.1252872414826656,0.01048951048951049,0.17907092907092906,0.05798781097012688,1040333.2303163324,4732767.024968785,2251011.6526667844,16559895.004739292
1,physical_only,validation,case_62,400360,2.245937757877533,2.6573451505684456,-2.8117309459958877,2.1329192589411208,2.7972781936327027,0.1451213864998711,2.474723175269594,4.607642434210714,4.507473468780517,6.985349932354482,0.5497262448101213,0.0,6.4952899599075264,7.753128944619327,0.19365401582929617,0.0,14.41285228729248,16.55124509000728,0.14836707960992415,1.1483670796099241,0.176840843241083,0.0027472527472527475,0.025974025974025976,0.0,899183.640743849,2827135.433669584,990780.1704509346,3193599.9834185
1,physical_only,validation,case_81,400360,3.9600875519320793,5.043359300513024,-1.4498185341392746,2.930555786685361,6.180874435090519,-4.767181363153527,5.84957593964784,8.7801317263332,10.314814281463619,16.256428278043842,0.5760272395071314,0.0,16.286035861968987,18.989655101148625,0.1660084296813509,0.0,35.2658805847168,24.096898641900292,0.3167078705432019,0.6832921294567981,0.0007992806474173244,0.0,0.003996003996003996,0.06082525726845839,1585460.6522915273,10183345.983920751,2341936.2231974094,17856109.41474756
1,physical_only,validation,case_83,400360,2.0083268602938342,2.6993086432045597,0.28343748100490895,0.5687020954561719,5.1587766743950745,-3.6383159899009816,5.771707437600671,6.340409533056845,10.300168991088865,10.924688156968141,0.06063193394395521,0.0,16.17190748214708,13.506174937663388,0.1648372368829415,0.1648372368829415,37.063751220703125,15.287578999461108,0.5875328725247393,0.41246712747526076,0.2648616245379159,0.17032967032967034,0.4745254745254745,0.05049455490058947,804053.7417872394,2917129.916685997,2310760.7897178046,17408040.681773167
1,physical_only,validation,case_86,400360,1.9304071145988646,2.8706536154783833,-0.4328856650922095,1.2065548270144844,3.4641604096504874,-1.4999383145548242,4.475714650114444,5.682269477128932,7.60098669528961,10.181052496072207,0.3394382735048706,0.0,12.306284666061373,13.350748552076183,0.08487239766972586,0.0,24.116090774536133,14.75298112452089,0.38825155111381604,0.611748448886184,0.20671395743830553,0.024725274725274724,0.1933066933066933,0.02265960635428115,772857.7924008014,3299227.5068084663,1791897.1173198188,10322525.946124662
