case_id,case_number,file_name,file_path,size_mb,n_elements_from_line_count,header
case_18,18,FE_Results_Case_18.txt,/Users/novwin/Documents/University/University of Manchester/毕设项目/Nuclear graphite/NotebookCT3/ Case Test Data/FE_Results_Cases_All/FE_Results_Case_18.txt,33.92225,400360,"ElementID, X, Y, Z,  FluenceRate, Temperature, WeightLossRate, MaxPrincipalStress"
case_19,19,FE_Results_Case_19.txt,/Users/novwin/Documents/University/University of Manchester/毕设项目/Nuclear graphite/NotebookCT3/ Case Test Data/FE_Results_Cases_All/FE_Results_Case_19.txt,33.925272,400360,"ElementID, X, Y, Z,  FluenceRate, Temperature, WeightLossRate, MaxPrincipalStress"
case_20,20,FE_Results_Case_20.txt,/Users/novwin/Documents/University/University of Manchester/毕设项目/Nuclear graphite/NotebookCT3/ Case Test Data/FE_Results_Cases_All/FE_Results_Case_20.txt,33.923994,400360,"ElementID, X, Y, Z,  FluenceRate, Temperature, WeightLossRate, MaxPrincipalStress"
case_21,21,FE_Results_Case_21.txt,/Users/novwin/Documents/University/University of Manchester/毕设项目/Nuclear graphite/NotebookCT3/ Case Test Data/FE_Results_Cases_All/FE_Results_Case_21.txt,33.909726,400360,"ElementID, X, Y, Z,  FluenceRate, Temperature, WeightLossRate, MaxPrincipalStress"
case_22,22,FE_Results_Case_22.txt,/Users/novwin/Documents/University/University of Manchester/毕设项目/Nuclear graphite/NotebookCT3/ Case Test Data/FE_Results_Cases_All/FE_Results_Case_22.txt,33.918672,400360,"ElementID, X, Y, Z,  FluenceRate, Temperature, WeightLossRate, MaxPrincipalStress"
case_23,23,FE_Results_Case_23.txt,/Users/novwin/Documents/University/University of Manchester/毕设项目/Nuclear graphite/NotebookCT3/ Case Test Data/FE_Results_Cases_All/FE_Results_Case_23.txt,33.898964,400360,"ElementID, X, Y, Z,  FluenceRate, Temperature, WeightLossRate, MaxPrincipalStress"
case_24,24,FE_Results_Case_24.txt,/Users/novwin/Documents/University/University of Manchester/毕设项目/Nuclear graphite/NotebookCT3/ Case Test Data/FE_Results_Cases_All/FE_Results_Case_24.txt,33.915948,400360,"ElementID, X, Y, Z,  FluenceRate, Temperature, WeightLossRate, MaxPrincipalStress"
case_26,26,FE_Results_Case_26.txt,/Users/novwin/Documents/University/University of Manchester/毕设项目/Nuclear graphite/NotebookCT3/ Case Test Data/FE_Results_Cases_All/FE_Results_Case_26.txt,33.896259,400360,"ElementID, X, Y, Z,  FluenceRate, Temperature, WeightLossRate, MaxPrincipalStress"
case_27,27,FE_Results_Case_27.txt,/Users/novwin/Documents/University/University of Manchester/毕设项目/Nuclear graphite/NotebookCT3/ Case Test Data/FE_Results_Cases_All/FE_Results_Case_27.txt,33.911581,400360,"ElementID, X, Y, Z,  FluenceRate, Temperature, WeightLossRate, MaxPrincipalStress"
case_28,28,FE_Results_Case_28.txt,/Users/novwin/Documents/University/University of Manchester/毕设项目/Nuclear graphite/NotebookCT3/ Case Test Data/FE_Results_Cases_All/FE_Results_Case_28.txt,33.920801,400360,"ElementID, X, Y, Z,  FluenceRate, Temperature, WeightLossRate, MaxPrincipalStress"
case_29,29,FE_Results_Case_29.txt,/Users/novwin/Documents/University/University of Manchester/毕设项目/Nuclear graphite/NotebookCT3/ Case Test Data/FE_Results_Cases_All/FE_Results_Case_29.txt,33.898971,400360,"ElementID, X, Y, Z,  FluenceRate, Temperature, WeightLossRate, MaxPrincipalStress"
case_31,31,FE_Results_Case_31.txt,/Users/novwin/Documents/University/University of Manchester/毕设项目/Nuclear graphite/NotebookCT3/ Case Test Data/FE_Results_Cases_All/FE_Results_Case_31.txt,33.92154,400360,"ElementID, X, Y, Z,  FluenceRate, Temperature, WeightLossRate, MaxPrincipalStress"
case_32,32,FE_Results_Case_32.txt,/Users/novwin/Documents/University/University of Manchester/毕设项目/Nuclear graphite/NotebookCT3/ Case Test Data/FE_Results_Cases_All/FE_Results_Case_32.txt,33.922855,400360,"ElementID, X, Y, Z,  FluenceRate, Temperature, WeightLossRate, MaxPrincipalStress"
case_33,33,FE_Results_Case_33.txt,/Users/novwin/Documents/University/University of Manchester/毕设项目/Nuclear graphite/NotebookCT3/ Case Test Data/FE_Results_Cases_All/FE_Results_Case_33.txt,33.902609,400360,"ElementID, X, Y, Z,  FluenceRate, Temperature, WeightLossRate, MaxPrincipalStress"
case_34,34,FE_Results_Case_34.txt,/Users/novwin/Documents/University/University of Manchester/毕设项目/Nuclear graphite/NotebookCT3/ Case Test Data/FE_Results_Cases_All/FE_Results_Case_34.txt,33.912459,400360,"ElementID, X, Y, Z,  FluenceRate, Temperature, WeightLossRate, MaxPrincipalStress"
case_35,35,FE_Results_Case_35.txt,/Users/novwin/Documents/University/University of Manchester/毕设项目/Nuclear graphite/NotebookCT3/ Case Test Data/FE_Results_Cases_All/FE_Results_Case_35.txt,33.905743,400360,"ElementID, X, Y, Z,  FluenceRate, Temperature, WeightLossRate, MaxPrincipalStress"
case_36,36,FE_Results_Case_36.txt,/Users/novwin/Documents/University/University of Manchester/毕设项目/Nuclear graphite/NotebookCT3/ Case Test Data/FE_Results_Cases_All/FE_Results_Case_36.txt,33.938746,400360,"ElementID, X, Y, Z,  FluenceRate, Temperature, WeightLossRate, MaxPrincipalStress"
case_37,37,FE_Results_Case_37.txt,/Users/novwin/Documents/University/University of Manchester/毕设项目/Nuclear graphite/NotebookCT3/ Case Test Data/FE_Results_Cases_All/FE_Results_Case_37.txt,33.898802,400360,"ElementID, X, Y, Z,  FluenceRate, Temperature, WeightLossRate, MaxPrincipalStress"
case_38,38,FE_Results_Case_38.txt,/Users/novwin/Documents/University/University of Manchester/毕设项目/Nuclear graphite/NotebookCT3/ Case Test Data/FE_Results_Cases_All/FE_Results_Case_38.txt,33.960723,400360,"ElementID, X, Y, Z,  FluenceRate, Temperature, WeightLossRate, MaxPrincipalStress"
case_39,39,FE_Results_Case_39.txt,/Users/novwin/Documents/University/University of Manchester/毕设项目/Nuclear graphite/NotebookCT3/ Case Test Data/FE_Results_Cases_All/FE_Results_Case_39.txt,33.908878,400360,"ElementID, X, Y, Z,  FluenceRate, Temperature, WeightLossRate, MaxPrincipalStress"
case_40,40,FE_Results_Case_40.txt,/Users/novwin/Documents/University/University of Manchester/毕设项目/Nuclear graphite/NotebookCT3/ Case Test Data/FE_Results_Cases_All/FE_Results_Case_40.txt,33.915924,400360,"ElementID, X, Y, Z,  FluenceRate, Temperature, WeightLossRate, MaxPrincipalStress"
case_41,41,FE_Results_Case_41.txt,/Users/novwin/Documents/University/University of Manchester/毕设项目/Nuclear graphite/NotebookCT3/ Case Test Data/FE_Results_Cases_All/FE_Results_Case_41.txt,33.93753,400360,"ElementID, X, Y, Z,  FluenceRate, Temperature, WeightLossRate, MaxPrincipalStress"
case_42,42,FE_Results_Case_42.txt,/Users/novwin/Documents/University/University of Manchester/毕设项目/Nuclear graphite/NotebookCT3/ Case Test Data/FE_Results_Cases_All/FE_Results_Case_42.txt,33.916689,400360,"ElementID, X, Y, Z,  FluenceRate, Temperature, WeightLossRate, MaxPrincipalStress"
case_43,43,FE_Results_Case_43.txt,/Users/novwin/Documents/University/University of Manchester/毕设项目/Nuclear graphite/NotebookCT3/ Case Test Data/FE_Results_Cases_All/FE_Results_Case_43.txt,33.917031,400360,"ElementID, X, Y, Z,  FluenceRate, Temperature, WeightLossRate, MaxPrincipalStress"
case_44,44,FE_Results_Case_44.txt,/Users/novwin/Documents/University/University of Manchester/毕设项目/Nuclear graphite/NotebookCT3/ Case Test Data/FE_Results_Cases_All/FE_Results_Case_44.txt,33.917545,400360,"ElementID, X, Y, Z,  FluenceRate, Temperature, WeightLossRate, MaxPrincipalStress"
case_45,45,FE_Results_Case_45.txt,/Users/novwin/Documents/University/University of Manchester/毕设项目/Nuclear graphite/NotebookCT3/ Case Test Data/FE_Results_Cases_All/FE_Results_Case_45.txt,33.930061,400360,"ElementID, X, Y, Z,  FluenceRate, Temperature, WeightLossRate, MaxPrincipalStress"
case_46,46,FE_Results_Case_46.txt,/Users/novwin/Documents/University/University of Manchester/毕设项目/Nuclear graphite/NotebookCT3/ Case Test Data/FE_Results_Cases_All/FE_Results_Case_46.txt,33.91955,400360,"ElementID, X, Y, Z,  FluenceRate, Temperature, WeightLossRate, MaxPrincipalStress"
case_47,47,FE_Results_Case_47.txt,/Users/novwin/Documents/University/University of Manchester/毕设项目/Nuclear graphite/NotebookCT3/ Case Test Data/FE_Results_Cases_All/FE_Results_Case_47.txt,33.915578,400360,"ElementID, X, Y, Z,  FluenceRate, Temperature, WeightLossRate, MaxPrincipalStress"
case_48,48,FE_Results_Case_48.txt,/Users/novwin/Documents/University/University of Manchester/毕设项目/Nuclear graphite/NotebookCT3/ Case Test Data/FE_Results_Cases_All/FE_Results_Case_48.txt,33.927678,400360,"ElementID, X, Y, Z,  FluenceRate, Temperature, WeightLossRate, MaxPrincipalStress"
case_49,49,FE_Results_Case_49.txt,/Users/novwin/Documents/University/University of Manchester/毕设项目/Nuclear graphite/NotebookCT3/ Case Test Data/FE_Results_Cases_All/FE_Results_Case_49.txt,33.924717,400360,"ElementID, X, Y, Z,  FluenceRate, Temperature, WeightLossRate, MaxPrincipalStress"
case_50,50,FE_Results_Case_50.txt,/Users/novwin/Documents/University/University of Manchester/毕设项目/Nuclear graphite/NotebookCT3/ Case Test Data/FE_Results_Cases_All/FE_Results_Case_50.txt,33.918033,400360,"ElementID, X, Y, Z,  FluenceRate, Temperature, WeightLossRate, MaxPrincipalStress"
case_51,51,FE_Results_Case_51.txt,/Users/novwin/Documents/University/University of Manchester/毕设项目/Nuclear graphite/NotebookCT3/ Case Test Data/FE_Results_Cases_All/FE_Results_Case_51.txt,33.903599,400360,"ElementID, X, Y, Z,  FluenceRate, Temperature, WeightLossRate, MaxPrincipalStress"
case_52,52,FE_Results_Case_52.txt,/Users/novwin/Documents/University/University of Manchester/毕设项目/Nuclear graphite/NotebookCT3/ Case Test Data/FE_Results_Cases_All/FE_Results_Case_52.txt,33.919711,400360,"ElementID, X, Y, Z,  FluenceRate, Temperature, WeightLossRate, MaxPrincipalStress"
case_53,53,FE_Results_Case_53.txt,/Users/novwin/Documents/University/University of Manchester/毕设项目/Nuclear graphite/NotebookCT3/ Case Test Data/FE_Results_Cases_All/FE_Results_Case_53.txt,33.937878,400360,"ElementID, X, Y, Z,  FluenceRate, Temperature, WeightLossRate, MaxPrincipalStress"
case_54,54,FE_Results_Case_54.txt,/Users/novwin/Documents/University/University of Manchester/毕设项目/Nuclear graphite/NotebookCT3/ Case Test Data/FE_Results_Cases_All/FE_Results_Case_54.txt,33.917913,400360,"ElementID, X, Y, Z,  FluenceRate, Temperature, WeightLossRate, MaxPrincipalStress"
case_55,55,FE_Results_Case_55.txt,/Users/novwin/Documents/University/University of Manchester/毕设项目/Nuclear graphite/NotebookCT3/ Case Test Data/FE_Results_Cases_All/FE_Results_Case_55.txt,33.926802,400360,"ElementID, X, Y, Z,  FluenceRate, Temperature, WeightLossRate, MaxPrincipalStress"
case_56,56,FE_Results_Case_56.txt,/Users/novwin/Documents/University/University of Manchester/毕设项目/Nuclear graphite/NotebookCT3/ Case Test Data/FE_Results_Cases_All/FE_Results_Case_56.txt,33.914943,400360,"ElementID, X, Y, Z,  FluenceRate, Temperature, WeightLossRate, MaxPrincipalStress"
case_57,57,FE_Results_Case_57.txt,/Users/novwin/Documents/University/University of Manchester/毕设项目/Nuclear graphite/NotebookCT3/ Case Test Data/FE_Results_Cases_All/FE_Results_Case_57.txt,33.920461,400360,"ElementID, X, Y, Z,  FluenceRate, Temperature, WeightLossRate, MaxPrincipalStress"
case_58,58,FE_Results_Case_58.txt,/Users/novwin/Documents/University/University of Manchester/毕设项目/Nuclear graphite/NotebookCT3/ Case Test Data/FE_Results_Cases_All/FE_Results_Case_58.txt,33.904886,400360,"ElementID, X, Y, Z,  FluenceRate, Temperature, WeightLossRate, MaxPrincipalStress"
case_59,59,FE_Results_Case_59.txt,/Users/novwin/Documents/University/University of Manchester/毕设项目/Nuclear graphite/NotebookCT3/ Case Test Data/FE_Results_Cases_All/FE_Results_Case_59.txt,33.918134,400360,"ElementID, X, Y, Z,  FluenceRate, Temperature, WeightLossRate, MaxPrincipalStress"
