case_id,variable,provisional_lower,provisional_upper,observed_min,observed_max,n_below,n_above,fraction_outside,action
case_19,weight_loss_rate,0.0,2.0,0.2799069881439209,0.6611430048942566,0,0,0.0,flag_only_no_clipping
case_19,sigma_max_principal,-70.0,35.0,-2.9302279949188232,35.93040466308594,0,9,2.247976820861225e-05,flag_only_pending_stress_sign_and_mesh_review
case_20,fluence_rate,0.0,7.0,2.758384943008423,5.164715766906738,0,0,0.0,flag_only_no_clipping
case_20,temperature,25.0,600.0,346.9529724121094,446.9674987792969,0,0,0.0,flag_only_no_clipping
case_20,weight_loss_rate,0.0,2.0,0.2723129987716675,0.6109539866447449,0,0,0.0,flag_only_no_clipping
case_20,sigma_max_principal,-70.0,35.0,-2.9040520191192627,36.26679992675781,0,10,2.4977520231791387e-05,flag_only_pending_stress_sign_and_mesh_review
case_21,fluence_rate,0.0,7.0,2.9106080532073975,5.1995439529418945,0,0,0.0,flag_only_no_clipping
case_21,temperature,25.0,600.0,346.1752624511719,438.1097412109375,0,0,0.0,flag_only_no_clipping
case_21,weight_loss_rate,0.0,2.0,0.2711560130119324,0.6451990008354187,0,0,0.0,flag_only_no_clipping
case_21,sigma_max_principal,-70.0,35.0,-2.3356099128723145,23.24169158935547,0,0,0.0,flag_only_pending_stress_sign_and_mesh_review
case_24,fluence_rate,0.0,7.0,2.76016902923584,5.173141956329346,0,0,0.0,flag_only_no_clipping
case_24,temperature,25.0,600.0,347.04833984375,447.1294860839844,0,0,0.0,flag_only_no_clipping
case_24,weight_loss_rate,0.0,2.0,0.2592349946498871,0.6409990191459656,0,0,0.0,flag_only_no_clipping
case_24,sigma_max_principal,-70.0,35.0,-2.7403171062469482,27.87183380126953,0,0,0.0,flag_only_pending_stress_sign_and_mesh_review
case_27,fluence_rate,0.0,7.0,2.761383056640625,5.186886787414551,0,0,0.0,flag_only_no_clipping
case_27,temperature,25.0,600.0,346.2781677246094,446.6230163574219,0,0,0.0,flag_only_no_clipping
case_27,weight_loss_rate,0.0,2.0,0.38890400528907776,0.6925140023231506,0,0,0.0,flag_only_no_clipping
case_27,sigma_max_principal,-70.0,35.0,-2.5465009212493896,27.218610763549805,0,0,0.0,flag_only_pending_stress_sign_and_mesh_review
case_28,fluence_rate,0.0,7.0,2.760390043258667,5.188630104064941,0,0,0.0,flag_only_no_clipping
case_28,temperature,25.0,600.0,346.8524169921875,447.9479675292969,0,0,0.0,flag_only_no_clipping
case_28,weight_loss_rate,0.0,2.0,0.2839139997959137,0.6603909730911255,0,0,0.0,flag_only_no_clipping
case_28,sigma_max_principal,-70.0,35.0,-2.9235479831695557,36.075843811035156,0,7,1.748426416225397e-05,flag_only_pending_stress_sign_and_mesh_review
case_29,fluence_rate,0.0,7.0,2.755556106567383,5.0824151039123535,0,0,0.0,flag_only_no_clipping
case_29,temperature,25.0,600.0,350.0085754394531,447.32611083984375,0,0,0.0,flag_only_no_clipping
case_29,weight_loss_rate,0.0,2.0,0.2822889983654022,0.6059269905090332,0,0,0.0,flag_only_no_clipping
case_29,sigma_max_principal,-70.0,35.0,-1.6443270444869995,12.888184547424316,0,0,0.0,flag_only_pending_stress_sign_and_mesh_review
case_32,fluence_rate,0.0,7.0,2.9958200454711914,5.224660873413086,0,0,0.0,flag_only_no_clipping
