iteration,feature_set,split,n_cases,n_elements_evaluated,micro_mae,micro_rmse,micro_r2,macro_mae,macro_rmse,macro_r2,worst_case_rmse,mean_top5_actual_rmse,mean_top5_actual_bias,mean_p95_relative_error,mean_p95_underprediction_fraction,mean_p99_relative_error,mean_p99_underprediction_fraction,mean_top5pct_hotspot_overlap,mean_top1pct_hotspot_overlap,mean_top1_recall_in_predicted_top5,max_prediction_abs_max_ratio
1,full_periodic_coordinates,internal_test,15,6005400,0.5860466796949412,0.8192958877360761,0.9211118846365746,0.5860466796949412,0.8007162146835682,0.9138773125313905,1.1703413034031516,1.5166137174457348,-0.8185546998765453,0.05133538860629725,0.040594947014713875,0.062207034080279874,0.062207034080279874,0.8253538482032837,0.8553779553779552,1.0,1.100152998129328
1,full_periodic_coordinates,validation,15,6005400,0.8482049271894176,1.2361160485201947,0.8304241940186896,0.8482049271894175,1.112730797489805,0.42565151781068883,2.5348843545570374,2.190278266292409,0.09356442847569563,0.20482176572340505,0.035049363929385374,0.20734909055012624,0.04222017610387488,0.7927165551004095,0.8048951048951049,0.9887612387612388,2.2292801395126705
1,full_raw_coordinates,internal_test,15,6005400,0.5839031716683335,0.8175274886106622,0.9214520672718043,0.5839031716683337,0.7990910868947357,0.9141581962764695,1.1554573544400621,1.5189079698800911,-0.8124427288409405,0.0507330412503998,0.03943758929907134,0.06260965397151345,0.06260965397151345,0.8262730209478135,0.8559773559773559,0.9999666999667,1.0897004887424464
1,full_raw_coordinates,validation,15,6005400,0.8465255561938382,1.2322630001124388,0.8314797024746107,0.8465255561938381,1.1103259771010972,0.431209769202351,2.508871052405823,2.1946153297668585,0.09215396753542514,0.20354326654387359,0.03404270972167409,0.20793065854421694,0.043864330045960694,0.7937589502780829,0.8047952047952047,0.9884282384282383,2.228543382126531
1,physical_only,internal_test,15,6005400,2.093809673512833,2.804466462854834,0.07566258503298107,2.093809673512833,2.7506066850556317,0.005671552700119653,3.901615093550459,5.801802681593698,-4.619124773937188,0.1463876271768956,0.07016625067197471,0.250341768823336,0.250341768823336,0.22222333233423255,0.07132867132867134,0.3151515151515152,0.5142329827314946
1,physical_only,validation,15,6005400,2.509226709514373,3.345804014941014,-0.24235695620665632,2.5092267095143725,3.2618710256631545,-1.4950634759080565,5.043359300513024,4.890583731276903,-3.1216989152554464,0.36363065091004076,0.019398228475454447,0.2510285089557633,0.11081549138104617,0.16524461318147002,0.059124209124209126,0.23609723609723612,1.1483670796099241
1,position_only_periodic,internal_test,15,6005400,0.8886026592388829,1.2108573687475686,0.8276878073018696,0.8886026592388832,1.096842585527558,0.8208567350844131,2.264333661040945,1.8672418196131617,-0.9698024376923284,0.07669755667193591,0.04812026997238463,0.08095334139610795,0.0672077154089656,0.8012155726512804,0.8368964368964369,0.9976689976689976,1.1803952046598207
1,position_only_periodic,validation,15,6005400,1.169388376575935,1.547193263734308,0.7343348839338657,1.169388376575935,1.4229653055341764,0.10241053548695118,3.0583015903976385,2.8872825091622922,-0.610906444034708,0.2904962438738545,0.090292939144362,0.2792749276231256,0.0964449568637074,0.7910147533886168,0.8432567432567432,0.9968364968364969,2.038450783039192
2,full_periodic_coordinates,internal_test,15,6005400,0.6074931898342283,0.8316726716691379,0.91177166646334,0.6074931898342284,0.8147937888711323,0.8997424794357715,1.1344889456053073,1.5081402414156828,-0.4967166336716963,0.05765083215959947,0.020921108569411966,0.07144755437805728,0.050949518269949624,0.8250407966163785,0.8235431235431234,0.9862637362637362,1.263393646739328
2,full_periodic_coordinates,validation,15,6005400,0.6922447023567389,0.972132304540572,0.868242688430523,0.692244702356739,0.8929971993596558,0.8236008481102971,2.197520617857122,1.4568537121727614,0.09242848308041895,0.08524182172124874,0.004253286560493442,0.06721656770425903,0.025988496638695697,0.8214606853831552,0.8136863136863137,0.9923409923409924,1.0928741511971198
2,full_raw_coordinates,internal_test,15,6005400,0.6020024967313038,0.8261977258548727,0.9129294666534521,0.602002496731304,0.8101517680205353,0.9012020975186388,1.1114073643303801,1.5189971012078904,-0.511152053213405,0.057304075815406606,0.02189167725171883,0.07307127344690686,0.052107188775085064,0.8250507876244713,0.8212787212787213,0.9873459873459873,1.2336967747683207
2,full_raw_coordinates,validation,15,6005400,0.692962781405626,0.9771158096008241,0.8668883537470488,0.6929627814056258,0.8948719583494235,0.8212467206263415,2.2299061494476478,1.4692330734556465,0.08354957116121418,0.08559259128634172,0.0038368322100114168,0.06979867561174008,0.027945966910359592,0.8187930862223997,0.8124542124542126,0.9919080919080919,1.1000933166286477
2,physical_only,internal_test,15,6005400,1.9849504642158882,2.746689827122717,0.03767348450290131,1.9849504642158886,2.6630344660346874,-0.05427015250292064,4.657761640053645,5.267945222357342,-4.147574065237355,0.0872656658686707,0.01695408812058319,0.18240722349882874,0.18240722349882874,0.2125154028041429,0.085997335997336,0.36067266067266074,0.5752293129520861
2,physical_only,validation,15,6005400,2.2056721895611,3.096528551914123,-0.33682374780236657,2.2056721895611,2.891098157002153,-0.6647900658258524,6.42481490655302,4.84206965252684,-3.5199423811694666,0.18122892676334418,0.015883409542075382,0.1763820509992958,0.14827288520407994,0.20468245245945316,0.09044289044289043,0.3189643689643689,0.8361247523105771
