case_id,case_number,source_file,n_elements_read,element_id_unique,element_id_min,element_id_max,element_id_monotonic,coordinate_source,rho_xy_crosscheck_max_abs,theta_xy_crosscheck_max_abs_rad,model_missing_count,model_infinite_count
case_78,78,FE_Results_Case_78.txt,400360,400360,0,400359,True,derived_from_exported_xy,,,0,0
case_79,79,FE_Results_Case_79.txt,400360,400360,0,400359,True,derived_from_exported_xy,,,0,0
case_81,81,FE_Results_Case_81.txt,400360,400360,0,400359,True,derived_from_exported_xy,,,0,0
case_82,82,FE_Results_Case_82.txt,400360,400360,0,400359,True,derived_from_exported_xy,,,0,0
case_83,83,FE_Results_Case_83.txt,400360,400360,0,400359,True,derived_from_exported_xy,,,0,0
case_84,84,FE_Results_Case_84.txt,400360,400360,0,400359,True,derived_from_exported_xy,,,0,0
case_85,85,FE_Results_Case_85.txt,400360,400360,0,400359,True,derived_from_exported_xy,,,0,0
case_86,86,FE_Results_Case_86.txt,400360,400360,0,400359,True,derived_from_exported_xy,,,0,0
case_87,87,FE_Results_Case_87.txt,400360,400360,0,400359,True,derived_from_exported_xy,,,0,0
case_89,89,FE_Results_Case_89.txt,400360,400360,0,400359,True,derived_from_exported_xy,,,0,0
case_91,91,FE_Results_Case_91.txt,400360,400360,0,400359,True,derived_from_exported_xy,,,0,0
case_92,92,FE_Results_Case_92.txt,400360,400360,0,400359,True,derived_from_exported_xy,,,0,0
case_93,93,FE_Results_Case_93.txt,400360,400360,0,400359,True,derived_from_exported_xy,,,0,0
case_94,94,FE_Results_Case_94.txt,400360,400360,0,400359,True,derived_from_exported_xy,,,0,0
case_95,95,FE_Results_Case_95.txt,400360,400360,0,400359,True,derived_from_exported_xy,,,0,0
case_96,96,FE_Results_Case_96.txt,400360,400360,0,400359,True,derived_from_exported_xy,,,0,0
case_97,97,FE_Results_Case_97.txt,400360,400360,0,400359,True,derived_from_exported_xy,,,0,0
case_98,98,FE_Results_Case_98.txt,400360,400360,0,400359,True,derived_from_exported_xy,,,0,0
case_99,99,FE_Results_Case_99.txt,400360,400360,0,400359,True,derived_from_exported_xy,,,0,0
case_100,100,FE_Results_Case_100.txt,400360,400360,0,400359,True,derived_from_exported_xy,,,0,0
