Complexity,Loss,Equation
1,1.0,"-8.560956e-5"
3,0.9420276,"nearest_radial_boundary_fraction_proxy_scaled * 0.24044226"
5,0.8983645,"(nearest_radial_boundary_fraction_proxy_scaled + z_scaled) * 0.22148599"
7,0.8664833,"gauss(fluence_rate_scaled) - 0.6189402"
9,0.83933645,"(z_within_case_z_scaled * ((nearest_axial_boundary_fraction_proxy_scaled - -0.9565401) * z_fraction_proxy_scaled)) * -0.6972313"
10,0.8372682,"(z_fraction_proxy_scaled * (abs(nearest_axial_boundary_fraction_proxy_scaled) - 1.0121307)) * z_within_case_z_scaled"
11,0.8212426,"gauss(fluence_rate_scaled) - gauss(nearest_axial_boundary_fraction_proxy_scaled)"
12,0.79934245,"(gauss(fluence_rate_scaled) * abs(nearest_axial_boundary_fraction_proxy_scaled)) - 0.5720946"
13,0.7935823,"z_fraction_proxy_scaled * ((gauss(fluence_rate_within_case_z_scaled + -0.46687108) - 0.5707568) * z_fraction_proxy_scaled)"
15,0.78322303,"(gauss(fluence_rate_within_case_z_scaled + -0.44319206) - 0.56987864) * ((z_within_case_z_scaled * z_within_case_z_scaled) + theta_sin_std_scaled)"
17,0.7007158,"z_within_case_z_scaled * (((nearest_axial_boundary_fraction_proxy_scaled * gauss(fluence_rate_within_case_z_scaled + -0.5261915)) - -0.60818654) * (z_within_case_z_scaled * -0.90710604))"
19,0.6901655,"(((((nearest_axial_boundary_fraction_proxy_scaled * gauss(-0.4976086 - rho_within_case_z_scaled)) - -0.6239574) * z_within_case_z_scaled) - 0.10238281) * -0.8779784) * z_within_case_z_scaled"
21,0.67736095,"((z_within_case_z_scaled * -0.82409155) * ((((nearest_axial_boundary_fraction_proxy_scaled * gauss(-0.42096183 - rho_within_case_z_scaled)) - -0.67324543) * z_within_case_z_scaled) - 0.18939881)) + 0.08256259"
