case_id,split,rmse_v11,p95_relative_error_v11,p99_relative_error_v11,p99_underprediction_fraction_v11,top1pct_hotspot_overlap_v11,top1_recall_in_predicted_top5_v11,top5_actual_bias_v11,rmse_v13,p95_relative_error_v13,p99_relative_error_v13,p99_underprediction_fraction_v13,top1pct_hotspot_overlap_v13,top1_recall_in_predicted_top5_v13,top5_actual_bias_v13,delta_rmse_v13_minus_v11,delta_p95_relative_error_v13_minus_v11,delta_p99_relative_error_v13_minus_v11,delta_p99_underprediction_fraction_v13_minus_v11,delta_top1pct_hotspot_overlap_v13_minus_v11,delta_top1_recall_in_predicted_top5_v13_minus_v11,delta_top5_actual_bias_v13_minus_v11,flag_p99_underprediction_above_10pct,flag_p99_relative_error_above_15pct,flag_top1_overlap_below_60pct,flag_p95_relative_error_above_15pct,fluence_rate_mean,fluence_rate_std,fluence_rate_min,fluence_rate_p95,fluence_rate_max,temperature_mean,temperature_std,temperature_min,temperature_p95,temperature_max,weight_loss_rate_mean,weight_loss_rate_std,weight_loss_rate_min,weight_loss_rate_p95,weight_loss_rate_max
case_111,train,1.8800214155865576,0.018414675572831312,0.29573599546288176,0.29573599546288176,0.3953546453546454,0.9323176823176823,-2.75471478912128,2.363762252134872,0.198417265705061,0.18946679890225915,0.18946679890225915,0.32867132867132864,0.9263236763236763,-1.6773729144757261,0.48374083654831446,0.1800025901322297,-0.10626919656062261,-0.10626919656062261,-0.06668331668331673,-0.005994005994006013,1.077341874645554,True,True,True,True,4.829971790313721,0.2632432878017425,3.129601001739502,5.104234218597412,5.349579811096191,365.8954162597656,12.96779441833496,344.7640991210937,395.9998779296875,432.0520935058594,0.5879989862442017,0.0437046326696872,0.3190009891986847,0.6368690133094788,0.6955599784851074
case_92,train,1.7977409988563111,0.011474918908081997,0.2015856099881241,0.2015856099881241,0.6008991008991009,0.8479020979020979,-2.2857403096469646,1.954603847362638,0.0685027880660108,0.10303138797025366,0.10303138797025366,0.6271228771228772,0.9080919080919081,-1.5599989337389197,0.1568628485063268,0.057027869157928804,-0.09855422201787045,-0.09855422201787045,0.02622377622377625,0.06018981018981018,0.7257413759080449,True,False,False,False,3.3151376247406006,0.3396933972835541,2.754728078842163,4.09653377532959,5.102495193481445,440.694091796875,11.036330223083496,360.4844665527344,448.29205322265625,453.2403869628906,0.3573110401630401,0.0518410392105579,0.2760519981384277,0.4941030144691467,0.6008960008621216
case_171,train,1.852418435944255,0.028124636873555507,0.20122181077327445,0.20122181077327445,0.6051448551448552,0.8783716283716284,-2.60682787186131,2.0261203880354963,0.05304292215001545,0.09890026115481114,0.09890026115481114,0.6378621378621379,0.9255744255744256,-1.7943906532242082,0.17370195209124129,0.024918285276459944,-0.1023215496184633,-0.1023215496184633,0.03271728271728269,0.047202797202797186,0.8124372186371016,False,False,False,False,3.394049644470215,0.4039483368396759,2.7506110668182373,4.330490112304688,5.162080764770508,404.6004943847656,9.74038028717041,355.7523498535156,419.4354553222656,442.5280151367188,0.3590504825115204,0.0560246706008911,0.2694959938526153,0.4828700125217438,0.6456360220909119
case_195,train,1.5846349927719614,0.01897813949400537,0.1976171248042831,0.1976171248042831,0.5761738261738262,0.8598901098901099,-2.3186281728659743,1.7746035818282797,0.06482068741290796,0.09451759391467476,0.09451759391467476,0.6083916083916084,0.8908591408591409,-1.5814082313930722,0.1899685890563183,0.04584254791890259,-0.10309953088960833,-0.10309953088960833,0.032217782217782265,0.03096903096903092,0.7372199414729022,False,False,False,False,3.398775815963745,0.4020915627479553,2.7577459812164307,4.333730220794678,5.153214931488037,366.947021484375,14.86263370513916,347.75750732421875,402.1915893554688,440.9661560058594,0.3481342494487762,0.0488101653754711,0.2693040072917938,0.4725120067596435,0.5930269956588745
case_98,internal_test,2.164029274099822,0.007270233250612654,0.1924933987191391,0.1924933987191391,0.6056443556443556,0.8636363636363636,-2.6953957821596326,2.3707838541786153,0.07323443994434714,0.09057794638173768,0.09057794638173768,0.6423576423576424,0.9233266733266733,-1.7814249802681237,0.2067545800787931,0.06596420669373448,-0.10191545233740142,-0.10191545233740142,0.036713286713286775,0.05969030969030964,0.9139708018915089,False,False,False,False,3.4002556800842285,0.4038166403770447,2.7411820888519287,4.341915130615234,5.161951065063477,426.91705322265625,10.807268142700195,354.6826477050781,443.4223937988281,450.148193359375,0.3600414395332336,0.0555852316319942,0.2795439958572387,0.486066997051239,0.6481789946556091
case_86,validation,1.4747897604145508,0.006506242978722562,0.18954283134404365,0.18954283134404365,0.5996503496503497,0.8531468531468531,-1.939215671863056,1.648611534991995,0.08949789013260644,0.08978297770965932,0.08978297770965932,0.6236263736263736,0.8966033966033966,-1.3097768376369316,0.1738217745774442,0.08299164715388388,-0.09975985363438433,-0.09975985363438433,0.02397602397602394,0.043456543456543484,0.6294388342261243,False,False,False,False,3.3035128116607666,0.337123692035675,2.7574141025543213,4.07803201675415,5.099003791809082,385.3857116699219,19.11328125,344.546875,425.63128662109375,447.53753662109375,0.3429905772209167,0.0352904871106147,0.2709780037403106,0.4162420034408569,0.6238049864768982
case_182,train,1.4568744241953981,0.0039804837552129095,0.18803500850300572,0.18803500850300572,0.6026473526473527,0.8778721278721279,-2.033807302147391,1.6359768232857275,0.085920050163695,0.08711695400110396,0.08711695400110396,0.6333666333666333,0.9088411588411588,-1.3235427545028253,0.17910239909032932,0.08193956640848209,-0.10091805450190176,-0.10091805450190176,0.03071928071928065,0.03096903096903092,0.7102645476445657,False,False,False,False,3.412649631500244,0.3978778421878814,2.765826940536499,4.340727806091309,5.166155815124512,369.9147644042969,13.084407806396484,349.8485107421875,403.9873962402344,433.8999633789063,0.3410781025886535,0.0438534654676914,0.2713499963283539,0.4559800028800964,0.579925000667572
case_17,train,1.8327041547606473,0.014111738459872885,0.1866099303149795,0.1866099303149795,0.5984015984015985,0.8484015984015985,-2.2147330806551593,1.9867981616076074,0.06525739554676913,0.08613726691675315,0.08613726691675315,0.6283716283716284,0.913086913086913,-1.4518431372683926,0.15409400684696006,0.05114565708689624,-0.10047266339822634,-0.10047266339822634,0.029970029970029954,0.06468531468531458,0.7628899433867666,False,False,False,False,3.3391776084899902,0.3435490429401397,2.76001501083374,4.13048791885376,5.11299991607666,440.5730590820313,11.065532684326172,360.54339599609375,448.5782775878906,453.2876586914063,0.3592750132083893,0.0520152747631073,0.2788290083408355,0.4972169995307922,0.6147329807281494
case_175,train,1.4528935802456717,0.0059605862611051335,0.18675591299981534,0.18675591299981534,0.6006493506493507,0.8866133866133866,-2.0495404866264355,1.6290481888481503,0.09001545120185421,0.0841431478869903,0.0841431478869903,0.6336163836163836,0.9200799200799201,-1.33187638289183,0.17615460860247856,0.08405486494074908,-0.10261276511282504,-0.10261276511282504,0.03296703296703296,0.0334665334665335,0.7176641037346054,False,False,False,False,3.4117743968963623,0.399386316537857,2.766840934753418,4.342660903930664,5.165687084197998,368.5635070800781,13.123151779174805,347.3141784667969,397.02093505859375,434.5841674804688,0.350957453250885,0.060766514390707,0.2661510109901428,0.4941850006580353,0.6481459736824036
case_189,train,1.496678318148946,0.011509669096055213,0.18835151435299627,0.18835151435299627,0.5801698301698301,0.8673826173826173,-2.1219790508920733,1.67706981235728,0.07327319679296235,0.08381363637602417,0.08381363637602417,0.6118881118881119,0.8993506493506493,-1.402666769982846,0.180391494208334,0.061763527696907135,-0.1045378779769721,-0.1045378779769721,0.03171828171828173,0.031968031968031996,0.7193122809092274,False,False,False,False,3.40437388420105,0.4016564786434173,2.765398979187012,4.33687686920166,5.164523124694824,365.9328308105469,12.939881324768066,349.2086181640625,396.5462951660156,435.1784362792969,0.3571913838386535,0.0543151460587978,0.2690379917621612,0.4927850067615509,0.6170520186424255
