split,comparison,selected_model,reference_model,metric,direction,n_paired_cases,mean_delta_selected_minus_reference,median_delta_selected_minus_reference,bootstrap_95ci_low,bootstrap_95ci_high,wilcoxon_statistic,wilcoxon_two_sided_p,descriptive_only
validation,selected_vs_v10,v11_selected_gain_0.95,v10_signed_staged_symbolic,rmse,lower_is_better,15,-0.06357572066629286,-0.004116534661260829,-0.13218348204512878,0.0030183003072381913,37.0,0.207763671875,True
validation,selected_vs_v10,v11_selected_gain_0.95,v10_signed_staged_symbolic,top5_actual_rmse,lower_is_better,15,0.11471556560118555,0.032030108572185245,0.01323750909747854,0.2338535877310884,33.0,0.1353759765625,True
validation,selected_vs_v10,v11_selected_gain_0.95,v10_signed_staged_symbolic,p95_relative_error,lower_is_better,15,-0.016579261905052253,-0.019716714564179755,-0.033605313997940145,0.002124140695875722,30.0,0.0946044921875,True
validation,selected_vs_v10,v11_selected_gain_0.95,v10_signed_staged_symbolic,p99_relative_error,lower_is_better,15,0.031887191882717415,0.02319842462293295,0.02187962036873624,0.04365876739782274,0.0,6.103515625e-05,True
validation,selected_vs_v10,v11_selected_gain_0.95,v10_signed_staged_symbolic,p99_underprediction_fraction,lower_is_better,15,0.031887191882717415,0.02319842462293295,0.021717878479807898,0.04339427330983542,0.0,6.103515625e-05,True
validation,selected_vs_v10,v11_selected_gain_0.95,v10_signed_staged_symbolic,top1pct_hotspot_overlap,higher_is_better,15,0.03245088245088244,0.04270729270729268,0.015201048951048927,0.04766899766899767,10.0,0.00262451171875,True
validation,selected_vs_v10,v11_selected_gain_0.95,v10_signed_staged_symbolic,top1_recall_in_predicted_top5,higher_is_better,15,0.02862137862137862,0.02472527472527475,0.015084498834498817,0.04155885780885776,10.0,0.00262451171875,True
validation,selected_vs_v10,v11_selected_gain_0.95,v10_signed_staged_symbolic,prediction_abs_max_ratio,closer_to_one_is_better,15,0.00048160266828504533,-0.0005741292003895726,-0.003292179225967718,0.004241756002198611,55.0,0.803955078125,True
validation,selected_vs_current_v11,v11_selected_gain_0.95,v11_current_gain_1_00,rmse,lower_is_better,15,-0.0068821976466987515,-0.006085253367241528,-0.00810556292997547,-0.005927632880100418,0.0,6.103515625e-05,True
validation,selected_vs_current_v11,v11_selected_gain_0.95,v11_current_gain_1_00,top5_actual_rmse,lower_is_better,15,0.008063150025778636,0.012889624679559564,0.0020613442944928885,0.013121109258276312,22.0,0.0301513671875,True
validation,selected_vs_current_v11,v11_selected_gain_0.95,v11_current_gain_1_00,p95_relative_error,lower_is_better,15,-0.0007207806899729836,-0.0025240156500155667,-0.0020558518488163315,0.0006947204319882876,44.0,0.389404296875,True
validation,selected_vs_current_v11,v11_selected_gain_0.95,v11_current_gain_1_00,p99_relative_error,lower_is_better,15,0.002590450902996148,0.00269692055706576,0.002133129049651474,0.0029870962106018375,0.0,6.103515625e-05,True
validation,selected_vs_current_v11,v11_selected_gain_0.95,v11_current_gain_1_00,p99_underprediction_fraction,lower_is_better,15,0.002590450902996148,0.00269692055706576,0.002131280939893454,0.0029880266619302796,0.0,6.103515625e-05,True
validation,selected_vs_current_v11,v11_selected_gain_0.95,v11_current_gain_1_00,top1pct_hotspot_overlap,higher_is_better,15,-6.660006660006435e-05,-0.00024975024975026905,-0.0009657009657009664,0.0009657009657009664,48.5,0.5131455306542712,True
validation,selected_vs_current_v11,v11_selected_gain_0.95,v11_current_gain_1_00,top1_recall_in_predicted_top5,higher_is_better,15,6.660006660007175e-05,-0.00024975024975026905,-0.0003996003996003935,0.0006327006327006298,32.5,0.3612512282864615,True
validation,selected_vs_current_v11,v11_selected_gain_0.95,v11_current_gain_1_00,prediction_abs_max_ratio,closer_to_one_is_better,15,-0.001562580128136659,-0.0016155105511694856,-0.0016829435295862936,-0.0014346279999653843,0.0,6.103515625e-05,True
internal_test,selected_vs_v10,v11_selected_gain_0.95,v10_signed_staged_symbolic,rmse,lower_is_better,15,-0.04476897811725814,-0.04785511224524308,-0.07185662316936052,-0.019328082960682332,12.0,0.0042724609375,True
internal_test,selected_vs_v10,v11_selected_gain_0.95,v10_signed_staged_symbolic,top5_actual_rmse,lower_is_better,15,0.03419695654482154,0.02835423009591409,-0.003968825240634854,0.08045307224096192,32.0,0.12054443359375,True
internal_test,selected_vs_v10,v11_selected_gain_0.95,v10_signed_staged_symbolic,p95_relative_error,lower_is_better,15,-0.01714312801337136,-0.02406950862106202,-0.025545986493828738,-0.00518057078689198,15.0,0.00836181640625,True
internal_test,selected_vs_v10,v11_selected_gain_0.95,v10_signed_staged_symbolic,p99_relative_error,lower_is_better,15,0.01856895599945307,0.016372439717962706,0.015016929637913432,0.022511762271289155,0.0,6.103515625e-05,True
internal_test,selected_vs_v10,v11_selected_gain_0.95,v10_signed_staged_symbolic,p99_underprediction_fraction,lower_is_better,15,0.01971960800801666,0.016372439717962706,0.01514821937737766,0.025713284689816516,0.0,6.103515625e-05,True
internal_test,selected_vs_v10,v11_selected_gain_0.95,v10_signed_staged_symbolic,top1pct_hotspot_overlap,higher_is_better,15,0.04330669330669331,0.0459540459540459,0.03679612054612054,0.04801864801864801,0.0,0.0006516660806139112,True
internal_test,selected_vs_v10,v11_selected_gain_0.95,v10_signed_staged_symbolic,top1_recall_in_predicted_top5,higher_is_better,15,0.02970362970362972,0.02447552447552448,0.023393273393273403,0.03639693639693642,0.0,6.103515625e-05,True
internal_test,selected_vs_v10,v11_selected_gain_0.95,v10_signed_staged_symbolic,prediction_abs_max_ratio,closer_to_one_is_better,15,0.0052283634632375175,0.006786241411374849,0.0025643595810943454,0.007357853443041866,15.0,0.00836181640625,True
internal_test,selected_vs_current_v11,v11_selected_gain_0.95,v11_current_gain_1_00,rmse,lower_is_better,15,-0.00605758026416375,-0.005231689377130255,-0.007102793442335583,-0.005208609368674845,0.0,6.103515625e-05,True
internal_test,selected_vs_current_v11,v11_selected_gain_0.95,v11_current_gain_1_00,top5_actual_rmse,lower_is_better,15,0.014806075074823047,0.015396956018405294,0.0117876939860133,0.01713800081405498,1.0,0.0001220703125,True
internal_test,selected_vs_current_v11,v11_selected_gain_0.95,v11_current_gain_1_00,p95_relative_error,lower_is_better,15,-0.0013156851229342904,-0.002412156953417118,-0.002298104635931096,-0.00014939778152415516,33.0,0.1353759765625,True
internal_test,selected_vs_current_v11,v11_selected_gain_0.95,v11_current_gain_1_00,p99_relative_error,lower_is_better,15,0.0027145853871944643,0.0027373634895548615,0.002586316194644849,0.002843750555835894,0.0,6.103515625e-05,True
internal_test,selected_vs_current_v11,v11_selected_gain_0.95,v11_current_gain_1_00,p99_underprediction_fraction,lower_is_better,15,0.0027145853871944643,0.0027373634895548615,0.002583173726319458,0.0028421808348755937,0.0,6.103515625e-05,True
internal_test,selected_vs_current_v11,v11_selected_gain_0.95,v11_current_gain_1_00,top1pct_hotspot_overlap,higher_is_better,15,-0.000715950715950712,-0.0009990009990009652,-0.0011655011655011518,-0.00014985014985015774,13.0,0.022920431832103686,True
internal_test,selected_vs_current_v11,v11_selected_gain_0.95,v11_current_gain_1_00,top1_recall_in_predicted_top5,higher_is_better,15,-0.0002830502830502827,-0.00024975024975026905,-0.0008991008991008798,0.0001831501831501899,53.5,0.7087820813050039,True
internal_test,selected_vs_current_v11,v11_selected_gain_0.95,v11_current_gain_1_00,prediction_abs_max_ratio,closer_to_one_is_better,15,-0.001406059743590693,-0.001412405064062483,-0.0014781870130549032,-0.0013236372447777939,0.0,6.103515625e-05,True
