split,model,criterion,rank,case_id,value,rmse,actual_p99,predicted_p99,actual_max,predicted_max,prediction_abs_max_ratio,top1pct_hotspot_overlap
internal_test,v10_signed_staged_symbolic,rmse,1,case_95,2.680167061948449,2.680167061948449,16.617831211090085,15.532664267572018,34.6576042175293,31.203182972927095,0.9003271771781903,0.5084915084915085
internal_test,v10_signed_staged_symbolic,rmse,2,case_48,2.355363557700273,2.355363557700273,16.89704576492309,14.125045236784999,36.57381820678711,28.91194759213965,0.7905094138291084,0.44405594405594406
internal_test,v10_signed_staged_symbolic,rmse,3,case_52,2.264029967903494,2.264029967903494,15.024835319519037,13.10920899607511,33.935302734375,26.190149789601737,0.7717670885273182,0.46378621378621376
internal_test,v10_signed_staged_symbolic,rmse,4,case_68,2.2573914937838264,2.2573914937838264,14.204864883422841,14.450037728065116,30.399791717529297,28.39175076266493,0.93394556865643,0.5117382617382618
internal_test,v10_signed_staged_symbolic,rmse,5,case_67,2.227099312653792,2.227099312653792,15.007321405410755,13.070545111845474,33.35513687133789,26.042548784206907,0.7807657598486817,0.4582917082917083
internal_test,v10_signed_staged_symbolic,p99_underprediction_fraction,1,case_189,0.18957191311566352,1.7283156947259093,12.753865308761585,10.336090662560158,29.364471435546875,20.98108673281151,0.7145058537445036,0.4230769230769231
internal_test,v10_signed_staged_symbolic,p99_underprediction_fraction,2,case_191,0.18613224672478756,1.7787344404877405,13.111052494049055,10.670662836405075,29.264482498168945,21.509198858521167,0.734993310059967,0.4353146853146853
internal_test,v10_signed_staged_symbolic,p99_underprediction_fraction,3,case_182,0.1809873722446694,1.780119698998461,12.821896562576253,10.501295196522618,27.602649688720703,20.848340929751622,0.7553021599325263,0.44280719280719283
internal_test,v10_signed_staged_symbolic,p99_underprediction_fraction,4,case_139,0.17912655757369902,1.7914977524414653,13.217778148651119,10.850123050110383,29.612136840820312,21.95878889336948,0.7415469208253591,0.4175824175824176
internal_test,v10_signed_staged_symbolic,p99_underprediction_fraction,5,case_192,0.17386697851614105,1.76947898476644,12.946696014404287,10.695693096612848,29.42413902282715,21.5927888985668,0.7338460738584461,0.4210789210789211
internal_test,v10_signed_staged_symbolic,max_relative_error,1,case_189,0.2854941462554964,1.7283156947259093,12.753865308761585,10.336090662560158,29.364471435546875,20.98108673281151,0.7145058537445036,0.4230769230769231
internal_test,v10_signed_staged_symbolic,max_relative_error,2,case_116,0.2777524089099429,2.155358561803335,15.341071567535392,12.713327046500225,35.28178024291992,25.482180789817683,0.7222475910900571,0.4645354645354645
internal_test,v10_signed_staged_symbolic,max_relative_error,3,case_157,0.26835700302140364,1.6504801887776797,11.7065015220642,9.719643876640772,26.843324661254883,19.639730504029988,0.7316429969785964,0.4478021978021978
internal_test,v10_signed_staged_symbolic,max_relative_error,4,case_192,0.26615392614155386,1.76947898476644,12.946696014404287,10.695693096612848,29.42413902282715,21.5927888985668,0.7338460738584461,0.4210789210789211
internal_test,v10_signed_staged_symbolic,max_relative_error,5,case_191,0.26500668994003296,1.7787344404877405,13.111052494049055,10.670662836405075,29.264482498168945,21.509198858521167,0.734993310059967,0.4353146853146853
internal_test,v10_signed_staged_symbolic,top1pct_hotspot_overlap,1,case_139,0.4175824175824176,1.7914977524414653,13.217778148651119,10.850123050110383,29.612136840820312,21.95878889336948,0.7415469208253591,0.4175824175824176
internal_test,v10_signed_staged_symbolic,top1pct_hotspot_overlap,2,case_192,0.4210789210789211,1.76947898476644,12.946696014404287,10.695693096612848,29.42413902282715,21.5927888985668,0.7338460738584461,0.4210789210789211
internal_test,v10_signed_staged_symbolic,top1pct_hotspot_overlap,3,case_189,0.4230769230769231,1.7283156947259093,12.753865308761585,10.336090662560158,29.364471435546875,20.98108673281151,0.7145058537445036,0.4230769230769231
internal_test,v10_signed_staged_symbolic,top1pct_hotspot_overlap,4,case_191,0.4353146853146853,1.7787344404877405,13.111052494049055,10.670662836405075,29.264482498168945,21.509198858521167,0.734993310059967,0.4353146853146853
internal_test,v10_signed_staged_symbolic,top1pct_hotspot_overlap,5,case_133,0.4355644355644356,1.7743277418283416,12.81892926216123,10.638580781501801,28.935829162597656,21.39276821591789,0.7393176153932406,0.4355644355644356
internal_test,v11_current_gain_1_00,rmse,1,case_95,2.515280482159566,2.515280482159566,16.617831211090085,15.002117148128367,34.6576042175293,31.11348347622843,0.8977390151074464,0.5132367632367633
internal_test,v11_current_gain_1_00,rmse,2,case_48,2.3601924505308216,2.3601924505308216,16.89704576492309,14.09548221803187,36.57381820678711,29.370585994732743,0.8030494882615881,0.497002997002997
internal_test,v11_current_gain_1_00,rmse,3,case_68,2.3092757590236257,2.3092757590236257,14.204864883422841,13.509174299031704,30.399791717529297,28.17296465765881,0.9267486079983094,0.5404595404595405
internal_test,v11_current_gain_1_00,rmse,4,case_52,2.206225886519975,2.206225886519975,15.024835319519037,12.933064924959876,33.935302734375,26.45007010801098,0.7794263783366281,0.5179820179820179
internal_test,v11_current_gain_1_00,rmse,5,case_16,2.1620513779203376,2.1620513779203376,15.720469598770103,13.182487533399183,34.04954528808594,27.34944730250771,0.803225037841471,0.5014985014985015
internal_test,v11_current_gain_1_00,p99_underprediction_fraction,1,case_182,0.20363853528370102,1.6879942356018838,12.821896562576253,10.210864327014104,27.602649688720703,20.967443360578468,0.7596170511538396,0.4905094905094905
