iteration,split,case_id,shape_rmse,shape_r2,shape_top1pct_hotspot_overlap,shape_top1_recall_in_predicted_top5,direct_top1pct_hotspot_overlap,direct_top1_recall_in_predicted_top5,actual_offset_mean,predicted_offset_mean,actual_scale_p95_minus_mean,predicted_scale_p95_minus_mean
4,validation,case_11,0.15650305106599222,0.9582777205882703,0.9005994005994006,1.0,0.8956043956043956,1.0,6.201050758361816,6.085908459048661,4.421328115463256,4.9343705706327246
4,validation,case_17,0.15668143513154936,0.9586168595224088,0.9170829170829171,1.0,0.9038461538461539,1.0,5.22471284866333,5.226636436481275,3.6575924873352044,3.8500780133933743
4,validation,case_44,0.13466832301479972,0.967337474886843,0.9090909090909091,1.0,0.8916083916083916,1.0,5.309877395629883,5.416704708834336,3.8870871067047137,4.049402980145882
4,validation,case_61,0.16128644472594678,0.9565934457450231,0.8983516483516484,1.0,0.8936063936063936,1.0,5.705564975738525,5.466210477914222,3.9776912689208945,3.974107739710504
4,validation,case_69,0.1284563752779128,0.9698914208909907,0.9070929070929071,1.0,0.8888611388611388,1.0,5.590348720550537,5.4807367007846794,4.0827219486236555,4.0426102004916045
4,validation,case_78,0.14486317854077585,0.9612077204933163,0.9000999000999002,1.0,0.8683816183816184,1.0,3.235144853591919,3.5001546224931794,2.4127458333969116,2.570893446311777
4,validation,case_91,0.15096337337808663,0.9588910472458446,0.8973526473526473,1.0,0.8998501498501499,1.0,6.2276692390441895,6.050021558619597,4.563692378997802,4.855933752828028
4,validation,case_107,0.15135700470008226,0.9608863606950703,0.9050949050949051,1.0,0.8808691308691309,1.0,5.773948669433594,5.581703777532983,4.049834442138669,4.076749177883877
4,validation,case_109,0.13619412823280422,0.9639252954017918,0.9140859140859141,0.9997502497502497,0.8821178821178821,0.9997502497502497,5.195677280426025,5.293844204618222,3.9853020668029764,4.008273611442492
4,validation,case_139,0.1263991974983742,0.9688981594210623,0.8941058941058941,1.0,0.8788711288711288,1.0,4.656546592712402,4.566737700921245,3.656011152267455,3.5099888131927384
4,validation,case_166,0.13846949997522537,0.966255139577901,0.8851148851148851,1.0,0.8678821178821179,1.0,4.752668380737305,4.681997124064145,3.4387532234191873,3.22317339853085
4,validation,case_183,0.12545356180366937,0.969497605251678,0.8963536463536463,1.0,0.8838661338661339,1.0,4.862273693084717,4.87112987589706,3.8110785961151112,3.711092600921808
4,validation,case_191,0.12648982721186053,0.9698138535396339,0.9133366633366633,1.0,0.8973526473526473,1.0,4.650894641876221,4.562895417610662,3.554455804824828,3.420922897811188
4,validation,case_192,0.1244789135622443,0.9700761625387214,0.8966033966033966,1.0,0.8868631368631369,1.0,4.594874382019043,4.515480241378516,3.580237007141113,3.4882093807602845
4,validation,case_199,0.1327587509508951,0.9619035811572787,0.8831168831168831,1.0,0.8806193806193806,1.0,4.7387189865112305,4.6970109257871595,3.977985143661499,3.973909936836089
4,internal_test,case_79,0.12674750393754308,0.9705897669851895,0.9018481518481518,1.0,0.8933566433566433,1.0,5.79337739944458,5.762314528195198,4.263050460815425,4.222907755433242
4,internal_test,case_89,0.13055593080198213,0.9640888380395252,0.8958541458541458,1.0,0.8853646353646354,1.0,5.2668914794921875,5.187789703778462,4.234211730957028,4.398346693074759
4,internal_test,case_99,0.15406691507575507,0.9582828733449906,0.8916083916083916,1.0,0.8603896103896104,1.0,3.4767818450927734,3.5330257422384115,2.486318349838256,2.451678781628092
4,internal_test,case_118,0.15297191254575604,0.9161240192676172,0.7982017982017982,1.0,0.7992007992007992,1.0,4.115224361419678,4.068691342471137,5.613200712203978,5.889231209962643
4,internal_test,case_124,0.130169645781018,0.967670097433421,0.8866133866133866,1.0,0.8713786213786214,1.0,4.686142444610596,4.629428558003528,3.640699338912963,3.5129814374397976
4,internal_test,case_133,0.1221298645547136,0.9704809977338178,0.9095904095904096,1.0,0.8926073926073926,1.0,4.494560718536377,4.5079679869808995,3.5585202217102037,3.4655881326772993
4,internal_test,case_154,0.13348013169696185,0.9552135481154254,0.8843656343656343,1.0,0.8836163836163836,0.9995004995004995,3.59783935546875,3.4355621785463075,3.3407599925994873,3.1151199249271437
4,internal_test,case_156,0.13225448504582774,0.9669590996682756,0.8881118881118881,1.0,0.8683816183816184,1.0,4.732293128967285,4.665973451178293,3.6183715820312496,3.425776978764558
4,internal_test,case_163,0.1489313834851355,0.9459717382349119,0.8918581418581418,0.9995004995004995,0.9038461538461539,0.9995004995004995,4.869182109832764,5.247755603124791,4.285099840164182,4.360744144386309
4,internal_test,case_180,0.18454296793435454,0.9481139035429285,0.9073426573426573,1.0,0.9065934065934066,1.0,4.617005825042725,4.6399569696726815,3.075767302513124,3.2900701508329364
4,internal_test,case_185,0.13356100049535832,0.9679413906915151,0.9098401598401599,1.0,0.8898601398601399,1.0,4.411143779754639,4.3721655279334675,3.2550926446914668,3.2420259410558314
4,internal_test,case_186,0.1273744562103289,0.9646863232776905,0.9125874125874126,1.0,0.8916083916083916,0.9997502497502497,4.101998329162598,4.015787177129403,3.4280001640319817,3.326697287548428
4,internal_test,case_189,0.12725356257696174,0.9689946280448752,0.8966033966033966,1.0,0.9003496503496503,1.0,4.503957748413086,4.4596496729368535,3.4916550397872888,3.4518030430452207
4,internal_test,case_190,0.13112647869890165,0.9671503518259362,0.8856143856143857,1.0,0.8723776223776224,1.0,4.711068153381348,4.6594398781965305,3.6491991519927964,3.4784244601684353
4,internal_test,case_200,0.13469646770458887,0.9672728900788713,0.9015984015984015,1.0,0.8931068931068931,1.0,4.308588981628418,4.22224355797951,3.2198392152786246,3.1585782079442666
