split,rotations,macro_rmse_mean,macro_rmse_std,macro_r2_mean,p95_relative_error_mean,p99_relative_error_mean,top1_hotspot_overlap_mean,top1_hotspot_overlap_min
internal_test,4,1.8130188341780509,0.14253565609042118,0.5476358171664384,0.03871968904746115,0.16739492328415115,0.5146145521145521,0.4863303363303364
validation,4,1.7668257716275861,0.07387661751081202,0.530171625974817,0.050126894410826045,0.1639856532531188,0.5168997668997669,0.4745421245421246
