iteration,method,selected_tail_gain,v10_formula,case_mean_calibration_formula,v10_log_scale_formula,v11_tail_raw_formula,tail_centering_rule,combined_stress_formula,selection_pool_status,promotion_status,formula_file_sha256
1,frozen_v11_validation_selected_tail_gain,0.9,(-0.0116301024532845*temperature_mean + 0.0470427355318997*temperature_p95 - 3.16087946558646*weight_loss_rate_mean + 0.103449215368151*z_max - 0.870195660324862*Abs(4.60760803334225*fluence_rate_p95 - 20.3572633494299) - 100.195330145459) + exp(-1.47091131932291*rho_mean - 1011.416708227*theta_sin_std - 1.1690770556861*weight_loss_rate_mean + 0.904578545888617*z_mean + 9.23869712445276) * ((1.10317833861391*(0.55673575*(0.0509611749551904*rho - 9.32241465638866)*(0.0509611749551904*rho - 8.66867535638866) - 31.9731949759449*(theta_cos - 0.922666019258146)**2)*(Abs(0.0509611749551904*rho - 8.59575422638866) - 2.4201684) + 0.285739561816426) + (0.0005298607274781943*z + 0.17657582192765694*(6.3559467282562*nearest_axial_boundary_fraction_proxy - 1.50570424883607)*(-7.28799975835273*nearest_radial_boundary_fraction_proxy + 0.0517386902634747*rho - 6.047025771972898) - 0.24332347927944745 + 0.793705512144892*exp(-9.5925971595468041*(6.3559467282562*nearest_axial_boundary_fraction_proxy - 0.043846887113135693)**2)) + (0.687707530043104*(3.752650699651312*nearest_angular_boundary_fraction_proxy + 7.28799975835273*nearest_radial_boundary_fraction_proxy - 3.560078810528026 + 0.2777422381074965)*(-0.44608657163711589*fluence_rate_mean - 1.291571739959816*nearest_angular_boundary_fraction_proxy + 0.66354475675260838*theta_fraction_proxy + 0.14984744098602391*Abs(-7.28799975835273*nearest_radial_boundary_fraction_proxy + 2.40848321928096*signed_radial_position_proxy + 2.08439162588874) - 0.07467188916362873 + 1.6933224087437673) + 0.0275995197448158)),(-1.052449007433797) + (0.1552525042004941)*fluence_rate_mean + (0.07199435596858993)*fluence_rate_p95 + (0.0001133709738926737)*temperature_mean + (-0.001931509820148126)*temperature_p95 + (0.3846993631715923)*weight_loss_rate_mean + (6.817702583133652)*weight_loss_rate_std,-1.47091131932291*rho_mean - 1011.416708227*theta_sin_std - 1.1690770556861*weight_loss_rate_mean + 0.904578545888617*z_mean + 9.23869712445276,1.2093601333202474*(-0.16122678679851166 + exp(-92.749309109240237*(0.3382200152451777 - 2.08887119255503*signed_angular_position_proxy)**2))*(7.68957066477673*nearest_angular_boundary_fraction_proxy - 2.27807624632193)*(7.38407920683658*nearest_radial_boundary_fraction_proxy + Abs(7.38407920683658*nearest_radial_boundary_fraction_proxy - 2.57458268534255) - 2.57458268534255) + 0.19743823997123105,tail_raw_minus_complete_case_predictor_only_mean,((-0.0116301024532845*temperature_mean + 0.0470427355318997*temperature_p95 - 3.16087946558646*weight_loss_rate_mean + 0.103449215368151*z_max - 0.870195660324862*Abs(4.60760803334225*fluence_rate_p95 - 20.3572633494299) - 100.195330145459) + exp(-1.47091131932291*rho_mean - 1011.416708227*theta_sin_std - 1.1690770556861*weight_loss_rate_mean + 0.904578545888617*z_mean + 9.23869712445276) * ((1.10317833861391*(0.55673575*(0.0509611749551904*rho - 9.32241465638866)*(0.0509611749551904*rho - 8.66867535638866) - 31.9731949759449*(theta_cos - 0.922666019258146)**2)*(Abs(0.0509611749551904*rho - 8.59575422638866) - 2.4201684) + 0.285739561816426) + (0.0005298607274781943*z + 0.17657582192765694*(6.3559467282562*nearest_axial_boundary_fraction_proxy - 1.50570424883607)*(-7.28799975835273*nearest_radial_boundary_fraction_proxy + 0.0517386902634747*rho - 6.047025771972898) - 0.24332347927944745 + 0.793705512144892*exp(-9.5925971595468041*(6.3559467282562*nearest_axial_boundary_fraction_proxy - 0.043846887113135693)**2)) + (0.687707530043104*(3.752650699651312*nearest_angular_boundary_fraction_proxy + 7.28799975835273*nearest_radial_boundary_fraction_proxy - 3.560078810528026 + 0.2777422381074965)*(-0.44608657163711589*fluence_rate_mean - 1.291571739959816*nearest_angular_boundary_fraction_proxy + 0.66354475675260838*theta_fraction_proxy + 0.14984744098602391*Abs(-7.28799975835273*nearest_radial_boundary_fraction_proxy + 2.40848321928096*signed_radial_position_proxy + 2.08439162588874) - 0.07467188916362873 + 1.6933224087437673) + 0.0275995197448158))) + ((-1.052449007433797) + (0.1552525042004941)*fluence_rate_mean + (0.07199435596858993)*fluence_rate_p95 + (0.0001133709738926737)*temperature_mean + (-0.001931509820148126)*temperature_p95 + (0.3846993631715923)*weight_loss_rate_mean + (6.817702583133652)*weight_loss_rate_std) + (0.9) * exp(-1.47091131932291*rho_mean - 1011.416708227*theta_sin_std - 1.1690770556861*weight_loss_rate_mean + 0.904578545888617*z_mean + 9.23869712445276) * ((1.2093601333202474*(-0.16122678679851166 + exp(-92.749309109240237*(0.3382200152451777 - 2.08887119255503*signed_angular_position_proxy)**2))*(7.68957066477673*nearest_angular_boundary_fraction_proxy - 2.27807624632193)*(7.38407920683658*nearest_radial_boundary_fraction_proxy + Abs(7.38407920683658*nearest_radial_boundary_fraction_proxy - 2.57458268534255) - 2.57458268534255) + 0.19743823997123105) - case_mean(1.2093601333202474*(-0.16122678679851166 + exp(-92.749309109240237*(0.3382200152451777 - 2.08887119255503*signed_angular_position_proxy)**2))*(7.68957066477673*nearest_angular_boundary_fraction_proxy - 2.27807624632193)*(7.38407920683658*nearest_radial_boundary_fraction_proxy + Abs(7.38407920683658*nearest_radial_boundary_fraction_proxy - 2.57458268534255) - 2.57458268534255) + 0.19743823997123105)),all_v11_promotion_gates,passes_all_v11_pilot_gates,1c254625ab6818c8f55c4f2edaf0717e6a26b89744d97422308fc26252a6d6cb
2,frozen_v11_validation_selected_tail_gain,0.75,(-0.0116301024532845*temperature_mean + 0.0470427355318997*temperature_p95 - 3.16087946558646*weight_loss_rate_mean + 0.103449215368151*z_max - 0.870195660324862*Abs(4.60760803334225*fluence_rate_p95 - 20.3572633494299) - 100.195330145459) + exp(-1.47091131932291*rho_mean - 1011.416708227*theta_sin_std - 1.1690770556861*weight_loss_rate_mean + 0.904578545888617*z_mean + 9.23869712445276) * ((1.10317833861391*(0.55673575*(0.0509611749551904*rho - 9.32241465638866)*(0.0509611749551904*rho - 8.66867535638866) - 31.9731949759449*(theta_cos - 0.922666019258146)**2)*(Abs(0.0509611749551904*rho - 8.59575422638866) - 2.4201684) + 0.285739561816426) + (0.013448561903935085*rho + 0.47728387820325316*z_fraction_proxy - 0.14564637922329544*(4.12918244017469*radial_axial_signed_interaction_proxy - 0.0672749794120767)**2 - 0.25957527828470824*(3.27700476145386*z_fraction_proxy - 1.74794266617586)**2*(43.6667583874302*boundary_corner_proximity_proxy + 2.41221284098931*signed_radial_position_proxy - 1.33262514125946) - 2.5544146883819192) + (-0.30554813835799807*(-3.21657514159445*nearest_axial_boundary_fraction_proxy + 7.28302970000392*nearest_radial_boundary_fraction_proxy + 0.74873754155936657*(15.6006536140747*theta_cos - 14.4099430342809)**2 - 1.64538465194802)*exp(-(7.28302970000392*nearest_radial_boundary_fraction_proxy - 1.692628259533093)**2) + 0.0182360501390777)),(0.6256354042446731) + (-0.04765186178325091)*fluence_rate_mean + (-0.1023858002381455)*fluence_rate_p95 + (0.0007959792058960673)*temperature_mean + (-0.003345656321833511)*temperature_p95 + (0.484802928209425)*weight_loss_rate_mean + (6.288299772036227)*weight_loss_rate_std,-1.47091131932291*rho_mean - 1011.416708227*theta_sin_std - 1.1690770556861*weight_loss_rate_mean + 0.904578545888617*z_mean + 9.23869712445276,-0.7395130863147979*nearest_angular_boundary_fraction_proxy - 0.5659502749777386*tanh(0.5353280385268686 - 0.1308541133824969/(3.416326193660334 - 7.38936236032781*nearest_radial_boundary_fraction_proxy)) + 0.7048825072967699,tail_raw_minus_complete_case_predictor_only_mean,((-0.0116301024532845*temperature_mean + 0.0470427355318997*temperature_p95 - 3.16087946558646*weight_loss_rate_mean + 0.103449215368151*z_max - 0.870195660324862*Abs(4.60760803334225*fluence_rate_p95 - 20.3572633494299) - 100.195330145459) + exp(-1.47091131932291*rho_mean - 1011.416708227*theta_sin_std - 1.1690770556861*weight_loss_rate_mean + 0.904578545888617*z_mean + 9.23869712445276) * ((1.10317833861391*(0.55673575*(0.0509611749551904*rho - 9.32241465638866)*(0.0509611749551904*rho - 8.66867535638866) - 31.9731949759449*(theta_cos - 0.922666019258146)**2)*(Abs(0.0509611749551904*rho - 8.59575422638866) - 2.4201684) + 0.285739561816426) + (0.013448561903935085*rho + 0.47728387820325316*z_fraction_proxy - 0.14564637922329544*(4.12918244017469*radial_axial_signed_interaction_proxy - 0.0672749794120767)**2 - 0.25957527828470824*(3.27700476145386*z_fraction_proxy - 1.74794266617586)**2*(43.6667583874302*boundary_corner_proximity_proxy + 2.41221284098931*signed_radial_position_proxy - 1.33262514125946) - 2.5544146883819192) + (-0.30554813835799807*(-3.21657514159445*nearest_axial_boundary_fraction_proxy + 7.28302970000392*nearest_radial_boundary_fraction_proxy + 0.74873754155936657*(15.6006536140747*theta_cos - 14.4099430342809)**2 - 1.64538465194802)*exp(-(7.28302970000392*nearest_radial_boundary_fraction_proxy - 1.692628259533093)**2) + 0.0182360501390777))) + ((0.6256354042446731) + (-0.04765186178325091)*fluence_rate_mean + (-0.1023858002381455)*fluence_rate_p95 + (0.0007959792058960673)*temperature_mean + (-0.003345656321833511)*temperature_p95 + (0.484802928209425)*weight_loss_rate_mean + (6.288299772036227)*weight_loss_rate_std) + (0.75) * exp(-1.47091131932291*rho_mean - 1011.416708227*theta_sin_std - 1.1690770556861*weight_loss_rate_mean + 0.904578545888617*z_mean + 9.23869712445276) * ((-0.7395130863147979*nearest_angular_boundary_fraction_proxy - 0.5659502749777386*tanh(0.5353280385268686 - 0.1308541133824969/(3.416326193660334 - 7.38936236032781*nearest_radial_boundary_fraction_proxy)) + 0.7048825072967699) - case_mean(-0.7395130863147979*nearest_angular_boundary_fraction_proxy - 0.5659502749777386*tanh(0.5353280385268686 - 0.1308541133824969/(3.416326193660334 - 7.38936236032781*nearest_radial_boundary_fraction_proxy)) + 0.7048825072967699)),finite_positive_r2_and_improves_v10,diagnostic_only_does_not_pass_all_v11_pilot_gates,4c594af7b0be431722e515b1241f005667f1150e97c3fadd9f688eb08b23148c
3,frozen_v11_validation_selected_tail_gain,0.95,(-0.0116301024532845*temperature_mean + 0.0470427355318997*temperature_p95 - 3.16087946558646*weight_loss_rate_mean + 0.103449215368151*z_max - 0.870195660324862*Abs(4.60760803334225*fluence_rate_p95 - 20.3572633494299) - 100.195330145459) + exp(-1.47091131932291*rho_mean - 1011.416708227*theta_sin_std - 1.1690770556861*weight_loss_rate_mean + 0.904578545888617*z_mean + 9.23869712445276) * ((1.10317833861391*(0.55673575*(0.0509611749551904*rho - 9.32241465638866)*(0.0509611749551904*rho - 8.66867535638866) - 31.9731949759449*(theta_cos - 0.922666019258146)**2)*(Abs(0.0509611749551904*rho - 8.59575422638866) - 2.4201684) + 0.285739561816426) + (0.2037571042198979*(6.34896758686985*nearest_axial_boundary_fraction_proxy - 1.50273900081816)*(-7.28718952316989*nearest_radial_boundary_fraction_proxy + 4.82379391683032*rho_fraction_proxy + (6.34896758686985*nearest_axial_boundary_fraction_proxy - 1.50273900081816)*(4.979166764659604*nearest_radial_boundary_fraction_proxy - 0.7555397874783048) - 0.33238851694632) + 0.2037571042198979*tanh(0.953329938170801*z_within_case_z - 0.107660433093972) - 0.05430264797518295) + (-0.1031611420170622*(2.88495936431966*fluence_rate_mean - 10.3023995474472)*(7.28718952316989*nearest_radial_boundary_fraction_proxy - 2.40757030907997) + 0.0171984021271988)),(1.087546506014469) + (-0.1972919681986823)*fluence_rate_mean + (-0.1307385628459594)*fluence_rate_p95 + (0.003179436386633568)*temperature_mean + (-0.005435986754984998)*temperature_p95 + (0.6020883350084407)*weight_loss_rate_mean + (6.902649612249388)*weight_loss_rate_std,-1.47091131932291*rho_mean - 1011.416708227*theta_sin_std - 1.1690770556861*weight_loss_rate_mean + 0.904578545888617*z_mean + 9.23869712445276,-0.14658512288138305*(2.09089288702877*signed_angular_position_proxy + 0.137695505370236)*(-7.71320426068593*nearest_angular_boundary_fraction_proxy - (2.09089288702877*signed_angular_position_proxy + 0.137695505370236)*tanh(17.18609187709957*nearest_radial_boundary_fraction_proxy - 6.015348714070041) + 1.40911851509649) + 0.25775031369935591,tail_raw_minus_complete_case_predictor_only_mean,((-0.0116301024532845*temperature_mean + 0.0470427355318997*temperature_p95 - 3.16087946558646*weight_loss_rate_mean + 0.103449215368151*z_max - 0.870195660324862*Abs(4.60760803334225*fluence_rate_p95 - 20.3572633494299) - 100.195330145459) + exp(-1.47091131932291*rho_mean - 1011.416708227*theta_sin_std - 1.1690770556861*weight_loss_rate_mean + 0.904578545888617*z_mean + 9.23869712445276) * ((1.10317833861391*(0.55673575*(0.0509611749551904*rho - 9.32241465638866)*(0.0509611749551904*rho - 8.66867535638866) - 31.9731949759449*(theta_cos - 0.922666019258146)**2)*(Abs(0.0509611749551904*rho - 8.59575422638866) - 2.4201684) + 0.285739561816426) + (0.2037571042198979*(6.34896758686985*nearest_axial_boundary_fraction_proxy - 1.50273900081816)*(-7.28718952316989*nearest_radial_boundary_fraction_proxy + 4.82379391683032*rho_fraction_proxy + (6.34896758686985*nearest_axial_boundary_fraction_proxy - 1.50273900081816)*(4.979166764659604*nearest_radial_boundary_fraction_proxy - 0.7555397874783048) - 0.33238851694632) + 0.2037571042198979*tanh(0.953329938170801*z_within_case_z - 0.107660433093972) - 0.05430264797518295) + (-0.1031611420170622*(2.88495936431966*fluence_rate_mean - 10.3023995474472)*(7.28718952316989*nearest_radial_boundary_fraction_proxy - 2.40757030907997) + 0.0171984021271988))) + ((1.087546506014469) + (-0.1972919681986823)*fluence_rate_mean + (-0.1307385628459594)*fluence_rate_p95 + (0.003179436386633568)*temperature_mean + (-0.005435986754984998)*temperature_p95 + (0.6020883350084407)*weight_loss_rate_mean + (6.902649612249388)*weight_loss_rate_std) + (0.95) * exp(-1.47091131932291*rho_mean - 1011.416708227*theta_sin_std - 1.1690770556861*weight_loss_rate_mean + 0.904578545888617*z_mean + 9.23869712445276) * ((-0.14658512288138305*(2.09089288702877*signed_angular_position_proxy + 0.137695505370236)*(-7.71320426068593*nearest_angular_boundary_fraction_proxy - (2.09089288702877*signed_angular_position_proxy + 0.137695505370236)*tanh(17.18609187709957*nearest_radial_boundary_fraction_proxy - 6.015348714070041) + 1.40911851509649) + 0.25775031369935591) - case_mean(-0.14658512288138305*(2.09089288702877*signed_angular_position_proxy + 0.137695505370236)*(-7.71320426068593*nearest_angular_boundary_fraction_proxy - (2.09089288702877*signed_angular_position_proxy + 0.137695505370236)*tanh(17.18609187709957*nearest_radial_boundary_fraction_proxy - 6.015348714070041) + 1.40911851509649) + 0.25775031369935591)),finite_positive_r2_and_improves_v10,diagnostic_only_does_not_pass_all_v11_pilot_gates,8308b002e49a39402c48be5d323f0dddc2cc06ce5511bd4151b71e40c5b4996e
4,frozen_v11_validation_selected_tail_gain,0.85,(-0.0116301024532845*temperature_mean + 0.0470427355318997*temperature_p95 - 3.16087946558646*weight_loss_rate_mean + 0.103449215368151*z_max - 0.870195660324862*Abs(4.60760803334225*fluence_rate_p95 - 20.3572633494299) - 100.195330145459) + exp(-1.47091131932291*rho_mean - 1011.416708227*theta_sin_std - 1.1690770556861*weight_loss_rate_mean + 0.904578545888617*z_mean + 9.23869712445276) * ((1.10317833861391*(0.55673575*(0.0509611749551904*rho - 9.32241465638866)*(0.0509611749551904*rho - 8.66867535638866) - 31.9731949759449*(theta_cos - 0.922666019258146)**2)*(Abs(0.0509611749551904*rho - 8.59575422638866) - 2.4201684) + 0.285739561816426) + (0.26613534581272986*signed_axial_position_proxy - 0.1622288885733871*(6.35717263336409*nearest_axial_boundary_fraction_proxy - 1.50609073609435)*(-7.0761696316530864*nearest_axial_boundary_fraction_proxy + 7.2459763106469*nearest_radial_boundary_fraction_proxy - 0.069780171113859076*rho - (6.35717263336409*nearest_axial_boundary_fraction_proxy - 1.50609073609435)*(7.2459763106469*nearest_radial_boundary_fraction_proxy - 2.38325249598573) + 12.075351442964397) - 0.1622288885733871*Abs(7.94873136269381*nearest_angular_boundary_fraction_proxy + 7.2459763106469*nearest_radial_boundary_fraction_proxy - 2.21701884243319*signed_angular_position_proxy - 4.509683458131166) + 0.13991710730167015) + (-0.10412130908674733*(7.2459763106469*nearest_radial_boundary_fraction_proxy - 2.38325249598573)*(2.63391439710955*fluence_rate_mean + (43.826976828009*boundary_corner_proximity_proxy - 1.00232009854836)*(2.40096813285283*signed_radial_position_proxy + 0.381717477146586) - 9.50597278012606) + 0.0296437391158275)),(1.115051609186759) + (-0.1190607671440357)*fluence_rate_mean + (-0.1198020206288154)*fluence_rate_p95 + (-1.119477958133205e-05)*temperature_mean + (-0.003186256293774443)*temperature_p95 + (0.5740339285340504)*weight_loss_rate_mean + (7.029490394614275)*weight_loss_rate_std,-1.47091131932291*rho_mean - 1011.416708227*theta_sin_std - 1.1690770556861*weight_loss_rate_mean + 0.904578545888617*z_mean + 9.23869712445276,0.3011451373613095,tail_raw_minus_complete_case_predictor_only_mean,((-0.0116301024532845*temperature_mean + 0.0470427355318997*temperature_p95 - 3.16087946558646*weight_loss_rate_mean + 0.103449215368151*z_max - 0.870195660324862*Abs(4.60760803334225*fluence_rate_p95 - 20.3572633494299) - 100.195330145459) + exp(-1.47091131932291*rho_mean - 1011.416708227*theta_sin_std - 1.1690770556861*weight_loss_rate_mean + 0.904578545888617*z_mean + 9.23869712445276) * ((1.10317833861391*(0.55673575*(0.0509611749551904*rho - 9.32241465638866)*(0.0509611749551904*rho - 8.66867535638866) - 31.9731949759449*(theta_cos - 0.922666019258146)**2)*(Abs(0.0509611749551904*rho - 8.59575422638866) - 2.4201684) + 0.285739561816426) + (0.26613534581272986*signed_axial_position_proxy - 0.1622288885733871*(6.35717263336409*nearest_axial_boundary_fraction_proxy - 1.50609073609435)*(-7.0761696316530864*nearest_axial_boundary_fraction_proxy + 7.2459763106469*nearest_radial_boundary_fraction_proxy - 0.069780171113859076*rho - (6.35717263336409*nearest_axial_boundary_fraction_proxy - 1.50609073609435)*(7.2459763106469*nearest_radial_boundary_fraction_proxy - 2.38325249598573) + 12.075351442964397) - 0.1622288885733871*Abs(7.94873136269381*nearest_angular_boundary_fraction_proxy + 7.2459763106469*nearest_radial_boundary_fraction_proxy - 2.21701884243319*signed_angular_position_proxy - 4.509683458131166) + 0.13991710730167015) + (-0.10412130908674733*(7.2459763106469*nearest_radial_boundary_fraction_proxy - 2.38325249598573)*(2.63391439710955*fluence_rate_mean + (43.826976828009*boundary_corner_proximity_proxy - 1.00232009854836)*(2.40096813285283*signed_radial_position_proxy + 0.381717477146586) - 9.50597278012606) + 0.0296437391158275))) + ((1.115051609186759) + (-0.1190607671440357)*fluence_rate_mean + (-0.1198020206288154)*fluence_rate_p95 + (-1.119477958133205e-05)*temperature_mean + (-0.003186256293774443)*temperature_p95 + (0.5740339285340504)*weight_loss_rate_mean + (7.029490394614275)*weight_loss_rate_std) + (0.85) * exp(-1.47091131932291*rho_mean - 1011.416708227*theta_sin_std - 1.1690770556861*weight_loss_rate_mean + 0.904578545888617*z_mean + 9.23869712445276) * ((0.3011451373613095) - case_mean(0.3011451373613095)),finite_positive_r2_and_improves_v10,diagnostic_only_does_not_pass_all_v11_pilot_gates,97c7798bf238ae77c017d26a4f2988e879b4356a6d47eb5f08defbe9fe99ff92
