iteration,split,model,reporting_role,n_cases,n_elements_evaluated,micro_mae,micro_rmse,micro_r2,macro_mae,macro_rmse,macro_r2,worst_case_rmse,mean_top5_actual_rmse,mean_top5_actual_bias,mean_p95_relative_error,mean_p95_underprediction_fraction,mean_p99_relative_error,mean_p99_underprediction_fraction,mean_top5pct_hotspot_overlap,mean_top1pct_hotspot_overlap,mean_top1_recall_in_predicted_top5,max_prediction_abs_max_ratio
2,internal_test,v11_mean_calibrated_v10,mean_calibration_only,15,6005400,1.2864797317474987,1.8427447376234296,0.5668547326475648,1.2864797317474987,1.807905260197397,0.5410804270212849,2.542186292538598,4.051283731785327,-3.009489415750315,0.0526838819373088,0.0486481907881083,0.218430501053083,0.218430501053083,0.4614780031305159,0.4973692973692973,0.8214785214785216,1.1304588461072402
2,internal_test,v11_selected_gain_0.75,validation_selected,15,6005400,1.3366487799749152,1.8467790055340103,0.5649561117376518,1.3366487799749154,1.8014881528595448,0.5382256481276693,2.6520706923783983,3.545851305140894,-2.36507329653849,0.0325650950052841,0.0089657364340629,0.1671305709457554,0.1671305709457554,0.4904918906317647,0.4863303363303364,0.8782051282051281,1.1663563217794528
2,validation,v10_signed_staged_symbolic,parent_reference,15,6005400,1.2593773938132231,1.792433286971478,0.5520701803703352,1.2593773938132236,1.7689727100052837,0.5000528097508624,2.4527761274962203,3.522691156370848,-2.406851478007942,0.0298860499689111,0.0081485800666447,0.199636961989641,0.199636961989641,0.47201185599627,0.4880619380619381,0.8401931401931402,0.913849411909295
2,validation,v11_current_gain_1_00,current_v11,15,6005400,1.2956688638132452,1.7637702789672658,0.5662814327533355,1.2956688638132448,1.7288314469295487,0.5196747157973597,2.463296616918514,3.376425771302501,-2.2031377586819363,0.0429269780538945,0.001981859997743,0.16656686674062,0.16656686674062,0.4786425550338029,0.4451548451548451,0.8565268065268065,0.944634062687251
2,validation,v11_mean_calibrated_v10,mean_calibration_only,15,6005400,1.2141575523962929,1.7173365714322253,0.5888173214883391,1.2141575523962926,1.6918830380315348,0.5467994074961096,2.2720660680640705,3.922992917422081,-2.966225164589984,0.0561145333790702,0.0558746594018735,0.24301522097451,0.24301522097451,0.47201185599627,0.4880619380619381,0.8401931401931402,0.8906900559349732
2,validation,v11_selected_gain_0.75,validation_selected,15,6005400,1.2569099310033711,1.7170187883300505,0.5889694813150584,1.2569099310033711,1.6844254729889334,0.54519645296561,2.380184035488151,3.4683628823124253,-2.393909610158949,0.0262138766569136,0.0120746346156599,0.193986666307933,0.193986666307933,0.4975455423452226,0.4745421245421246,0.8831002331002332,0.9292672337325676
3,internal_test,v10_signed_staged_symbolic,parent_reference,15,6005400,1.4562523594289467,2.0562877538547037,0.4896111781354449,1.456252359428947,2.0354750705442144,0.4755287756754134,2.680167061948449,3.729183999943489,-2.345795839653874,0.0463652612565056,0.0016552400989238,0.1465293721323692,0.1453787201238056,0.457101941585906,0.4523643023643024,0.82012987012987,0.93394556865643
3,internal_test,v11_current_gain_1_00,current_v11,15,6005400,1.4965105662464446,2.015661780636401,0.5095794067796366,1.4965105662464444,1.99676367269112,0.4951451539393101,2.515280482159566,3.748574881413489,-2.448752984436032,0.0305378183660686,0.0057897725356549,0.1623837427446278,0.1623837427446278,0.4898291537616144,0.4963869463869463,0.8501165501165501,0.9267486079983094
3,internal_test,v11_mean_calibrated_v10,mean_calibration_only,15,6005400,1.443805548338538,1.9914527715432315,0.5212890091427326,1.4438055483385386,1.9739916850045856,0.5065660472438782,2.4262167865594453,4.164633867100288,-2.998773478802223,0.0360769122675323,0.0329719185308545,0.1904365327717488,0.1904365327717488,0.457101941585906,0.4523643023643024,0.82012987012987,0.9048058475453188
3,internal_test,v11_selected_gain_0.95,validation_selected,15,6005400,1.4903623432654376,2.009450159556193,0.5125973863388823,1.4903623432654378,1.9907060924269564,0.4982069764246905,2.503747228438724,3.763380956488312,-2.4762540091543417,0.0292221332431343,0.0064164705257688,0.1650983281318222,0.1650983281318222,0.4896293335997603,0.4956709956709956,0.8498334998334998,0.9256514699756598
3,validation,v10_signed_staged_symbolic,parent_reference,15,6005400,1.405624259466734,1.9639784846493236,0.4502488258450421,1.4056242594667336,1.9159371028174088,0.4085379185361499,3.168828058424384,3.226731329035704,-1.682084037261209,0.0613360171776061,0.0010476397140006,0.102621381163259,0.102621381163259,0.5075931661504646,0.4583250083250084,0.8360472860472862,1.0295547762402986
3,validation,v11_current_gain_1_00,current_v11,15,6005400,1.4171526122215996,1.890457503040098,0.4906379884003226,1.4171526122215998,1.8592435797978148,0.4429822710866212,2.8517357974066955,3.333383744611111,-1.9633734542412424,0.0454775359625268,0.0115042867338488,0.1319181221429803,0.1319181221429803,0.5258833716321977,0.4908424908424907,0.8646020646020646,1.0237325845517602
3,validation,v11_mean_calibrated_v10,mean_calibration_only,15,6005400,1.3567241860011916,1.8521259859803931,0.5110845468870584,1.3567241860011918,1.8220520065562944,0.4668081920816015,2.747841064968128,3.619845288037861,-2.3652888272590875,0.0472465202473667,0.0365250343932801,0.1558595684375081,0.1558595684375081,0.5075931661504646,0.4583250083250084,0.8360472860472862,0.9988034471487004
3,validation,v11_selected_gain_0.95,validation_selected,15,6005400,1.4106714563348897,1.8833929057281624,0.4944378239978326,1.4106714563348897,1.852361382151116,0.447173320734266,2.838264840856854,3.34144689463689,-1.983469222892134,0.0447567552725538,0.0125700824538841,0.1345085730459765,0.1345085730459765,0.5264262164052353,0.4907758907758908,0.8646686646686647,1.0224861276816073
4,internal_test,v10_signed_staged_symbolic,parent_reference,15,6005400,1.1965171324937354,1.690032257798266,0.5893962784753537,1.1965171324937354,1.6694459802570711,0.5746031275344836,2.2187109789289323,3.4393007172967014,-2.209281090820632,0.0208834743639448,0.002225775300551,0.1685893572560807,0.1685893572560807,0.5206014586871814,0.4997002997002996,0.8245920745920745,1.1471525582111533
4,internal_test,v11_current_gain_1_00,current_v11,15,6005400,1.1765116551190271,1.6609870863367484,0.6033884065751195,1.1765116551190276,1.6420783883665726,0.5874529533408155,2.227439362539246,3.819557222294042,-2.7740372226029453,0.052677736520837,0.052677736520837,0.2126503778806303,0.2126503778806303,0.5206014586871814,0.4997002997002996,0.8245920745920745,1.114129255726346
4,internal_test,v11_mean_calibrated_v10,mean_calibration_only,15,6005400,1.1765116551190271,1.6609870863367489,0.6033884065751194,1.1765116551190278,1.6420783883665726,0.5874529533408155,2.2274393625392466,3.819557222294043,-2.774037222602946,0.0526777365208371,0.0526777365208371,0.2126503778806304,0.2126503778806304,0.5206014586871814,0.4997002997002996,0.8245920745920745,1.114129255726346
4,internal_test,v11_selected_gain_0.85,validation_selected,15,6005400,1.1765116551190271,1.6609870863367484,0.6033884065751195,1.1765116551190276,1.6420783883665726,0.5874529533408155,2.227439362539246,3.819557222294042,-2.7740372226029453,0.052677736520837,0.052677736520837,0.2126503778806304,0.2126503778806304,0.5206014586871814,0.4997002997002996,0.8245920745920745,1.114129255726346
4,validation,v10_signed_staged_symbolic,parent_reference,15,6005400,1.2880840532009434,1.8393401476334168,0.6056007822282956,1.2880840532009432,1.821040993805296,0.5775262374664776,2.2757627362588115,3.817237704341341,-2.550858105192998,0.0239577434811674,0.0010566894099147,0.1845439612088569,0.1845439612088569,0.5071502314583541,0.5017649017649017,0.8184981684981686,0.8139582110389334
4,validation,v11_current_gain_1_00,current_v11,15,6005400,1.283426249310844,1.8194035838636584,0.614104214201429,1.283426249310844,1.7988899374529062,0.5900904399014768,2.276326059949442,4.216389910388887,-3.1178427346845194,0.0520308641075935,0.0468987666077177,0.2247165425511611,0.2247165425511611,0.5071502314583541,0.5017649017649017,0.8184981684981686,0.7950992252181972
4,validation,v11_mean_calibrated_v10,mean_calibration_only,15,6005400,1.2834262493108446,1.8194035838636584,0.614104214201429,1.2834262493108446,1.7988899374529062,0.5900904399014768,2.276326059949442,4.216389910388889,-3.11784273468452,0.0520308641075935,0.0468987666077177,0.2247165425511611,0.2247165425511611,0.5071502314583541,0.5017649017649017,0.8184981684981686,0.7950992252181972
4,validation,v11_selected_gain_0.85,validation_selected,15,6005400,1.283426249310844,1.8194035838636584,0.614104214201429,1.2834262493108446,1.7988899374529062,0.5900904399014768,2.276326059949442,4.216389910388887,-3.1178427346845194,0.0520308641075935,0.0468987666077177,0.2247165425511611,0.2247165425511611,0.5071502314583541,0.5017649017649017,0.8184981684981686,0.7950992252181972
