iteration,split,model,reporting_role,n_cases,n_elements_evaluated,micro_mae,micro_rmse,micro_r2,macro_mae,macro_rmse,macro_r2,worst_case_rmse,mean_top5_actual_rmse,mean_top5_actual_bias,mean_p95_relative_error,mean_p95_underprediction_fraction,mean_p99_relative_error,mean_p99_underprediction_fraction,mean_top5pct_hotspot_overlap,mean_top1pct_hotspot_overlap,mean_top1_recall_in_predicted_top5,max_prediction_abs_max_ratio
1,internal_test,v10_signed_staged_symbolic,parent_reference,15,6005400,1.3348788276768804,1.9089151994618905,0.5717441513523078,1.3348788276768806,1.8932485507841563,0.5379723758051753,2.297932008872201,3.724246028717973,-2.1772581280314967,0.0231383920971113,0.0077121458336347,0.1477582090484731,0.1419023305096415,0.5259166749925068,0.5093739593739594,0.8237262737262737,1.4449772432230774
1,internal_test,v11_current_gain_1_00,current_v11,15,6005400,1.325252111688251,1.860707757851362,0.5931012389233921,1.3252521116882512,1.832372669114389,0.5586403919573714,2.6946531429684426,3.272094193604484,-1.4857110018969348,0.0525669111611572,0.0,0.111794798431591,0.1044796977049611,0.581140307056982,0.5787878787878789,0.8815351315351314,1.6066818083542975
1,internal_test,v11_mean_calibrated_v10,mean_calibration_only,15,6005400,1.3420431890711726,1.8872143560934536,0.5814257632419049,1.3420431890711726,1.8696100136839988,0.54878374180085,2.371461849980597,4.003688083315674,-2.620653610291714,0.0419959361259094,0.0419959361259094,0.1759316553650984,0.1716947108580732,0.5259166749925068,0.5093739593739594,0.8237262737262737,1.4292667467319669
1,internal_test,v11_selected_gain_0.90,validation_selected,15,6005400,1.3125371006884163,1.8446023470378723,0.600114603231624,1.312537100688416,1.81780270305913,0.5666576907725785,2.637750687278418,3.296655016951822,-1.5992052627364128,0.0404137914205892,0.0004846822167075,0.1247004161783966,0.1181710852507965,0.5883471542278615,0.5767565767565768,0.8820179820179818,1.584976071560184
1,validation,v10_signed_staged_symbolic,parent_reference,15,6005400,1.3316905813338915,1.9195062901841136,0.5910930620307462,1.3316905813338915,1.888372927513979,0.4241407456132228,2.263104644214071,3.404932404004947,-1.9271818623920467,0.0768560835905652,0.0107521475548231,0.1260613199150553,0.1095257657263551,0.5080127884903587,0.5181984681984683,0.8266067266067266,1.0338871791760338
1,validation,v11_current_gain_1_00,current_v11,15,6005400,1.2392359170981992,1.7833234200756696,0.6470561438630579,1.2392359170981997,1.7446529453114432,0.5310498445479327,2.2731700526484384,2.976590078488562,-1.2830420602590311,0.0886910499701119,0.0008825802611432,0.0939678194547704,0.0765446306977228,0.5642788157325074,0.5997002997002997,0.88003663003663,1.144991533479122
1,validation,v11_mean_calibrated_v10,mean_calibration_only,15,6005400,1.2694259002169417,1.8335738003277948,0.6268854461753524,1.2694259002169417,1.793866998377382,0.5100836006965976,2.2208069841466465,3.668644599863608,-2.4134445697948093,0.0595184537712837,0.0352467705675406,0.1431668610083788,0.1394792469322421,0.5080127884903587,0.5181984681984683,0.8266067266067266,1.0103710457701225
1,validation,v11_selected_gain_0.90,validation_selected,15,6005400,1.2289518471083385,1.7697634171088934,0.6524031539868308,1.228951847108338,1.7316262939173888,0.5382262902979155,2.244914705966905,2.990330813766448,-1.3960823112126088,0.0775060816062433,0.0019880651330813,0.1027308311074047,0.0888844563642981,0.5719152762513738,0.6005161505161506,0.8816516816516816,1.131529484708222
2,internal_test,v10_signed_staged_symbolic,parent_reference,15,6005400,1.334444617006044,1.932330643262948,0.5237158858974881,1.3344446170060442,1.897808437861003,0.4913291152220693,2.546181887928344,3.632233740686948,-2.384133215434382,0.0415484398604865,0.0069045303299518,0.1723404733410084,0.1723404733410084,0.4614780031305159,0.4973692973692973,0.8214785214785216,1.1665814779302872
2,internal_test,v11_current_gain_1_00,current_v11,15,6005400,1.3815243628194616,1.9020327751072967,0.5385345330882803,1.3815243628194611,1.852664843811491,0.5098174439561846,2.744421683637952,3.450984925661332,-2.150267923467881,0.0535093912416794,0.000237921734787,0.1395388519827016,0.1389311692418887,0.4740333699670296,0.4594905094905094,0.8593739593739594,1.184631705191855
