split,model,case_p95_spearman,case_p95_std_ratio,case_p95_mean_bias,case_p99_spearman,case_p99_std_ratio,case_p99_mean_bias
internal_test,frozen_v8_candidate5,0.9678571428571429,0.8802968841907862,-1.3432371354562411,0.7678571428571428,0.8616800416831878,-3.594021981283769
internal_test,v10_geometry_residual_only,0.932142857142857,0.9999575017366021,0.13633365041378057,0.7678571428571428,0.9926732831184004,-1.693533118294422
internal_test,v10_signed_staged_symbolic,0.9607142857142855,1.0379045167277883,0.06861092045954577,0.7678571428571428,1.115480803314365,-1.9309334912333398
validation,frozen_v8_candidate5,0.8428571428571429,0.7225003040652147,-1.0936434012256437,0.825,0.6616238163386643,-3.088852677798116
validation,v10_geometry_residual_only,0.9285714285714284,0.8619291225939812,0.32987768075096796,0.825,0.7724523799433497,-1.1991884924578868
validation,v10_signed_staged_symbolic,0.7928571428571427,0.8366505947229834,0.26038989300379345,0.825,0.7355699039802216,-1.5384840268759377
