Complexity,Loss,Equation
1,0.9999999,"3.2088807e-5"
3,0.9200955,"weight_loss_rate_within_case_z_scaled * -0.28174075"
5,0.87071985,"square(rho_within_case_z_scaled) * -0.20092024"
6,0.81487864,"0.7802671 - abs(fluence_rate_scaled)"
7,0.8120027,"((rho_within_case_z_scaled * rho_within_case_z_scaled) + -0.9984884) * -0.29210293"
8,0.7877623,"0.5764785 - (abs(fluence_rate_scaled) * 0.7392981)"
10,0.77937436,"0.65938616 - abs((fluence_rate_scaled * -0.80055743) - -0.11279698)"
11,0.72165644,"(square(theta_cos_scaled) * 0.21394518) + ((rho_within_case_z_scaled * rho_within_case_z_scaled) * -0.2924869)"
12,0.71887726,"abs(theta_cos_scaled * 0.4566549) + ((rho_within_case_z_scaled * rho_within_case_z_scaled) * -0.3340187)"
13,0.70073426,"(((theta_cos_scaled * -1.1532106) - square(rho_within_case_z_scaled)) * -0.15458076) * (theta_cos_scaled + -1.611126)"
14,0.65359175,"square(theta_cos_scaled * 0.6848052) + (abs(rho_within_case_z_scaled * theta_cos_scaled) * -0.7627842)"
16,0.6466297,"(abs((rho_within_case_z_scaled * theta_cos_scaled) + -0.091189265) * -0.79811895) + square(theta_cos_scaled * -0.6865709)"
18,0.6420698,"(abs(rho_within_case_z_scaled * (theta_cos_scaled + (rho_scaled * -0.091189265))) * -0.79811895) + square(theta_cos_scaled * -0.6865709)"
22,0.64195997,"(((((fluence_rate_within_case_z_scaled * 0.23395929) + abs(theta_cos_scaled)) - -0.46377224) * rho_within_case_z_scaled) * (rho_within_case_z_scaled * -0.18176304)) + square(theta_cos_scaled * 0.53598803)"
23,0.62851983,"(((((fluence_rate_within_case_z_scaled + (square(theta_cos_scaled) - -2.1501005)) * -0.0651958) * rho_within_case_z_scaled) - 0.13730252) * rho_within_case_z_scaled) + square(0.056619875 - (theta_cos_scaled * 0.5157231))"
25,0.6272914,"(((((fluence_rate_within_case_z_scaled * -0.072935626) + ((square(theta_cos_scaled) - -2.1501005) * -0.0651958)) * rho_within_case_z_scaled) - 0.13730252) * rho_within_case_z_scaled) + square(0.056619875 - (theta_cos_scaled * 0.5157231))"
27,0.62529343,"square((rho_within_case_z_scaled * -0.0772354) - (theta_cos_scaled * 0.5223074)) + (((rho_within_case_z_scaled * ((fluence_rate_within_case_z_scaled * -0.07301894) + ((-1.9318479 - square(theta_cos_scaled)) * 0.0765594))) - 0.16233921) * rho_within_case_z_scaled)"
