artifact,path,size_bytes,sha256
completion,/net/scratch/j96317yn/NotebookCT3/outputs/10_signed_staged_residual_symbolic_pilot/iteration_2/pilot_complete.json,751,bd62e163cae2f016b3e3873e65e5d3df74406e12a241013acde9e6e48a948362
composite,/net/scratch/j96317yn/NotebookCT3/outputs/10_signed_staged_residual_symbolic_pilot/iteration_2/selected_composite_formula.csv,4130,91474263bbecc7eac9ccae4736eb2a3122deb5af88280c3b6c2623c09ed54f10
geometry_row,/net/scratch/j96317yn/NotebookCT3/outputs/10_signed_staged_residual_symbolic_pilot/iteration_2/stages/stage_geometry/selected_formula.csv,4402,0dd4c83612ab2780466cc78ffb401f065b239684f031c00f05a8c6729fa04b38
physical_row,/net/scratch/j96317yn/NotebookCT3/outputs/10_signed_staged_residual_symbolic_pilot/iteration_2/stages/stage_physical/selected_formula.csv,4128,438a155342e000679d5c2ccb867238300c4b4341effbb29f17994868f97292c6
geometry_scaling,/net/scratch/j96317yn/NotebookCT3/outputs/10_signed_staged_residual_symbolic_pilot/iteration_2/training_cache/stage_a_scaling.csv,1934,2698d1687c50be1e5f639bffcb4ca011e634611cf0b83c7e8bd870450801e170
physical_scaling,/net/scratch/j96317yn/NotebookCT3/outputs/10_signed_staged_residual_symbolic_pilot/iteration_2/training_cache/stage_b_scaling.csv,2075,c31f438b1a18bc42583404fe629dc390a9db1145bbbb47b9c5d805171608ff66
all_X,/net/scratch/j96317yn/NotebookCT3/outputs/10_signed_staged_residual_symbolic_pilot/iteration_2/training_cache/all_v10_features.npy,95200128,56dabf5a36682a81a5d105f20535098a31f61f458d976d1933c7778c6d91a3d6
base_target,/net/scratch/j96317yn/NotebookCT3/outputs/10_signed_staged_residual_symbolic_pilot/iteration_2/training_cache/deployable_normalised_residual_target.npy,2380128,8ebf7d7bdf009550ea00dafdf20f8b56113223ead95aac360c3e79126937c662
sample_manifest,/net/scratch/j96317yn/NotebookCT3/outputs/10_signed_staged_residual_symbolic_pilot/iteration_2/training_cache/training_sample_manifest.csv.gz,2058766,9773a8529dd8386df952f00318abb9c9db677d1cf00eced9c4ae05fcf6d78112
cache_metadata,/net/scratch/j96317yn/NotebookCT3/outputs/10_signed_staged_residual_symbolic_pilot/iteration_2/training_cache/cache_metadata.json,5193,8eaca47c1908804b42a747ddfc6f0904de8c6682f6c4c4b610a506cda4758931
split_metrics,/net/scratch/j96317yn/NotebookCT3/outputs/10_signed_staged_residual_symbolic_pilot/iteration_2/selected_models_split_metrics.csv,2662,57bd66291034e0ba691dbaf131b803f0902e936a9ed3a550e431bc53d02070cb
