iteration,case_id,legacy_split,similarity_group,v12_signature_sha256,gain,tail_weighted_huber_loss,actual_p90,actual_p95,actual_p99,background_lt_p90_count,p90_p95_count,p95_p99_count,p99_plus_count,fluence_rate_mean,fluence_rate_std,fluence_rate_p95,temperature_mean,temperature_std,temperature_p95,weight_loss_rate_mean,weight_loss_rate_std,weight_loss_rate_p95,v10_case_scale,case_mean_correction_mpa,tail_correction_std_mpa,tail_correction_abs_max_mpa,n_elements,mae,rmse,r2,bias_predicted_minus_actual,top5_actual_rmse,top5_actual_bias,actual_mean,predicted_mean,predicted_p95,p95_relative_error,p95_underprediction_fraction,predicted_p99,p99_relative_error,p99_underprediction_fraction,actual_max,predicted_max,max_relative_error,prediction_abs_max_ratio,top5pct_hotspot_overlap,top1pct_hotspot_overlap,top1_recall_in_predicted_top5,negative_prediction_fraction,sum_absolute_error,sum_squared_error,actual_sum,actual_squared_sum
1,case_66,internal_test,group_052,ec47276df49b70d2b8ed70c74d311c463ee0ee3bc2525fe26bfedf2f3fb467ed,0.0,0.41704294255836516,6.3177044868469245,8.640856552124024,14.484742507934437,360324,20018,16014,4004,4.957562446594238,0.2692562043666839,5.1825032234191895,385.6255798339844,19.089977264404297,426.7341918945313,0.3400048613548279,0.0304559022188186,0.415477991104126,5.924408740627714,-0.3517476388207105,1.245857345018574,9.56276889535906,400360,1.8381231931163866,2.371461849980597,0.2586228690023722,-0.6639222817469714,3.8906773775726937,-0.8088308904066707,3.3097094398571456,2.6457871581101733,8.510132807940558,0.015128563169045216,0.015128563169045216,15.405308261004448,0.06355416760537821,0.0,22.389339447021484,32.00033835292209,0.42926674673196696,1.4292667467319669,0.657208512338895,0.5327172827172827,0.9782717282717283,0.19248426416225398,735911.0015960765,2251557.1016354873,1325075.2713412067,7422607.059131721
1,case_66,internal_test,group_052,ec47276df49b70d2b8ed70c74d311c463ee0ee3bc2525fe26bfedf2f3fb467ed,0.025,0.41649912408758144,6.3177044868469245,8.640856552124024,14.484742507934437,360324,20018,16014,4004,4.957562446594238,0.2692562043666839,5.1825032234191895,385.6255798339844,19.089977264404297,426.7341918945313,0.3400048613548279,0.0304559022188186,0.415477991104126,5.924408740627714,-0.3517476388207105,1.245857345018574,9.56276889535906,400360,1.838711468693057,2.372115195245052,0.25821430922632205,-0.6639222817469715,3.8912160534270006,-0.7919962360633251,3.3097094398571456,2.6457871581101733,8.52287318241107,0.013654128962938576,0.013654128962938576,15.418205254291152,0.06444455231740463,0.0,22.389339447021484,32.06397568811859,0.43210905189898974,1.4321090518989896,0.6570586472175043,0.5324675324675324,0.9790209790209791,0.19386052552702568,736146.5236059523,2252797.894784813,1325075.2713412067,7422607.059131721
1,case_66,internal_test,group_052,ec47276df49b70d2b8ed70c74d311c463ee0ee3bc2525fe26bfedf2f3fb467ed,0.05,0.4160269711348832,6.3177044868469245,8.640856552124024,14.484742507934437,360324,20018,16014,4004,4.957562446594238,0.2692562043666839,5.1825032234191895,385.6255798339844,19.089977264404297,426.7341918945313,0.3400048613548279,0.0304559022188186,0.415477991104126,5.924408740627714,-0.3517476388207105,1.245857345018574,9.56276889535906,400360,1.8395110635770928,2.3731771728564044,0.2575499771276245,-0.6639222817469714,3.8921987793038624,-0.7751615817199804,3.3097094398571456,2.645787158110174,8.535973811428914,0.01213800276192863,0.01213800276192863,15.421751365112954,0.06468936929084128,0.0,22.389339447021484,32.127613023315085,0.4349513570660125,1.4349513570660126,0.6570586472175043,0.531968031968032,0.9792707292707292,0.19550154860625438,736466.6494137249,2254815.4666684424,1325075.2713412067,7422607.059131721
1,case_66,internal_test,group_052,ec47276df49b70d2b8ed70c74d311c463ee0ee3bc2525fe26bfedf2f3fb467ed,0.075,0.41562801025703466,6.3177044868469245,8.640856552124024,14.484742507934437,360324,20018,16014,4004,4.957562446594238,0.2692562043666839,5.1825032234191895,385.6255798339844,19.089977264404297,426.7341918945313,0.3400048613548279,0.0304559022188186,0.415477991104126,5.924408740627714,-0.3517476388207105,1.245857345018574,9.56276889535906,400360,1.840517131170485,2.3746472345753027,0.25662987270627946,-0.6639222817469714,3.893625218977214,-0.7583269273766351,3.3097094398571456,2.6457871581101733,8.547806187549648,0.010768650539801288,0.010768650539801288,15.426418850733333,0.065011603919301,0.0,22.389339447021484,32.19125035851159,0.4377936622330356,1.4377936622330356,0.6566590068937956,0.5314685314685315,0.9797702297702298,0.19690778299530423,736869.4386354154,2257609.817286377,1325075.2713412067,7422607.059131721
1,case_66,internal_test,group_052,ec47276df49b70d2b8ed70c74d311c463ee0ee3bc2525fe26bfedf2f3fb467ed,0.1,0.41530356323232015,6.3177044868469245,8.640856552124024,14.484742507934437,360324,20018,16014,4004,4.957562446594238,0.2692562043666839,5.1825032234191895,385.6255798339844,19.089977264404297,426.7341918945313,0.3400048613548279,0.0304559022188186,0.415477991104126,5.924408740627714,-0.3517476388207105,1.245857345018574,9.56276889535906,400360,1.841756781382241,2.3765246231084416,0.25545399596228724,-0.6639222817469714,3.895494885014052,-0.7414922730332897,3.3097094398571456,2.6457871581101733,8.562067911675062,0.009118151652407126,0.009118151652407126,15.435512048695333,0.06563938159343083,0.0,22.389339447021484,32.254887693708085,0.4406359674000584,1.4406359674000584,0.6564092316914777,0.5312187812187812,0.9797702297702298,0.1983714656808872,737365.744994194,2261180.946638615,1325075.2713412067,7422607.059131721
1,case_66,internal_test,group_052,ec47276df49b70d2b8ed70c74d311c463ee0ee3bc2525fe26bfedf2f3fb467ed,0.125,0.4150549071604194,6.3177044868469245,8.640856552124024,14.484742507934437,360324,20018,16014,4004,4.957562446594238,0.2692562043666839,5.1825032234191895,385.6255798339844,19.089977264404297,426.7341918945313,0.3400048613548279,0.0304559022188186,0.415477991104126,5.924408740627714,-0.3517476388207105,1.245857345018574,9.56276889535906,400360,1.8432337039725901,2.3788083740521175,0.2540223468956475,-0.6639222817469714,3.897807139605593,-0.7246576186899447,3.3097094398571456,2.6457871581101733,8.573862058623263,0.0077532236644170804,0.0077532236644170804,15.44351678249254,0.06619201370220477,0.0,22.389339447021484,32.31852502890458,0.44347827256708117,1.4434782725670812,0.6557098611249875,0.5309690309690309,0.98001998001998,0.19978769107802977,737957.0457224662,2265528.854725158,1325075.2713412067,7422607.059131721
1,case_66,internal_test,group_052,ec47276df49b70d2b8ed70c74d311c463ee0ee3bc2525fe26bfedf2f3fb467ed,0.15,0.41488339645323097,6.3177044868469245,8.640856552124024,14.484742507934437,360324,20018,16014,4004,4.957562446594238,0.2692562043666839,5.1825032234191895,385.6255798339844,19.089977264404297,426.7341918945313,0.3400048613548279,0.0304559022188186,0.415477991104126,5.924408740627714,-0.3517476388207105,1.245857345018574,9.56276889535906,400360,1.8449713184873278,2.381497318355704,0.2523349255063606,-0.6639222817469715,3.900561195651779,-0.7078229643465996,3.3097094398571456,2.645787158110174,8.587467314270844,0.006178697393148628,0.006178697393148628,15.449639195450871,0.06661469383994119,0.0,22.389339447021484,32.38216236410108,0.446320577734104,1.446320577734104,0.6555599960035967,0.5302197802197802,0.98001998001998,0.2013163153162154,738652.7170695865,2270653.5415460044,1325075.2713412067,7422607.059131721
1,case_66,internal_test,group_052,ec47276df49b70d2b8ed70c74d311c463ee0ee3bc2525fe26bfedf2f3fb467ed,0.175,0.4147904103544836,6.3177044868469245,8.640856552124024,14.484742507934437,360324,20018,16014,4004,4.957562446594238,0.2692562043666839,5.1825032234191895,385.6255798339844,19.089977264404297,426.7341918945313,0.3400048613548279,0.0304559022188186,0.415477991104126,5.924408740627714,-0.3517476388207105,1.245857345018574,9.56276889535906,400360,1.8469740118841984,2.3845900852904487,0.2503917317944262,-0.6639222817469714,3.903756118094846,-0.690988310003254,3.3097094398571456,2.6457871581101733,8.600930819456702,0.004620575798993951,0.004620575798993951,15.46422391356792,0.06762159597224077,0.0,22.389339447021484,32.445799699297574,0.44916288290112677,1.4491628829011267,0.6549605355180338,0.5297202797202797,0.9802697302697303,0.20261764412029173,739454.5153979576,2276555.0071011554,1325075.2713412067,7422607.059131721
1,case_66,internal_test,group_052,ec47276df49b70d2b8ed70c74d311c463ee0ee3bc2525fe26bfedf2f3fb467ed,0.2,0.41477735473888544,6.3177044868469245,8.640856552124024,14.484742507934437,360324,20018,16014,4004,4.957562446594238,0.2692562043666839,5.1825032234191895,385.6255798339844,19.089977264404297,426.7341918945313,0.3400048613548279,0.0304559022188186,0.415477991104126,5.924408740627714,-0.3517476388207105,1.245857345018574,9.56276889535906,400360,1.8492478691698002,2.3880851059061485,0.2481927657598446,-0.6639222817469714,3.907390825496709,-0.6741536556599084,3.3097094398571456,2.6457871581101733,8.614404680121556,0.0030612557728395633,0.0030612557728395633,15.470619750688268,0.0680631528115732,0.0,22.389339447021484,32.50943703449408,0.4520051880681499,1.45200518806815,0.6555100409631331,0.5292207792207793,0.9805194805194806,0.20392147067639124,740364.8769008212,2283233.2513906104,1325075.2713412067,7422607.059131721
1,case_66,internal_test,group_052,ec47276df49b70d2b8ed70c74d311c463ee0ee3bc2525fe26bfedf2f3fb467ed,0.225,0.41484567257473665,6.3177044868469245,8.640856552124024,14.484742507934437,360324,20018,16014,4004,4.957562446594238,0.2692562043666839,5.1825032234191895,385.6255798339844,19.089977264404297,426.7341918945313,0.3400048613548279,0.0304559022188186,0.415477991104126,5.924408740627714,-0.3517476388207105,1.245857345018574,9.56276889535906,400360,1.8518072093221332,2.3919806169555855,0.2457380274026154,-0.6639222817469715,3.9114640918539916,-0.657319001316564,3.3097094398571456,2.645787158110174,8.629755690371155,0.001284694600113484,0.001284694600113484,15.476268535588105,0.06845313453867276,0.0,22.389339447021484,32.57307436969057,0.45484749323517265,1.4548474932351727,0.6555100409631331,0.5284715284715285,0.981018981018981,0.20530772304925568,741389.5343242092,2290688.2744143703,1325075.2713412067,7422607.059131721
