model,metric,development_149_fit_diagnostic,locked_final_50,final_minus_development,relative_change_vs_development,report_only_no_selection
mean_calibrated_consensus,micro_mae,1.209950765864116,1.3573188966607317,0.1473681307966157,0.12179679946842228,True
mean_calibrated_consensus,micro_rmse,1.7301314609758147,1.9503800163000955,0.22024855532428078,0.1273016301316537,True
mean_calibrated_consensus,micro_r2,0.6267584654475499,0.602752107472351,-0.0240063579751989,-0.03830240722485761,True
mean_calibrated_consensus,macro_mae,1.2099507658641158,1.357318896660732,0.14736813079661615,0.12179679946842267,True
mean_calibrated_consensus,macro_rmse,1.7026656587165,1.8472300448997445,0.1445643861832444,0.08490474065954888,True
mean_calibrated_consensus,macro_r2,0.5795793216217351,0.36798746397459053,-0.21159185764714455,-0.36507834174463677,True
mean_calibrated_consensus,worst_case_rmse,2.8116565287116653,4.210844161518255,1.3991876328065893,0.49763817824779394,True
mean_calibrated_consensus,mean_top5_actual_rmse,3.810333500384326,3.907870234270511,0.097536733886185,0.02559795195783966,True
mean_calibrated_consensus,mean_top5_actual_bias,-2.66653603465706,-2.7010384900663302,-0.034502455409270105,-0.012939054623991766,True
mean_calibrated_consensus,mean_p95_relative_error,0.0460338243289261,0.07864669114395408,0.03261286681502797,0.7084544308549908,True
mean_calibrated_consensus,mean_p95_underprediction_fraction,0.0382855321354958,0.04738678604837225,0.009101253912876452,0.23772044961178362,True
mean_calibrated_consensus,mean_p99_relative_error,0.1969718082670063,0.20308427067922627,0.0061124624122199656,0.031032168846894987,True
mean_calibrated_consensus,mean_p99_underprediction_fraction,0.1967219454598261,0.19394449719981657,-0.0027774482600095296,-0.014118649820778286,True
mean_calibrated_consensus,mean_top5pct_hotspot_overlap,0.5069517970739087,0.5069427515236287,-9.045550280029069e-06,-1.7843018472839766e-05,True
mean_calibrated_consensus,mean_top1pct_hotspot_overlap,0.502445541036145,0.49972027972027966,-0.0027252613158653682,-0.005423993434682144,True
mean_calibrated_consensus,mean_top1_recall_in_predicted_top5,0.8333310984317696,0.8392057942057941,0.005874695774024552,0.0070496538351683185,True
mean_calibrated_consensus,max_prediction_abs_max_ratio,1.345166584133725,1.3463681415535165,0.0012015574197914436,0.000893240609723617,True
full_consensus_tail,micro_mae,1.19671991875086,1.3487533573460675,0.15203343859520757,0.1270417883191086,True
full_consensus_tail,micro_rmse,1.662853554588832,1.9058702822719162,0.24301672768308413,0.1461443955858001,True
full_consensus_tail,micro_r2,0.65522182568134,0.6206764543124927,-0.03454537136884728,-0.05272316948985158,True
full_consensus_tail,macro_mae,1.19671991875086,1.3487533573460675,0.15203343859520757,0.1270417883191086,True
full_consensus_tail,macro_rmse,1.63261566875517,1.790679052714033,0.158063383958863,0.09681604004167282,True
full_consensus_tail,macro_r2,0.6105230468139765,0.3864425489799974,-0.2240804978339791,-0.36703036683602114,True
full_consensus_tail,worst_case_rmse,2.9453445756672294,4.2439604701341205,1.298615894466891,0.4409045736771585,True
full_consensus_tail,mean_top5_actual_rmse,3.108399095758529,3.284316616956202,0.17591752119767312,0.05659425182490756,True
full_consensus_tail,mean_top5_actual_bias,-1.8595557906623,-1.9609441246327006,-0.1013883339704007,-0.05452287824840695,True
full_consensus_tail,mean_p95_relative_error,0.0376912129400722,0.0709533131277629,0.0332621001876907,0.8824895139505421,True
full_consensus_tail,mean_p95_underprediction_fraction,0.0058815190612268,0.014592697964004255,0.008711178902777455,1.4811103750738215,True
full_consensus_tail,mean_p99_relative_error,0.1619717804177157,0.17039171769838546,0.008419937280669754,0.05198397683198413,True
full_consensus_tail,mean_p99_underprediction_fraction,0.160998703045385,0.15927709776483506,-0.0017216052805499316,-0.010693286641350252,True
full_consensus_tail,mean_top5pct_hotspot_overlap,0.5765713542375621,0.5688760115895694,-0.0076953426479927645,-0.013346730793049575,True
full_consensus_tail,mean_top1pct_hotspot_overlap,0.5691087436053879,0.556948051948052,-0.01216069165733591,-0.021367957870926622,True
full_consensus_tail,mean_top1_recall_in_predicted_top5,0.9345335872181512,0.9334165834165834,-0.001117003801567762,-0.0011952527087793327,True
full_consensus_tail,max_prediction_abs_max_ratio,1.4252968510928887,1.4126449649602228,-0.01265188613266588,-0.008876667427536004,True
