evaluation_scope,model,model_role,case_id,case_number,similarity_group,case_mean_correction_mpa,tail_consensus_std_mpa,tail_gain,final_evaluation_signature_sha256,n_elements,mae,rmse,r2,bias_predicted_minus_actual,top5_actual_rmse,top5_actual_bias,actual_mean,predicted_mean,actual_p95,predicted_p95,p95_relative_error,p95_underprediction_fraction,actual_p99,predicted_p99,p99_relative_error,p99_underprediction_fraction,actual_max,predicted_max,max_relative_error,prediction_abs_max_ratio,top5pct_hotspot_overlap,top1pct_hotspot_overlap,top1_recall_in_predicted_top5,negative_prediction_fraction,sum_absolute_error,sum_squared_error,actual_sum,actual_squared_sum
locked_final_50,mean_calibrated_consensus,predeclared_primary,case_31,31,group_022,-0.5209705817997146,0.5308610378965467,0.0,5139fe57e964f6d522e388431cd9821fb629a84bee9ff7ec085fdc7e0639f1a4,400360,3.8707993799232114,4.210844161518255,-2.8967279876086405,3.788812998634715,3.3441223354673935,0.9889862532145431,2.2515061615470686,6.040319160181784,6.107744240760803,9.539949885596208,0.5619432493473036,0.0,11.43994986534117,12.472639774996525,0.09027049259927482,0.0,18.300752639770508,24.639550320638428,0.34636814155351636,1.3463681415535165,0.4975522030172844,0.3808691308691309,0.8758741258741258,0.010225796782895395,1549713.239746057,7098866.656115882,901413.0068369843,3851287.566362038
locked_final_50,mean_calibrated_consensus,predeclared_primary,case_174,174,group_138,-0.7061192221932076,0.8065223262033674,0.0,5139fe57e964f6d522e388431cd9821fb629a84bee9ff7ec085fdc7e0639f1a4,400360,2.6616452047311463,3.435381588571595,0.397004059402005,1.0159395837632876,8.005226889044902,-6.755574427394822,1.6065405819181884,2.6224801656814765,9.461701107025144,8.600120776411284,0.09105977042269406,0.09105977042269406,23.167241611480634,15.667841091662554,0.3237070966662564,0.3237070966662564,36.29475784301758,30.06159585971236,0.1717372522573356,0.8282627477426644,0.6188430412628634,0.5541958041958042,0.9962537462537463,0.16850834249175742,1065616.2741661617,4724987.328435954,643194.5873767659,8869170.839048844
locked_final_50,mean_calibrated_consensus,predeclared_primary,case_38,38,group_029,-0.6629114480184755,0.709222338941293,0.0,5139fe57e964f6d522e388431cd9821fb629a84bee9ff7ec085fdc7e0639f1a4,400360,2.6560643379958013,3.3420973333747783,0.05039621882175971,1.7666018486896122,5.630224121960917,-3.9081670336038408,2.3210458728904,4.087647721580012,8.282201576232907,9.029896274970923,0.09027728821327467,0.0,19.17760139465324,14.38346037007747,0.2499864777621454,0.2499864777621454,30.260347366333008,28.575457374707522,0.055679796772592806,0.9443202032274072,0.5883205115396144,0.5237262737262737,0.9790209790209791,0.07084124288140674,1063381.918359999,4471866.895551192,929253.9256704006,6866033.374528283
locked_final_50,mean_calibrated_consensus,predeclared_primary,case_177,177,group_140,-0.6828517059473527,0.8545211762410345,0.0,5139fe57e964f6d522e388431cd9821fb629a84bee9ff7ec085fdc7e0639f1a4,400360,2.4269285555680136,3.107140743628139,0.43605968976225107,0.8058759873726294,6.418927405540757,-5.266455247179771,2.258888982855476,3.064764970228105,10.248656129837029,9.170569291160986,0.10519299555162133,0.10519299555162133,20.689661445617663,16.28252676240613,0.21301144510245346,0.21301144510245346,31.344358444213867,32.341906866662384,0.031825453509407,1.031825453509407,0.6207912878409432,0.5467032967032966,0.9977522477522478,0.14317863922469778,971645.11650721,3865204.9967818665,904368.7931760183,8896794.423163768
locked_final_50,mean_calibrated_consensus,predeclared_primary,case_26,26,group_018,-0.5833682981863428,0.34308413134179394,0.0,5139fe57e964f6d522e388431cd9821fb629a84bee9ff7ec085fdc7e0639f1a4,400360,2.155876067962282,2.5061405506353904,-3.4076874681725435,2.128315474258924,1.9624430085542193,1.4292140163160563,1.8806184681287208,4.008933942387644,3.957474637031555,6.360791166480361,0.6072853902739094,0.0,5.851797375679014,7.997757867040838,0.36671818137120954,0.0,12.496563911437988,16.281766708560248,0.30289948692677826,1.3028994869267783,0.4395044459986013,0.506993006993007,0.8913586413586414,0.02250474572884404,863126.5425693792,2514557.250381057,752924.4099000146,1986457.0956830606
locked_final_50,mean_calibrated_consensus,predeclared_primary,case_53,53,group_032,-0.4889958251510695,0.6111726900214739,0.0,5139fe57e964f6d522e388431cd9821fb629a84bee9ff7ec085fdc7e0639f1a4,400360,1.616524683812759,2.2623638904570393,0.5730220439421123,-0.14861746779336416,4.882239653255944,-3.5520229160095664,6.339503259452759,6.190885791659396,11.004085350036618,10.482798107942832,0.04737215547787907,0.04737215547787907,17.119948692321728,13.453390058374405,0.21416878635809053,0.21416878635809053,34.93113327026367,27.9725847157077,0.19920763808941966,0.8007923619105803,0.4858127685083425,0.505994005994006,0.7937062937062938,0.04706014586871815,647191.8224112762,2049158.7336717881,2538083.5249545067,20889403.12880283
locked_final_50,mean_calibrated_consensus,predeclared_primary,case_41,41,group_032,-0.49070512033135943,0.617255762240602,0.0,5139fe57e964f6d522e388431cd9821fb629a84bee9ff7ec085fdc7e0639f1a4,400360,1.602554674363215,2.2584050537889597,0.5765112340547065,-0.044421728068718996,4.917672546344503,-3.503254741810479,6.320426893659615,6.276005165590896,11.034743976593015,10.593593377315088,0.03997832665748288,0.03997832665748288,17.273798923492343,13.59179453364928,0.2131554504108267,0.2131554504108267,36.40161895751953,28.21370510312715,0.2249326840091268,0.7750673159908732,0.5062943350984114,0.508991008991009,0.817932067932068,0.045816265361174946,641598.7894280568,2041993.496411118,2530446.1111455634,20815335.935266286
locked_final_50,mean_calibrated_consensus,predeclared_primary,case_161,161,group_126,-0.531304420317869,0.5761076961819435,0.0,5139fe57e964f6d522e388431cd9821fb629a84bee9ff7ec085fdc7e0639f1a4,400360,1.5460137046510964,2.181260497068764,0.5881160715721694,-0.07825049955022673,5.124882030648722,-3.8843984726302714,6.031375949321324,5.953125449771099,10.554596376419067,10.014672991785314,0.05115528489938675,0.05115528489938675,16.94748098373394,12.788859816952312,0.24538284897755833,0.24538284897755833,37.14665603637695,26.533505611708787,0.28570944351693267,0.7142905564830674,0.49730242781496653,0.5094905094905094,0.8414085914085914,0.04581876311319812,618962.046794113,1904871.7854772545,2414721.6750702853,19188872.368202634
locked_final_50,mean_calibrated_consensus,predeclared_primary,case_55,55,group_042,-0.48328220004361105,0.5631434628709883,0.0,5139fe57e964f6d522e388431cd9821fb629a84bee9ff7ec085fdc7e0639f1a4,400360,1.5836216498358948,2.167376032230752,0.5739386298502743,-0.42711762081019694,5.123180003758235,-4.055178070508514,6.142592685561241,5.715475064751045,10.440355396270752,9.677833169026549,0.07303604123635218,0.07303604123635218,16.610363197326624,12.369651963599654,0.25530514795784215,0.25530514795784215,36.23409652709961,25.723373266624208,0.2900782486080312,0.7099217513919688,0.47052652612648616,0.5167332667332667,0.8281718281718282,0.04819912079128784,634018.7637282988,1880698.6528267586,2459248.4075912987,19520310.94195342
locked_final_50,mean_calibrated_consensus,predeclared_primary,case_22,22,group_015,-0.6274832117817537,0.5310315123337247,0.0,5139fe57e964f6d522e388431cd9821fb629a84bee9ff7ec085fdc7e0639f1a4,400360,1.5160869553173968,2.1082972445895014,0.505037087257779,0.4403009651988787,3.687742013180447,-2.370617994172274,5.651035437285307,6.091336402484185,9.714675617218015,9.831603683577589,0.012036229614536336,0.0,14.749980678558314,12.395540865096114,0.15962324729582808,0.15962324729582808,30.03141975402832,25.05847026749433,0.1655915546872184,0.8344084453127816,0.4768208612248976,0.5032467532467533,0.801948051948052,0.03191377760015986,606980.573430873,1779567.0788352294,2262448.5476715453,16380531.303118734
