case_id,case_number,feature,abs_spearman,spearman,abs_spearman_rank_score,abs_standardized_difference,standardized_difference,high_stress_rank_score,combined_case_sensitivity_score
case_00,0,distance_to_inner_proxy,0.032876374180278174,-0.032876374180278174,0.20833333333333334,0.8998269339708914,-0.8998269339708914,0.8333333333333334,0.5208333333333334
case_00,0,distance_to_outer_proxy,0.032876374180278174,0.032876374180278174,0.20833333333333334,0.8998269339708932,0.8998269339708932,0.9166666666666666,0.5625
case_00,0,fluence_rate,0.19753196871343912,0.19753196871343912,0.75,0.6441106993021412,0.6441106993021412,0.5833333333333334,0.6666666666666667
case_00,0,param_field_magnitude_scaled,0.42922875837021257,-0.42922875837021257,1.0,0.29008179253028643,-0.29008179253028643,0.25,0.625
case_00,0,rho,0.032876374180278174,-0.032876374180278174,0.20833333333333334,0.8998269339708963,-0.8998269339708963,1.0,0.6041666666666666
case_00,0,rho_normalized,0.032876374180278174,-0.032876374180278174,0.20833333333333334,0.8998269339708912,-0.8998269339708912,0.75,0.4791666666666667
case_00,0,temperature,0.03287656068084164,-0.03287656068084164,0.4166666666666667,0.7394934544479566,0.7394934544479566,0.6666666666666666,0.5416666666666666
case_00,0,theta,0.08426616184032222,0.08426616184032222,0.5833333333333334,0.2702672442435983,0.2702672442435983,0.16666666666666666,0.375
case_00,0,theta_cos,0.08426616184032222,-0.08426616184032222,0.5833333333333334,0.4139769456875655,-0.4139769456875655,0.4166666666666667,0.5
case_00,0,theta_sin,0.08426616184032222,0.08426616184032222,0.5833333333333334,0.24551686522567862,0.24551686522567862,0.08333333333333333,0.33333333333333337
case_00,0,weight_loss_rate,0.2067452918539846,-0.2067452918539846,0.8333333333333334,0.6052032903958279,-0.6052032903958279,0.5,0.6666666666666667
case_00,0,z,0.2549618079615571,0.2549618079615571,0.9166666666666666,0.3341150210494544,0.3341150210494544,0.3333333333333333,0.625
case_01,1,distance_to_inner_proxy,0.007897443698751356,-0.007897443698751356,0.20833333333333334,0.8190530241251677,-0.8190530241251677,0.9166666666666666,0.5625
case_01,1,distance_to_outer_proxy,0.007897443698751356,0.007897443698751356,0.20833333333333334,0.8190530241251671,0.8190530241251671,0.75,0.4791666666666667
case_01,1,fluence_rate,0.17165798969853877,0.17165798969853877,0.8333333333333334,0.619125630432754,0.619125630432754,0.6666666666666666,0.75
case_01,1,param_field_magnitude_scaled,0.3871596557987117,-0.3871596557987117,1.0,0.25405147346837975,-0.25405147346837975,0.3333333333333333,0.6666666666666666
case_01,1,rho,0.007897443698751356,-0.007897443698751356,0.20833333333333334,0.8190530241251687,-0.8190530241251687,1.0,0.6041666666666666
case_01,1,rho_normalized,0.007897443698751356,-0.007897443698751356,0.20833333333333334,0.8190530241251676,-0.8190530241251676,0.8333333333333334,0.5208333333333334
case_01,1,temperature,0.036947594982917234,-0.036947594982917234,0.6666666666666666,0.6177898169351653,0.6177898169351653,0.5833333333333334,0.625
case_01,1,theta,0.02894213636936624,0.02894213636936624,0.5,0.2290971840934788,0.2290971840934788,0.25,0.375
case_01,1,theta_cos,0.02894213636936624,-0.02894213636936624,0.5,0.3629522170906753,-0.3629522170906753,0.5,0.5
case_01,1,theta_sin,0.02894213636936624,0.02894213636936624,0.5,0.2065930267923351,0.2065930267923351,0.16666666666666666,0.3333333333333333
