case_id,case_number,feature,target,pearson,spearman,abs_pearson,abs_spearman,n
case_00,0,param_field_magnitude_scaled,sigma_max_principal,-0.5277773895329245,-0.42922875837021257,0.5277773895329245,0.42922875837021257,400360
case_00,0,z,sigma_max_principal,0.1959974812429801,0.2549618079615571,0.1959974812429801,0.2549618079615571,400360
case_00,0,weight_loss_rate,sigma_max_principal,-0.4169535953739402,-0.2067452918539846,0.4169535953739402,0.2067452918539846,400360
case_00,0,fluence_rate,sigma_max_principal,-0.1825236557107237,0.19753196871343912,0.1825236557107237,0.19753196871343912,400360
case_00,0,theta,sigma_max_principal,0.0911103522843331,0.08426616184032222,0.0911103522843331,0.08426616184032222,400360
case_00,0,theta_sin,sigma_max_principal,0.09029826927124744,0.08426616184032222,0.09029826927124744,0.08426616184032222,400360
case_00,0,theta_cos,sigma_max_principal,-0.0924340629316891,-0.08426616184032222,0.0924340629316891,0.08426616184032222,400360
case_00,0,temperature,sigma_max_principal,-0.14844709310499468,-0.03287656068084164,0.14844709310499468,0.03287656068084164,400360
case_00,0,rho,sigma_max_principal,0.1370373047833544,-0.032876374180278174,0.1370373047833544,0.032876374180278174,400360
case_00,0,rho_normalized,sigma_max_principal,0.13703730478335477,-0.032876374180278174,0.13703730478335477,0.032876374180278174,400360
case_00,0,distance_to_inner_proxy,sigma_max_principal,0.13703730478335438,-0.032876374180278174,0.13703730478335438,0.032876374180278174,400360
case_00,0,distance_to_outer_proxy,sigma_max_principal,-0.1370373047833545,0.032876374180278174,0.1370373047833545,0.032876374180278174,400360
case_01,1,param_field_magnitude_scaled,sigma_max_principal,-0.53348682585228,-0.3871596557987117,0.53348682585228,0.3871596557987117,400360
case_01,1,z,sigma_max_principal,0.1780657030833361,0.23599468036751794,0.1780657030833361,0.23599468036751794,400360
case_01,1,fluence_rate,sigma_max_principal,-0.19723690480079634,0.17165798969853877,0.19723690480079634,0.17165798969853877,400360
case_01,1,weight_loss_rate,sigma_max_principal,-0.38207592644894117,-0.05483334511075968,0.38207592644894117,0.05483334511075968,400360
case_01,1,temperature,sigma_max_principal,-0.18485151565629362,-0.036947594982917234,0.18485151565629362,0.036947594982917234,400360
case_01,1,theta,sigma_max_principal,0.057162088488627825,0.02894213636936624,0.057162088488627825,0.02894213636936624,400360
case_01,1,theta_sin,sigma_max_principal,0.05719787879742524,0.02894213636936624,0.05719787879742524,0.02894213636936624,400360
case_01,1,theta_cos,sigma_max_principal,-0.05299804276740331,-0.02894213636936624,0.05299804276740331,0.02894213636936624,400360
case_01,1,rho,sigma_max_principal,0.16629685882349976,-0.007897443698751356,0.16629685882349976,0.007897443698751356,400360
case_01,1,rho_normalized,sigma_max_principal,0.16629685882350134,-0.007897443698751356,0.16629685882350134,0.007897443698751356,400360
case_01,1,distance_to_inner_proxy,sigma_max_principal,0.16629685882349995,-0.007897443698751356,0.16629685882349995,0.007897443698751356,400360
case_01,1,distance_to_outer_proxy,sigma_max_principal,-0.1662968588235,0.007897443698751356,0.1662968588235,0.007897443698751356,400360
case_02,2,param_field_magnitude_scaled,sigma_max_principal,-0.5180221375079581,-0.3639500141686166,0.5180221375079581,0.3639500141686166,400360
case_02,2,z,sigma_max_principal,0.15476242505227225,0.20350076997829128,0.15476242505227225,0.20350076997829128,400360
case_02,2,fluence_rate,sigma_max_principal,-0.18712874235638263,0.15461934055519466,0.18712874235638263,0.15461934055519466,400360
case_02,2,weight_loss_rate,sigma_max_principal,-0.3768591045438131,-0.08293239350114467,0.3768591045438131,0.08293239350114467,400360
case_02,2,theta,sigma_max_principal,0.06041417702965922,0.03608574462916872,0.06041417702965922,0.03608574462916872,400360
case_02,2,theta_sin,sigma_max_principal,0.060398997799759276,0.03608574462916872,0.060398997799759276,0.03608574462916872,400360
case_02,2,theta_cos,sigma_max_principal,-0.05674870475208798,-0.03608574462916872,0.05674870475208798,0.03608574462916872,400360
case_02,2,rho,sigma_max_principal,0.16628745163893108,-0.010682846027300137,0.16628745163893108,0.010682846027300137,400360
case_02,2,rho_normalized,sigma_max_principal,0.16628745163893244,-0.010682846027300137,0.16628745163893244,0.010682846027300137,400360
case_02,2,distance_to_inner_proxy,sigma_max_principal,0.16628745163893083,-0.010682846027300137,0.16628745163893083,0.010682846027300137,400360
case_02,2,distance_to_outer_proxy,sigma_max_principal,-0.16628745163893088,0.010682846027300137,0.16628745163893088,0.010682846027300137,400360
case_02,2,temperature,sigma_max_principal,-0.1747201611570475,-0.006746764402969521,0.1747201611570475,0.006746764402969521,400360
case_03,3,param_field_magnitude_scaled,sigma_max_principal,-0.5353950174175096,-0.41706157970117436,0.5353950174175096,0.41706157970117436,400360
case_03,3,z,sigma_max_principal,0.1756683150696722,0.23557091134407296,0.1756683150696722,0.23557091134407296,400360
case_03,3,fluence_rate,sigma_max_principal,-0.18383090578529215,0.19762299252842408,0.18383090578529215,0.19762299252842408,400360
case_03,3,weight_loss_rate,sigma_max_principal,-0.3683208346984418,-0.043925532213937524,0.3683208346984418,0.043925532213937524,400360
case_03,3,theta,sigma_max_principal,0.0642948225467078,0.041029591060092345,0.0642948225467078,0.041029591060092345,400360
case_03,3,theta_sin,sigma_max_principal,0.06455873148685766,0.041029591060092345,0.06455873148685766,0.041029591060092345,400360
case_03,3,theta_cos,sigma_max_principal,-0.058475023021721834,-0.041029591060092345,0.058475023021721834,0.041029591060092345,400360
case_03,3,rho,sigma_max_principal,0.1490462762853412,-0.031987988547167695,0.1490462762853412,0.031987988547167695,400360
case_03,3,rho_normalized,sigma_max_principal,0.14904627628534103,-0.031987988547167695,0.14904627628534103,0.031987988547167695,400360
