case_id,case_number,feature,target,high_stress_quantile,threshold,high_n,rest_n,high_mean,rest_mean,difference_high_minus_rest,standardized_difference,abs_standardized_difference,high_median,rest_median
case_00,0,rho,sigma_max_principal,0.95,10.018842249999999,20018,380342,176.0612854339123,187.954146989123,-11.892861555210686,-0.8998269339708963,0.8998269339708963,176.2568856514217,189.16491614737328
case_00,0,distance_to_outer_proxy,sigma_max_principal,0.95,10.018842249999999,20018,380342,46.89894712994262,35.006085574731976,11.892861555210644,0.8998269339708932,0.8998269339708932,46.703346912433204,33.795316416481626
case_00,0,distance_to_inner_proxy,sigma_max_principal,0.95,10.018842249999999,20018,380342,45.98051709684083,57.87337865205145,-11.892861555210622,-0.8998269339708914,0.8998269339708914,46.17611731435025,59.08414781030183
case_00,0,rho_normalized,sigma_max_principal,0.95,10.018842249999999,20018,380342,0.4950557960215013,0.6231019863631236,-0.12804619034162235,-0.8998269339708912,0.8998269339708912,0.49716175366389054,0.636137905210524
case_00,0,temperature,sigma_max_principal,0.95,10.018842249999999,20018,380342,401.9560840521031,391.30572500649686,10.650359045606251,0.7394934544479566,0.7394934544479566,399.976532,390.772766
case_00,0,fluence_rate,sigma_max_principal,0.95,10.018842249999999,20018,380342,3.5633163021280847,3.3641497815755312,0.19916652055255346,0.6441106993021412,0.6441106993021412,3.544942,3.279095
case_00,0,weight_loss_rate,sigma_max_principal,0.95,10.018842249999999,20018,380342,0.33515383265061444,0.36296796142945037,-0.027814128778835934,-0.6052032903958279,0.6052032903958279,0.330903,0.352373
case_00,0,theta_cos,sigma_max_principal,0.95,10.018842249999999,20018,380342,0.906359487597872,0.9333835460849109,-0.027024058487038927,-0.4139769456875655,0.4139769456875655,0.9049472256932579,0.9432036106197585
case_00,0,z,sigma_max_principal,0.95,10.018842249999999,20018,380342,531.5683635923668,438.73705600424097,92.83130758812587,0.3341150210494544,0.3341150210494544,567.962952,436.330078
case_00,0,param_field_magnitude_scaled,sigma_max_principal,0.95,10.018842249999999,20018,380342,1.0811668253353832,1.3314475086347242,-0.25028068329934094,-0.29008179253028643,0.29008179253028643,1.0670515387031079,1.093377821881287
case_00,0,theta,sigma_max_principal,0.95,10.018842249999999,20018,380342,0.3887150522113211,0.3418364057593538,0.046878646451967265,0.2702672442435983,0.2702672442435983,0.4395406437973537,0.3386512138572386
case_00,0,theta_sin,sigma_max_principal,0.95,10.018842249999999,20018,380342,0.3711672558386552,0.33205258240295704,0.03911467343569813,0.24551686522567862,0.24551686522567862,0.4255238168538801,0.3322152147536407
