case_id,case_number,feature,bin,n,feature_min,feature_max,feature_mean,high_stress_threshold,high_stress_fraction,stress_p95,stress_max
case_00,0,rho_normalized,0,33364,0.0,0.3627595442064517,0.17163245686111256,10.018842249999999,0.016095192422970868,7.3210832,19.977367
case_00,0,rho_normalized,1,33363,0.36276204642200677,0.48265846027662046,0.4424652883145963,10.018842249999999,0.2762041782813296,19.163419699999984,36.839527
case_00,0,rho_normalized,2,33363,0.48266013163416976,0.5372653202378841,0.5120618577805311,10.018842249999999,0.06564157899469472,10.819470699999997,33.524162
case_00,0,rho_normalized,3,33363,0.5372664387570806,0.5727638258419324,0.5558035152084174,10.018842249999999,0.178551089530318,14.1514794,30.653587
case_00,0,rho_normalized,4,33364,0.5727638820040949,0.599832415579109,0.5868251310560646,10.018842249999999,0.04304040282939695,9.776123999999998,28.049591
case_00,0,rho_normalized,5,33363,0.5998335566840113,0.6266950375248272,0.6131451948037268,10.018842249999999,0.016185594820609658,8.5157621,16.550304
case_00,0,rho_normalized,6,33363,0.626695044276188,0.6602253048903708,0.6430160351682219,10.018842249999999,0.0037166921439918473,7.495162,15.849773
case_00,0,rho_normalized,7,33363,0.6602261863779051,0.6949267639302332,0.6770232095620681,10.018842249999999,0.0,7.616473099999999,9.514648
case_00,0,rho_normalized,8,33364,0.6949276301433173,0.7348668877248438,0.7143101613305125,10.018842249999999,8.991727610598249e-05,7.87517885,10.255408
case_00,0,rho_normalized,9,33363,0.7348671447420544,0.7867081295275071,0.7597412760696883,10.018842249999999,0.0004795731798699158,7.7790671,11.83132
case_00,0,rho_normalized,10,33363,0.7867092226087569,0.8507674901989511,0.8179279882754396,10.018842249999999,0.0,8.056877799999999,9.153261
case_00,0,rho_normalized,11,33364,0.850768732045317,1.0,0.9064466329154681,10.018842249999999,0.0,8.212738449999998,8.864056
case_00,0,theta,0,33364,0.007523603787450291,0.1608710746016531,0.10254301540282197,10.018842249999999,0.07157415178036207,11.420236449999996,28.049591
case_00,0,theta,1,33363,0.16087152602190075,0.20409651101534004,0.18581738651368296,10.018842249999999,0.018733327338668584,8.4491063,21.424234
case_00,0,theta,2,33363,0.20409801173008874,0.2335224554843348,0.21824923317306197,10.018842249999999,0.10196924736984084,12.65656779999999,36.839527
case_00,0,theta,3,33363,0.23352285708325835,0.2641179871744491,0.2488438879405437,10.018842249999999,0.04663849174234931,9.858323799999997,26.8274
case_00,0,theta,4,33364,0.26411801535216284,0.2974100557402693,0.2809722726057794,10.018842249999999,0.006623906006474044,7.7885439,18.346615
case_00,0,theta,5,33363,0.2974105626514393,0.34014892368303923,0.3176969323554222,10.018842249999999,0.00569493151095525,7.8140147,17.199186
case_00,0,theta,6,33363,0.34014908971309266,0.38558617576887294,0.36448481208238737,10.018842249999999,0.005275304978569074,7.7156503999999995,17.261599
case_00,0,theta,7,33363,0.3855882041052644,0.4230928276336252,0.40563451865939937,10.018842249999999,0.013877648892485687,8.1297485,20.138672
case_00,0,theta,8,33364,0.4230929682455192,0.45400831015169996,0.43886977605298083,10.018842249999999,0.07861767174199737,11.628682699999997,35.828217
case_00,0,theta,9,33363,0.4540090061666185,0.4812983910224981,0.46807061551685003,10.018842249999999,0.08266642688007673,11.481817499999995,34.655586
case_00,0,theta,10,33363,0.4813002736471837,0.5212654578212527,0.49912326922571715,10.018842249999999,0.020831460000599468,8.887204899999999,22.700008
case_00,0,theta,11,33364,0.5212658249826009,0.7734890497688124,0.5998569730485571,10.018842249999999,0.14749430523917995,17.964699549999995,34.924156
case_00,0,z,0,33364,1.80217,73.793915,35.77711891101187,10.018842249999999,0.08626064021100588,11.652897849999995,30.287579
case_00,0,z,1,33363,73.793945,146.492813,109.5748547580853,10.018842249999999,0.017684261007703143,7.3776633999999985,19.478817
case_00,0,z,2,33363,146.492828,220.711594,183.6911696293499,10.018842249999999,0.016755087971705183,7.305614399999998,17.905981
case_00,0,z,3,33363,220.711594,293.43457,257.8179497831131,10.018842249999999,0.024158498935947008,7.924533099999999,19.60734
case_00,0,z,4,33364,293.43457,367.704285,332.00227904462895,10.018842249999999,0.03201055029372977,8.657829699999999,21.79068
case_00,0,z,5,33363,367.704315,440.510223,406.15559168974613,10.018842249999999,0.04208254653358511,9.4284147,23.124279
case_00,0,z,6,33363,446.106384,518.918518,480.4535150769415,10.018842249999999,0.04696819830350988,9.828943599999999,24.336397
case_00,0,z,7,33363,518.918579,593.241943,554.6405302055571,10.018842249999999,0.04939603752660132,9.961999299999997,24.515671
case_00,0,z,8,33364,593.241943,666.043945,628.8929274560005,10.018842249999999,0.039084042680733726,9.3202421,23.542982
case_00,0,z,9,33363,666.043945,740.349426,703.1086488556485,10.018842249999999,0.03087252345412583,8.6266055,21.993414
