case_id,reference_case_id,same_element_id_sequence,max_abs_dx,max_abs_dy,max_abs_dz
case_00,case_00,True,0.0,0.0,0.0
case_01,case_00,True,0.18751600000001645,0.13928300000000604,0.14953700000000936
case_02,case_00,True,0.13414000000000215,0.12281799999999521,0.24700899999993453
case_03,case_00,True,0.08148199999999406,0.06106499999999926,0.1765139999999974
case_04,case_00,True,0.14045699999999783,0.09403999999999257,0.2513510000000001
case_05,case_00,True,0.08532800000000407,0.0636520000000047,0.2250970000000052
case_06,case_00,True,0.31195099999999343,0.18415899999999397,0.35272199999997156
case_07,case_00,True,0.10935999999998103,0.07988800000001106,0.2857060000000047
case_08,case_00,True,0.14471499999999082,0.10942000000000007,0.2854619999999386
case_09,case_00,True,0.12882999999999356,0.09489399999999648,0.29363999999998214
case_10,case_00,True,0.09715199999999413,0.0695039999999949,0.23931900000002315
case_100,case_00,True,0.10719299999999521,0.07132800000000827,0.14831600000002254
case_101,case_00,True,0.15705900000000383,0.12461100000000158,0.3771369999999479
case_102,case_00,True,1.6840980000000059,1.1181179999999955,3.4111330000000635
case_103,case_00,True,1.3725129999999979,0.9065319999999986,2.452148999999963
case_104,case_00,True,0.13880900000000906,0.06045600000000029,0.14571900000000015
case_105,case_00,True,0.3310859999999991,0.30357399999999757,1.0184929999999213
case_106,case_00,True,0.41990700000002334,0.35414199999999596,1.3620599999999286
case_107,case_00,True,0.14863499999998453,0.11385400000000345,0.24305299999999996
case_108,case_00,True,0.3175509999999804,0.23084299999999303,0.4379280000000563
case_109,case_00,True,0.2082820000000254,0.1477119999999985,0.19769299999995837
case_11,case_00,True,0.3981019999999944,0.2537309999999877,0.318727
case_110,case_00,True,0.32090800000000286,0.29314499999999555,0.9619749999999385
case_111,case_00,True,1.6537779999999884,0.9504770000000065,3.11071800000002
case_112,case_00,True,0.2701409999999953,0.1985480000000024,0.27890000000000015
case_113,case_00,True,0.15629599999999755,0.12208599999999592,0.23535200000003442
case_114,case_00,True,0.4729459999999932,0.42913099999999815,1.1971429999999827
case_115,case_00,True,0.1529390000000035,0.12188700000000097,0.4205329999999776
case_116,case_00,True,0.1797329999999988,0.14427100000000337,0.29357900000002246
case_117,case_00,True,0.38624599999999987,0.2618719999999968,0.30896000000007007
case_118,case_00,True,1.8422700000000134,1.2159950000000066,3.93878200000006
case_119,case_00,True,0.24008200000000102,0.22488500000000045,0.6815789999999424
case_12,case_00,True,0.12895199999999818,0.08676200000000733,0.18957499999999072
case_120,case_00,True,0.13420099999999024,0.10832299999999861,0.36895800000002055
case_121,case_00,True,0.2555770000000024,0.24041700000000787,0.6668700000000172
case_122,case_00,True,0.4598230000000001,0.4211269999999985,1.0252679999999827
case_123,case_00,True,0.37268900000000826,0.3384319999999974,0.9091189999999187
case_124,case_00,True,0.2630770000000098,0.16371100000000638,0.35045400000000004
case_125,case_00,True,0.23092700000000832,0.19539600000000235,0.5798330000000078
case_126,case_00,True,0.16937300000000732,0.1524040000000042,0.4943839999999682
case_127,case_00,True,0.251891999999998,0.23265100000000416,0.6962889999999788
case_128,case_00,True,0.5197139999999933,0.4667050000000046,1.1126090000000204
case_129,case_00,True,0.3095250000000078,0.1787790000000058,0.22521899999992456
case_13,case_00,True,0.2595980000000111,0.1999050000000011,0.4775999999999385
case_130,case_00,True,0.31516999999999484,0.2509150000000062,0.5495599999999286
case_131,case_00,True,0.36818700000000604,0.335716000000005,0.9040529999999762
case_132,case_00,True,0.20106499999999983,0.14465399999998851,0.30987499999991996
case_133,case_00,True,0.24705499999998892,0.18305999999999756,0.5447990000000118
case_134,case_00,True,0.20779400000000692,0.187460999999999,0.5999749999999722
case_135,case_00,True,0.7598119999999824,0.6931450000000012,1.8046869999999444
case_136,case_00,True,0.41695399999998983,0.38966299999999876,0.9677120000000059
case_137,case_00,True,0.48234500000000935,0.43730100000000505,1.0561519999999973
case_138,case_00,True,0.24496400000001017,0.21751400000000842,0.631652000000031
case_139,case_00,True,0.26699899999999843,0.15865300000000104,0.35131500000000004
case_14,case_00,True,0.12983700000000908,0.12474100000000021,0.2516479999999319
case_140,case_00,True,0.22355699999999956,0.12688500000000147,0.31365900000002966
case_141,case_00,True,0.11862200000001621,0.12035399999999186,0.45599400000003243
case_142,case_00,True,0.12965399999998795,0.08107700000000051,0.2902840000000424
case_143,case_00,True,0.20916700000000787,0.15832500000000493,0.6592399999999543
case_144,case_00,True,0.18675199999998426,0.10527100000000189,0.3496699999999464
case_145,case_00,True,0.402938000000006,0.31636100000000056,1.0336300000000165
case_146,case_00,True,0.32556099999999333,0.2795720000000017,0.7207639999999174
case_147,case_00,True,0.2554320000000132,0.14956700000000467,0.33399199999999984
case_148,case_00,True,0.16157499999999914,0.1181490000000025,0.6124879999999848
case_149,case_00,True,0.5561209999999903,0.46314999999999884,1.3189079999999649
case_15,case_00,True,0.9023290000000088,0.7372739999999993,2.097717999999986
case_150,case_00,True,0.25588999999999373,0.1376120000000043,0.24592999999999998
case_151,case_00,True,0.2756039999999871,0.2562630000000041,0.8186640000000125
case_152,case_00,True,0.22981199999998125,0.14788100000001236,0.3004160000000411
case_153,case_00,True,0.18484500000002413,0.1136240000000015,0.1311039999999366
case_154,case_00,True,0.15434300000001144,0.10228800000000149,0.311888999999951
case_155,case_00,True,0.3838800000000049,0.31658900000000756,0.8907469999999194
case_156,case_00,True,0.2651520000000005,0.15869200000000205,0.35905900000000024
case_157,case_00,True,0.46403499999999553,0.391563000000005,1.1177359999999226
case_158,case_00,True,0.3336789999999894,0.20659700000000214,0.5034179999998969
case_159,case_00,True,0.11381499999998823,0.07982599999999707,0.276367999999934
case_16,case_00,True,0.06387300000000096,0.0498580000000004,0.08832200000000023
case_160,case_00,True,0.6635899999999992,0.400810000000007,0.6598510000000033
case_161,case_00,True,0.3772429999999929,0.2370690000000053,0.2299199999999928
case_162,case_00,True,0.4130249999999762,0.2621690000000001,0.2550659999999425
case_163,case_00,True,0.6124419999999873,0.4013520000000028,0.4730319999999999
case_164,case_00,True,0.3558960000000013,0.28678899999999885,0.8444819999999709
case_165,case_00,True,1.467345999999992,0.9375610000000023,2.8815920000000688
case_166,case_00,True,0.17846600000001445,0.10057799999999872,0.21731799999999968
case_167,case_00,True,0.3321229999999957,0.23377200000000187,0.4216920000000073
case_168,case_00,True,0.2588350000000048,0.13968599999999753,0.324643
case_169,case_00,True,0.09089599999998654,0.10321000000000424,0.385071000000039
case_17,case_00,True,0.40064999999998463,0.30167400000000555,1.2230220000000145
case_170,case_00,True,0.17039499999998498,0.15809699999999793,0.5247799999999643
case_171,case_00,True,0.1363369999999975,0.12210800000001143,0.5650640000000067
case_172,case_00,True,1.3522040000000004,0.8480600000000038,2.644775999999979
case_173,case_00,True,2.1789249999999925,1.3301239999999979,5.154663000000028
case_174,case_00,True,3.423583999999977,1.880156999999997,8.170105000000035
case_175,case_00,True,0.376449000000008,0.33074999999999477,0.8505850000000237
case_176,case_00,True,0.29521199999999226,0.17433900000000335,0.20538399999998092
case_177,case_00,True,2.6282659999999964,1.5093300000000056,6.240173000000027
case_178,case_00,True,0.3149410000000046,0.20831300000000397,0.48065200000007735
case_179,case_00,True,0.24462900000000332,0.13910599999999818,0.21324200000000015
case_18,case_00,True,0.194168000000019,0.1459430000000026,0.29290800000001127
case_180,case_00,True,0.36508100000000354,0.28076099999999826,0.905760999999984
case_181,case_00,True,0.36878999999998996,0.21653700000000242,0.29864499999996497
case_182,case_00,True,0.2761380000000031,0.2609560000000073,0.7390129999999999
case_183,case_00,True,0.22274799999999573,0.1300200000000018,0.22316499999999984
case_184,case_00,True,0.21453900000000203,0.13350599999999702,0.3845209999999497
case_185,case_00,True,0.2748709999999903,0.25574500000000455,0.7131339999999682
case_186,case_00,True,0.2670439999999985,0.22974399999999662,0.5863640000000032
case_187,case_00,True,0.20297300000001428,0.1256180000000029,0.3188470000000052
case_188,case_00,True,0.25500399999998535,0.24210300000000018,0.6574090000000297
case_189,case_00,True,0.23997499999998695,0.19026200000000415,0.48980699999992794
case_19,case_00,True,0.12014699999997447,0.09809900000000482,0.21160899999995308
case_190,case_00,True,0.2582400000000007,0.15671600000000296,0.343089
case_191,case_00,True,0.2670439999999985,0.16210900000000095,0.456786999999963
case_192,case_00,True,0.24366800000001376,0.15065699999999538,0.3514050000000002
case_193,case_00,True,0.4029079999999965,0.3608470000000068,0.9168700000000172
case_194,case_00,True,0.17273000000000138,0.08638000000000545,0.13860099999999997
case_195,case_00,True,0.27407800000000293,0.1670000000000016,0.3532470000000001
case_196,case_00,True,0.23275699999999233,0.13100400000000434,0.2827750000000151
case_197,case_00,True,0.1329499999999939,0.06779200000000074,0.2337039999999888
case_198,case_00,True,0.26800600000001396,0.1399679999999961,0.25064
case_199,case_00,True,0.22764600000002133,0.12431399999999826,0.2195440000000417
case_20,case_00,True,0.08807400000000598,0.06407900000000666,0.18988100000001396
case_200,case_00,True,0.23542799999998465,0.20553599999999506,0.6522820000000138
case_21,case_00,True,0.2767639999999858,0.1878309999999992,0.26750700000000016
case_22,case_00,True,0.3911899999999946,0.21607199999999693,0.438780999999949
case_23,case_00,True,1.175108999999992,1.0158760000000058,3.0298460000000205
case_24,case_00,True,0.13824500000001194,0.1180959999999942,0.3205490000000002
case_26,case_00,True,0.994704999999982,0.7965540000000004,2.2005609999999933
case_27,case_00,True,0.5019679999999767,0.37144500000000846,0.6208500000000186
case_28,case_00,True,0.27958699999999226,0.224449000000007,0.4436039999999366
