case_id,case_number,feature,bin,n,feature_min,feature_max,feature_mean,stress_mean,stress_median,stress_p95,stress_max
case_00,0,fluence_rate,0,40036,2.768424,3.004325,2.9256823343990406,3.3030614543410928,3.4236915,6.2221675,8.160061
case_00,0,fluence_rate,1,40036,3.004325,3.103038,3.058254292236987,4.702308061694475,4.6517885,8.06590975,9.333641
case_00,0,fluence_rate,2,40036,3.103041,3.169137,3.1372032941352783,5.366612384978519,5.5092495,8.1382995,13.505946
case_00,0,fluence_rate,3,40036,3.169137,3.230707,3.1998536128484365,5.795944816240383,6.021942,7.95848775,14.102779
case_00,0,fluence_rate,4,40036,3.230718,3.294083,3.262227846038565,6.173580494405035,6.467560499999999,8.0643365,17.70347
case_00,0,fluence_rate,5,40036,3.294083,3.363765,3.3283113484863627,6.675987729868119,6.7209495,9.388128,21.64085
case_00,0,fluence_rate,6,40036,3.363773,3.441523,3.402270769607353,6.916784329828154,6.717309,10.4632325,25.437847
case_00,0,fluence_rate,7,40036,3.441523,3.535537,3.48608983904486,7.506222064741732,6.9692925,12.6361995,30.653587
case_00,0,fluence_rate,8,40036,3.535588,3.748491,3.622513886402237,7.678839547956839,6.261757,17.26961825,36.839527
case_00,0,fluence_rate,9,40036,3.748491,5.156157,4.31867385283245,2.4557306509141776,-0.1321715,11.00893975,23.350344
case_00,0,temperature,0,40036,349.730591,367.944855,361.6721522794485,4.667339646992707,5.322138,8.263162000000001,9.153261
case_00,0,temperature,1,40036,367.944855,376.481537,372.49120909051857,4.876485078679189,5.3563790000000004,7.8445730000000005,8.897746
case_00,0,temperature,2,40036,376.482086,382.588287,379.69122075062444,5.4674086720201815,5.889158,7.8066527500000005,15.530172
case_00,0,temperature,3,40036,382.588287,387.4198,385.0959515682885,5.874375328579279,6.21148,7.7851095,14.543764
case_00,0,temperature,4,40036,387.420319,391.758087,389.6600475453092,6.091922588795084,6.228446999999999,8.35221475,20.188572
case_00,0,temperature,5,40036,391.758087,395.459564,393.6530871494655,6.677041720076931,6.2417605,10.824952999999999,29.421083
case_00,0,temperature,6,40036,395.460358,398.684479,397.03778387341396,7.343117638525327,6.610348999999999,13.67715125,34.924156
case_00,0,temperature,7,40036,398.684479,403.899994,400.99509260915175,6.846436701593567,5.783035999999999,14.010638499999999,27.485943
case_00,0,temperature,8,40036,403.902222,412.570007,407.9061794294136,6.68447919015386,5.5718185,13.431496,36.839527
case_00,0,temperature,9,40036,412.570007,448.080841,430.1797052921371,2.046464969552403,-0.1321715,9.2424025,30.287579
case_00,0,weight_loss_rate,0,40036,0.271115,0.30656,0.29668030532520734,5.584586913802578,4.872930500000001,12.88683125,36.839527
case_00,0,weight_loss_rate,1,40036,0.30656,0.320734,0.3137916171445699,6.113729299580378,5.688355,13.0152515,28.049591
case_00,0,weight_loss_rate,2,40036,0.320737,0.333046,0.32696549065840746,6.579703315016484,6.409451000000001,11.73984,34.924156
case_00,0,weight_loss_rate,3,40036,0.333046,0.343055,0.33823618743131184,6.4409119119292635,6.668331,9.8522275,26.269745
case_00,0,weight_loss_rate,4,40036,0.343059,0.351465,0.3472967566190428,6.482675927215507,6.80636,9.807694,24.725981
case_00,0,weight_loss_rate,5,40036,0.351465,0.360022,0.3556498652213008,6.453403155784795,6.8120435,9.557494,23.705717
case_00,0,weight_loss_rate,6,40036,0.360023,0.371427,0.3653403807573184,6.24712378484364,6.500897,9.796917,24.661333
case_00,0,weight_loss_rate,7,40036,0.371427,0.38696,0.37874437855929666,5.785070434558897,5.799097,9.39179975,17.952269
case_00,0,weight_loss_rate,8,40036,0.386961,0.418004,0.400056380257768,5.1766993912978325,5.2513570000000005,7.748590500000001,17.488884
case_00,0,weight_loss_rate,9,40036,0.418004,0.651253,0.4930111879308622,1.7111674009391549,-0.1095495,7.056896,17.261599
case_00,0,rho,0,40036,130.08076833707145,168.395119335294,149.5145389909285,2.3921221174692775,-0.1321715,11.35795025,33.885365
case_00,0,rho,1,40036,168.39535565166477,177.20444659594725,173.532693539012,7.50402801268858,6.2891395,16.485,36.839527
case_00,0,rho,2,40036,177.2045199904584,182.1207726619369,179.83589067544986,6.977410500774304,6.092319,13.5835405,30.653587
case_00,0,rho,3,40036,182.1210398089562,185.39748202358294,183.79257561284047,7.0953116295084415,6.7332345,11.17994975,28.049591
case_00,0,rho,4,40036,185.39756973179792,188.28786765596135,186.78803566254874,6.254716832275951,6.211819,8.59636425,16.550304
case_00,0,rho,5,40036,188.28786828302412,192.00656166843825,190.12474598564722,5.894330538715156,6.0437405,7.4851642499999995,15.849773
case_00,0,rho,6,40036,192.00660012329806,196.04918113345354,193.9521004548685,5.724990390298731,5.941915,7.6952982500000005,9.514648
case_00,0,rho,7,40036,196.0491846582921,201.08370818544196,198.41839362671902,5.426873659381556,5.7238205,7.87981675,11.83132
case_00,0,rho,8,40036,201.0837099833359,207.81040910121652,204.34258622377243,4.855743616145468,5.2020045,7.9151745,9.153261
case_00,0,rho,9,40036,207.81057107442695,222.9602325638549,213.29347834183707,4.44954423771106,4.8747595,8.214655,8.897746
case_00,0,rho_normalized,0,40036,0.0,0.41251692521255867,0.2092364637936079,2.3921221174692775,-0.1321715,11.35795025,33.885365
case_00,0,rho_normalized,1,40036,0.412519469546473,0.5073638037339888,0.46783135070465237,7.50402801268858,6.2891395,16.485,36.839527
case_00,0,rho_normalized,2,40036,0.5073645939464623,0.5602961295922161,0.5356956217672783,6.977410500774304,6.092319,13.5835405,30.653587
case_00,0,rho_normalized,3,40036,0.5602990058687053,0.595575288326867,0.5782958345304523,7.0953116295084415,6.7332345,11.17994975,28.049591
case_00,0,rho_normalized,4,40036,0.5955762326498744,0.6266950375248272,0.6105468824304949,6.254716832275951,6.211819,8.59636425,16.550304
case_00,0,rho_normalized,5,40036,0.626695044276188,0.666732887047699,0.6464720500752095,5.894330538715156,6.0437405,7.4851642499999995,15.849773
case_00,0,rho_normalized,6,40036,0.6667333010774322,0.7102583261603153,0.6876798079050355,5.724990390298731,5.941915,7.6952982500000005,9.514648
case_00,0,rho_normalized,7,40036,0.7102583641109923,0.764463279794583,0.7357667904154555,5.426873659381556,5.7238205,7.87981675,11.83132
case_00,0,rho_normalized,8,40036,0.7644632991518644,0.8368872647063605,0.7995504550432825,4.855743616145468,5.2020045,7.9151745,9.153261
case_00,0,rho_normalized,9,40036,0.8368890086140346,1.0,0.8959215117949584,4.44954423771106,4.8747595,8.214655,8.897746
case_00,0,theta,0,40036,0.007523603787450291,0.1739530692433838,0.11339476017983571,4.927144256968727,5.4755205,10.857081,28.049591
case_00,0,theta,1,40036,0.17395605545361553,0.2150030935320949,0.19682004021845953,5.716184979818164,6.045866999999999,9.40904725,25.299089
case_00,0,theta,2,40036,0.21500310370003542,0.25188928956746215,0.23335710408904056,6.426948386252372,6.574321,12.17668175,36.839527
case_00,0,theta,3,40036,0.2518898544458289,0.2908267028582667,0.2711827367801325,5.216783423893496,5.5414815,7.88897575,19.034
case_00,0,theta,4,40036,0.29082720312363536,0.34014892368303923,0.31367927044354577,4.9606565164352086,5.219037,7.813742749999999,17.199186
case_00,0,theta,5,40036,0.34014908971309266,0.393900728261279,0.3686843037518944,4.856859091068039,5.192151,7.6981405,17.261599
case_00,0,theta,6,40036,0.3939018699308184,0.4361169228739304,0.41640773313373325,5.590458621365771,5.8799305,8.64300725,26.382629
case_00,0,theta,7,40036,0.4361170243514304,0.4711543511577742,0.4539047244926328,6.741408659006895,6.870824,12.89909925,35.828217
case_00,0,theta,8,40036,0.47115515624576443,0.511670749761294,0.48854547071678656,6.190113857827955,6.665182,9.317567,22.529734
case_00,0,theta,9,40036,0.5116753042741227,0.7734890497688124,0.5858272370134606,5.948513742331901,6.3888555,16.69633525,34.924156
case_00,0,theta_sin,0,40036,0.007523532809203192,0.17307710186466668,0.11303992927706549,4.927144256968727,5.4755205,10.857081,28.049591
case_00,0,theta_sin,1,40036,0.17308004300707316,0.21335045060759286,0.19553843797283757,5.716184979818164,6.045866999999999,9.40904725,25.299089
case_00,0,theta_sin,2,40036,0.213350460541424,0.2492340727520642,0.23123133759481068,6.426948386252372,6.574321,12.17668175,36.839527
case_00,0,theta_sin,3,40036,0.24923461980467992,0.2867443102501559,0.26785380507231815,5.216783423893496,5.5414815,7.88897575,19.034
case_00,0,theta_sin,4,40036,0.2867447895079204,0.3336274869392061,0.30852841390716856,4.9606565164352086,5.219037,7.813742749999999,17.199186
case_00,0,theta_sin,5,40036,0.3336276434565615,0.3837933324736812,0.36034885203852074,4.856859091068039,5.192151,7.6981405,17.261599
case_00,0,theta_sin,6,40036,0.38379438671279303,0.42242304219174137,0.40444810011419663,5.590458621365771,5.8799305,8.64300725,26.382629
case_00,0,theta_sin,7,40036,0.4224231341708228,0.45391516629473594,0.4384545113961134,6.741408659006895,6.870824,12.89909925,35.828217
case_00,0,theta_sin,8,40036,0.4539158836641402,0.48963470253236396,0.46930979039647824,6.190113857827955,6.665182,9.317567,22.529734
case_00,0,theta_sin,9,40036,0.4896386737330347,0.698635822415296,0.55132998297791,5.948513742331901,6.3888555,16.69633525,34.924156
case_00,0,theta_cos,0,40036,0.7154774543185153,0.871925437858625,0.831040041061027,5.948513742331901,6.3888555,16.69633525,34.924156
case_00,0,theta_cos,1,40036,0.8719276679152024,0.8910445390424672,0.8829559961750975,6.190113857827955,6.665182,9.317567,22.529734
case_00,0,theta_cos,2,40036,0.8910449044844049,0.9063987509464579,0.898693238029703,6.741408659006895,6.870824,12.89909925,35.828217
case_00,0,theta_cos,3,40036,0.9063987938128969,0.9234185772052407,0.914480623732339,5.590458621365771,5.8799305,8.64300725,26.382629
case_00,0,theta_cos,4,40036,0.9234190153709996,0.9427049355559891,0.9326996810633205,4.856859091068039,5.192151,7.6981405,17.261599
case_00,0,theta_cos,5,40036,0.9427049909481915,0.9580070071194983,0.9511061907328577,4.9606565164352086,5.219037,7.813742749999999,17.199186
case_00,0,theta_cos,6,40036,0.9580071505678662,0.9684431342576686,0.9633923699067118,5.216783423893496,5.5414815,7.88897575,19.034
case_00,0,theta_cos,7,40036,0.968443275044759,0.9769757320357361,0.9728383270586041,6.426948386252372,6.574321,12.17668175,36.839527
