rbf_index,rho_fraction_center,z_fraction_center,theta_fraction_center,bandwidth,top_p99_training_rows
1,0.4559348954708432,0.09715339145353794,0.8200548201768528,0.35,4688
2,0.6488921802906084,0.6493757863059448,0.2061278995165777,0.35,5576
3,0.4922452042184092,0.9503099738684567,0.45663981508362034,0.2914318024469776,5646
4,0.43609302130915206,0.8765411362124086,0.8769948450324795,0.2576805564754733,5859
5,0.5411626363258754,0.045542400363733936,0.21230606035799157,0.2531254715475654,1563
6,0.45712549590423435,0.4939370623732255,0.820019919144541,0.35,6418
