case_id,estimated_v10_mean_residual_mpa,predicted_mean_correction_mpa,error_mpa
case_01,-0.41201738850106934,-0.5924422957116432,-0.18042490721057386
case_06,-0.6686542360703566,-0.6965363510180934,-0.027882114947736847
case_10,-0.6030989831764417,-0.5731777162994748,0.029921266876966945
case_11,-0.4637671154313776,-0.629267515251518,-0.16550039982014042
case_13,-0.3607832675888076,-0.5718392102475544,-0.21105594265874678
case_14,-0.7739198955629552,-0.6084529657708649,0.1654669297920902
case_15,-0.1812504342718753,-0.4765865320802637,-0.29533609780838843
case_16,-0.6517477023302285,-0.5959069468441983,0.05584075548603018
case_17,-0.35059832206031644,-0.6052224742412943,-0.25462415218097784
case_18,-0.7784288105362492,-0.6087836678834609,0.1696451426527883
case_19,-0.5184694993933294,-0.5401372170863777,-0.021667717693048316
case_21,-1.2115273668437287,-0.7519823359205978,0.4595450309231309
case_24,-1.0373940322702149,-0.7508117845718579,0.28658224769835694
case_28,-0.5809038961778219,-0.5926332302979757,-0.011729334120153756
case_29,-0.7608840687332219,-0.6772244297168536,0.0836596390163683
case_32,-0.7331029573762221,-0.6345993825685227,0.09850357480769945
case_34,-0.5672091581914597,-0.5441429989316643,0.023066159259795382
case_35,-0.678398563529692,-0.47861515092485807,0.1997834126048339
case_36,-1.088284177316982,-0.7485363008024978,0.33974787651448424
case_40,-0.9710726114926034,-0.562902476437447,0.4081701350551564
case_44,-0.6612435987653589,-0.5947809713701196,0.06646262739523923
case_45,-0.5803505359413991,-0.6302055298869133,-0.04985499394551418
case_48,-0.4628490752730605,-0.5438340968869434,-0.08098502161388288
case_49,-0.6772491984469455,-0.5599592024173617,0.11728999602958379
case_51,-1.43030691259916,-0.7556222527082009,0.6746846598909592
case_52,-0.6310352468013957,-0.5984374294089198,0.032597817392475914
case_54,-0.8812914222041703,-0.6033445866983295,0.2779468355058409
case_56,-1.4184143391604456,-0.6342269459088635,0.784187393251582
case_57,-0.7105038635993168,-0.6056069317841345,0.10489693181518234
case_58,-0.40649946336937814,-0.6988964990528049,-0.2923970356834268
case_59,-0.5188264332441638,-0.590668370696494,-0.07184193745233025
case_60,-1.0429912749626302,-0.6062719408695153,0.4367193340931149
case_61,-0.5626153814072342,-0.6181411219202532,-0.05552574051301895
case_62,-0.5363145378743494,-0.4860520416215758,0.05026249625277357
case_64,-0.9182454377423777,-0.5004075509073426,0.4178378868350351
case_66,-0.6328486701840406,-0.9056212246837866,-0.272772554499746
case_67,-0.7026985821516897,-0.6003461752671507,0.10235240688453895
case_71,-0.6226266461767151,-0.6349974292833246,-0.01237078310660944
case_72,-1.0307644151861666,-0.3808834199490204,0.6498809952371462
case_73,-1.2168873968190614,-0.7349732812806257,0.48191411553843577
case_74,-1.0371335890930113,-0.767852134047131,0.2692814550458803
case_75,-0.5607456752438441,-0.5757623114103497,-0.015016636166505615
case_77,-0.4656712824200996,-0.5681776175981531,-0.10250633517805352
case_78,-0.6535755939178727,-0.3923727039324142,0.2612028899854585
case_79,-0.46030552280674325,-0.580986982490065,-0.12068145968332172
case_82,-0.6341935419663062,-0.5919786317272832,0.04221491023902302
case_83,-0.6556470806440314,-0.578511890595312,0.07713519004871938
case_85,-0.519083362491342,-0.577234853650464,-0.05815149115912199
case_86,-0.3921675960251804,-0.6783726969655478,-0.2862051009403674
case_87,-0.8378592823203515,-0.6656524702748837,0.17220681204546773
case_89,-0.7658042253527781,-0.6843448391718702,0.08145938618090798
case_91,-0.5896500576477375,-0.6719754120617075,-0.08232535441397004
case_92,-0.28082773516878756,-0.6015943394897022,-0.32076660432091464
case_93,-0.5754129956336053,-0.6234930208535002,-0.04808002521989496
case_95,-0.9486472099441503,-0.7033593904291139,0.24528781951503642
case_96,-1.2941677076867295,-0.674463452520773,0.6197042551659565
case_97,-0.32500934525780883,-0.5621224641602199,-0.2371131189024111
case_98,-0.2658349793279806,-0.6005796591500082,-0.3347446798220276
case_99,-0.17211705843697378,-0.5046181920156095,-0.33250113357863575
case_101,-0.755628364901124,-0.5859372998714304,0.16969106502969356
case_102,-0.806686640474938,-0.6293172396293861,0.17736940084555186
case_104,-0.5065145319988443,-0.6061859050233364,-0.09967137302449203
case_106,-0.4099373967566598,-0.3991309290474715,0.010806467709188305
case_107,-0.6811788536700548,-0.5814317688389029,0.09974708483115191
case_109,-0.5005309963292071,-0.5752280033614653,-0.07469700703225823
case_110,-0.669859016392439,-0.5070440369385706,0.16281497945386847
case_111,0.0065083574923537005,-0.6008657391945939,-0.6073740966869475
case_115,-0.7306016110187284,-0.5453141289898734,0.18528748202885503
case_116,-0.5347965810944231,-0.5990911608787216,-0.06429457978429853
case_117,-0.7803799791660297,-0.6293125838425816,0.15106739532344815
case_118,-0.21902479283647713,-0.7850648730307391,-0.566040080194262
