variable,role,mean,std
fluence_rate,input,3.673706249757144,0.4605062092402907
temperature,input,387.42195202760234,24.86994504011831
weight_loss_rate,input,0.3961093042126519,0.0834925733943082
fluence_rate_within_case_z,input,0.23324745058149843,1.1564555625947943
temperature_within_case_z,input,0.2145294514541368,1.1762577885433048
weight_loss_rate_within_case_z,input,0.12109154911379759,1.119977875015618
fluence_rate_mean,input,3.576789194208334,0.35378369840014245
fluence_rate_p95,input,4.406971979874294,0.22441468122394329
temperature_mean,input,383.9068583323669,20.354096533903537
temperature_p95,input,415.10754478947376,19.42605516677512
weight_loss_rate_mean,input,0.3896678772416901,0.07121498335477146
weight_loss_rate_std,input,0.050294312412249964,0.008299350226154778
rho_fraction_proxy,input,0.5588613614842945,0.19405856330025695
z_fraction_proxy,input,0.5480086130473063,0.3126780253987401
theta_fraction_proxy,input,0.4675753863079357,0.23960635884096268
nearest_radial_boundary_fraction_proxy,input,0.34897263435048637,0.1353296740959443
nearest_axial_boundary_fraction_proxy,input,0.22834393637149464,0.1620967537856661
nearest_angular_boundary_fraction_proxy,input,0.29614035967995184,0.13001465232303988
signed_radial_position_proxy,input,0.11772272297860423,0.38811712657990166
signed_axial_position_proxy,input,0.09601722607617276,0.6253560508284436
signed_angular_position_proxy,input,-0.06484922739008396,0.4792127176911213
radial_axial_signed_interaction_proxy,input,0.01542333847287234,0.2218814079534919
radial_angular_signed_interaction_proxy,input,-0.04917017708359616,0.18650855939826488
axial_angular_signed_interaction_proxy,input,-0.010086233431038805,0.2990954201663657
boundary_corner_proximity_proxy,input,0.021977015142011388,0.023083124088328064
theta_sin_2_proxy,input,0.6230272390565702,0.25762964105652475
theta_cos_2_proxy,input,0.6962952158192997,0.24624581180511337
theta_sin_4_proxy,input,0.7512748491018347,0.2583315425126046
theta_cos_4_proxy,input,0.09092805491880629,0.6004856401635145
v10_fixed_shape_proxy,input,0.35647852011617953,0.7667520825861115
v10_geometry_residual_proxy,input,0.23810600409692714,0.4095315742233841
v10_physical_residual_proxy,input,-0.02859054965710599,0.23022192649701334
v10_normalised_shape_proxy,input,0.5659939745330408,0.8855686158338522
hotspot_rbf_01,input,0.2369604315513707,0.2550495479411918
hotspot_rbf_02,input,0.4216890958528429,0.2573730805519918
hotspot_rbf_03,input,0.30132102564334373,0.29465828173194064
hotspot_rbf_04,input,0.1489035615232907,0.22546798192708137
hotspot_rbf_05,input,0.14297266610035195,0.23362908714031552
hotspot_rbf_06,input,0.34866825971823173,0.24509464736864436
hotspot_rbf_max_proxy,input,0.7227161867945516,0.17676766418834966
v11_centered_normalised_tail_residual,target,0.3953909477660702,0.7673461622979328
