split,gain,metric,current,parent,absolute_difference,pass
validation,0.0,macro_rmse,1.7316262939173888,1.7316262939173888,0.0,True
validation,0.0,macro_r2,0.5382262902979155,0.5382262902979155,0.0,True
validation,0.0,mean_p95_relative_error,0.07750608160624331,0.0775060816062433,1.3877787807814457e-17,True
validation,0.0,mean_p99_relative_error,0.1027308311074047,0.1027308311074047,0.0,True
validation,0.0,mean_p99_underprediction_fraction,0.08888445636429818,0.0888844563642981,6.938893903907228e-17,True
validation,0.0,mean_top1pct_hotspot_overlap,0.6005161505161506,0.6005161505161506,0.0,True
validation,1.0,macro_rmse,2.02361522090841,2.023615211415424,9.492985952874733e-09,True
validation,1.0,macro_r2,0.3752390603122275,0.3752390664678587,6.155631226967273e-09,True
validation,1.0,mean_p95_relative_error,0.17537170174341857,0.1753716953613113,6.38210725933952e-09,True
validation,1.0,mean_p99_relative_error,0.07436022947927516,0.0743602322232497,2.7439745337032306e-09,True
validation,1.0,mean_p99_underprediction_fraction,0.01173141668012541,0.0117314195981117,2.9179862900963194e-09,True
validation,1.0,mean_top1pct_hotspot_overlap,0.6285714285714286,0.6285714285714286,0.0,True
internal_test,0.0,macro_rmse,1.81780270305913,1.81780270305913,0.0,True
internal_test,0.0,macro_r2,0.5666576907725785,0.5666576907725785,0.0,True
internal_test,0.0,mean_p95_relative_error,0.0404137914205892,0.0404137914205892,0.0,True
internal_test,0.0,mean_p99_relative_error,0.12470041617839665,0.1247004161783966,5.551115123125783e-17,True
internal_test,0.0,mean_p99_underprediction_fraction,0.11817108525079657,0.1181710852507965,6.938893903907228e-17,True
internal_test,0.0,mean_top1pct_hotspot_overlap,0.5767565767565768,0.5767565767565768,0.0,True
internal_test,1.0,macro_rmse,2.1481628073906704,2.148162796716269,1.0674401362820163e-08,True
internal_test,1.0,macro_r2,0.3752049468054185,0.3752049538559802,7.050561690036261e-09,True
internal_test,1.0,mean_p95_relative_error,0.14505795182998868,0.1450579444630655,7.366923182594576e-09,True
internal_test,1.0,mean_p99_relative_error,0.05672978255878146,0.0567297842513202,1.6925387411048654e-09,True
internal_test,1.0,mean_p99_underprediction_fraction,0.024678161544754117,0.0246781665331942,4.9884400811495144e-09,True
internal_test,1.0,mean_top1pct_hotspot_overlap,0.6006160506160506,0.6006160506160506,0.0,True
train,0.0,macro_rmse,1.6675681962134528,1.6675681962134528,0.0,True
train,0.0,macro_r2,0.590481340013075,0.590481340013075,0.0,True
train,0.0,mean_p95_relative_error,0.038829060439000654,0.0388290604390006,5.551115123125783e-17,True
train,0.0,mean_p99_relative_error,0.13518937524906344,0.1351893752490634,2.7755575615628914e-17,True
train,0.0,mean_p99_underprediction_fraction,0.1327813425184235,0.1327813425184235,0.0,True
train,0.0,mean_top1pct_hotspot_overlap,0.5880044325422477,0.5880044325422477,0.0,True
train,1.0,macro_rmse,1.9404449843687213,1.9404449759411877,8.427533559896005e-09,True
train,1.0,macro_r2,0.4397563754589926,0.4397563806559604,5.196967800547014e-09,True
train,1.0,mean_p95_relative_error,0.1306365998479347,0.130636594093431,5.754503679122891e-09,True
train,1.0,mean_p99_relative_error,0.058897862694266334,0.0588978640619614,1.3676950683105815e-09,True
train,1.0,mean_p99_underprediction_fraction,0.03738271125526291,0.0373827142693059,3.014042994353705e-09,True
train,1.0,mean_top1pct_hotspot_overlap,0.6144569715998288,0.6144569715998288,0.0,True
all_149_development,0.0,macro_rmse,1.6891412772083805,1.6891412772083805,0.0,True
all_149_development,0.0,macro_r2,0.5828224105880089,0.5828224105880089,0.0,True
all_149_development,0.0,mean_p95_relative_error,0.042882256964050784,0.0428822569640507,8.326672684688674e-17,True
all_149_development,0.0,mean_p99_relative_error,0.1308658011001716,0.1308658011001716,0.0,True
all_149_development,0.0,mean_p99_underprediction_fraction,0.12689136163703904,0.126891361637039,2.7755575615628914e-17,True
all_149_development,0.0,mean_top1pct_hotspot_overlap,0.5881316669907274,0.5881316669907274,0.0,True
all_149_development,1.0,macro_rmse,1.9697290172104969,1.9697290084495085,8.760988379208356e-09,True
all_149_development,1.0,macro_r2,0.4267628777609718,0.4267628832410529,5.480081055608821e-09,True
all_149_development,1.0,mean_p95_relative_error,0.13659194755372708,0.1365919415737178,5.980009293304889e-09,True
all_149_development,1.0,mean_p99_relative_error,0.06023621369925196,0.060236215238201,1.5389490445882892e-09,True
all_149_development,1.0,mean_p99_underprediction_fraction,0.033521384649325366,0.033521387852463,3.2031376370755815e-09,True
all_149_development,1.0,mean_top1pct_hotspot_overlap,0.6144845087798109,0.6144845087798109,0.0,True
