iteration,split,model,gain,n_cases,n_elements_evaluated,micro_mae,micro_rmse,micro_r2,macro_mae,macro_rmse,macro_r2,worst_case_rmse,mean_top5_actual_rmse,mean_top5_actual_bias,mean_p95_relative_error,mean_p95_underprediction_fraction,mean_p99_relative_error,mean_p99_underprediction_fraction,mean_top5pct_hotspot_overlap,mean_top1pct_hotspot_overlap,mean_top1_recall_in_predicted_top5,max_prediction_abs_max_ratio
1,internal_test,v11_global_gain_0_90,0.0,15,6005400,1.3125371006884163,1.8446023470378725,0.600114603231624,1.3125371006884161,1.81780270305913,0.5666576907725785,2.637750687278418,3.296655016951822,-1.5992052627364128,0.0404137914205892,0.0004846822167075103,0.12470041617839665,0.11817108525079657,0.5883471542278615,0.5767565767565768,0.8820179820179818,1.584976071560184
1,internal_test,v13_full_residual_gain_1_00,1.0,15,6005400,1.6257427311038017,2.204494906064188,0.4288525658155734,1.6257427311038015,2.1481628073906704,0.3752049468054185,3.671626794683669,2.8420874156146203,-0.6197781269719356,0.14505795182998868,0.0,0.05672978255878146,0.024678161544754117,0.5983281713124856,0.6006160506160506,0.9176989676989676,1.3688390138493556
1,internal_test,v13_research_residual_gain_0.125,0.125,15,6005400,1.3345243565071663,1.8655308448160073,0.5909890839301644,1.3345243565071667,1.8361210430165433,0.5563449011478824,2.7324077237088966,3.2024033507354663,-1.4767768707658533,0.051864705161318574,0.0,0.11425269795966371,0.10576171918345136,0.5943450894195225,0.5797702297702297,0.8925074925074926,1.5366957443674867
1,train,v11_global_gain_0_90,0.0,119,47642840,1.1962105479229619,1.7034218410062916,0.6290849693101972,1.1962105479229617,1.6675681962134528,0.590481340013075,3.141789642993938,3.0993226742553803,-1.6933121923708006,0.038829060439000654,0.0033592359288417187,0.13518937524906344,0.1327813425184235,0.5785196684328643,0.5880044325422477,0.8807767862389713,1.5431716164658207
1,train,v13_full_residual_gain_1_00,1.0,119,47642840,1.459595373638627,2.0025894936147575,0.487358363312938,1.4595953736386271,1.9404449843687213,0.4397563754589926,4.251567123155821,2.634457952646559,-0.8293801402338018,0.1306365998479347,0.0,0.058897862694266334,0.03738271125526291,0.5896407518947234,0.6144569715998288,0.9154123187736632,1.3411044990022938
1,train,v13_research_residual_gain_0.125,0.125,119,47642840,1.2132832000077247,1.7194554556926411,0.622069563738612,1.213283200007725,1.6812533504503058,0.5833544223184947,3.24564487406979,3.0096181990776185,-1.5853206858536761,0.046088015331049025,0.0012919308221289215,0.122925249197492,0.11971539240536917,0.58474641730006,0.5923068528110542,0.8889178048841913,1.4958794369011472
1,validation,v11_global_gain_0_90,0.0,15,6005400,1.2289518471083385,1.7697634171088934,0.6524031539868308,1.228951847108338,1.7316262939173888,0.5382262902979155,2.2449147059669055,2.990330813766448,-1.3960823112126088,0.07750608160624331,0.0019880651330813127,0.1027308311074047,0.08888445636429818,0.5719152762513738,0.6005161505161506,0.8816516816516816,1.131529484708222
1,validation,v13_full_residual_gain_1_00,1.0,15,6005400,1.508958983814444,2.0743528010836627,0.5224590222034198,1.5089589838144444,2.02361522090841,0.3752390603122275,2.7563811762902497,2.5820853308012404,-0.47210335922120866,0.17537170174341857,0.0,0.07436022947927516,0.01173141668012541,0.5820961134978518,0.6285714285714286,0.9164169164169164,0.9946177020068933
1,validation,v13_research_residual_gain_0.125,0.125,15,6005400,1.24611321995887,1.7846729811175792,0.646521748918975,1.2461132199588698,1.7458981506233875,0.5307552856063856,2.272181154453946,2.9011696339349036,-1.2805849422136837,0.08673972827603772,0.0007366927014786115,0.09416300581447384,0.07712429501464836,0.5776401238885003,0.6041458541458542,0.88994338994339,1.099486060390482
1,all_149_development,v11_global_gain_0_90,0.0,149,59653640,1.211217378656267,1.724896992956358,0.6290135142159703,1.211217378656267,1.6891412772083805,0.5828224105880089,3.141789642993938,3.1082160113903643,-1.6539158691366487,0.042882256964050784,0.0029318139985167586,0.1308658011001716,0.12689136163703904,0.578844140944291,0.5881316669907274,0.8809898155535739,1.584976071560184
1,all_149_development,v13_full_residual_gain_1_00,1.0,149,59653640,1.481291108636042,2.0310913139680755,0.4856122029674049,1.4812911086360423,1.9697290172104969,0.4267628777609718,4.251567123155821,2.650087835981063,-0.7723118052397286,0.13659194755372708,0.0,0.06023621369925196,0.033521384649325366,0.5897557969639405,0.6144845087798109,0.9157436523208333,1.3688390138493556
1,all_149_development,v13_research_residual_gain_0.125,0.125,149,59653640,1.2287937211269118,1.741336494677373,0.621908282870422,1.2287937211269118,1.703351923544868,0.5753401279007712,3.24564487406979,3.0181084594650476,-1.5437153611495338,0.05076201561043744,0.0011059742171511463,0.11915664571217191,0.11402296583362703,0.5849973279082382,0.5922366224379647,0.889382429650886,1.5366957443674867
