candidate_id,model_family,feature_set,alpha,shrinkage,n_features,model_complexity,cv_selection_score,mean_oracle_loss_ratio,weighted_gain_mae,p90_absolute_gain_error,gain_saturation_fraction,fit_failure,outer_fold,selected_in_outer_fold
huber__physical_plus_tail_13__a0.001__s0.50,huber,physical_plus_tail_13,0.001,0.5,13,15,1.0098077423019622,0.9949184666332106,0.0778181032731463,0.14214930682873694,0.0,,0,False
huber__physical_plus_tail_13__a0.001__s0.75,huber,physical_plus_tail_13,0.001,0.75,13,15,1.0064810579556194,0.993068736751858,0.06964035303724155,0.12560437346293152,0.008403361344537815,,0,False
huber__physical_plus_tail_13__a0.001__s1.00,huber,physical_plus_tail_13,0.001,1.0,13,15,1.005093110776871,0.9916288409380433,0.06689095847413258,0.13214213529047636,0.008403361344537815,,0,False
huber__physical_plus_tail_13__a0.01__s0.50,huber,physical_plus_tail_13,0.01,0.5,13,15,1.0093566197872932,0.9947966039446131,0.07709057304572482,0.13701917076215347,0.0,,0,False
huber__physical_plus_tail_13__a0.01__s0.75,huber,physical_plus_tail_13,0.01,0.75,13,15,1.006213634726714,0.9929522855177986,0.06872993151305233,0.12440577661439427,0.008403361344537815,,0,False
huber__physical_plus_tail_13__a0.01__s1.00,huber,physical_plus_tail_13,0.01,1.0,13,15,1.0045492358086876,0.9914688097291731,0.06563828670782536,0.12697060363682672,0.008403361344537815,,0,False
huber__physical_plus_tail_13__a0.1__s0.50,huber,physical_plus_tail_13,0.1,0.5,13,15,1.008801144026271,0.9946043433254725,0.07591084295077748,0.13211432811441232,0.0,,0,False
huber__physical_plus_tail_13__a0.1__s0.75,huber,physical_plus_tail_13,0.1,0.75,13,15,1.0052082029343998,0.9926915005733085,0.06709967179031927,0.1161347036411888,0.0,,0,False
huber__physical_plus_tail_13__a0.1__s1.00,huber,physical_plus_tail_13,0.1,1.0,13,15,1.0041632755003267,0.9912342346668753,0.0635058480500406,0.12820777603113132,0.008403361344537815,,0,False
constant_global_0_90,constant,none,0.0,0.0,0,0,1.0179700003403052,1.0,0.10220000340305316,0.15500000000000008,0.0,,1,False
ridge__physical_9__a0.1__s0.50,ridge,physical_9,0.1,0.5,9,10,1.0061248136299925,0.9937095483802219,0.06727941603881409,0.11374647291778225,0.0,,1,False
ridge__physical_9__a0.1__s0.75,ridge,physical_9,0.1,0.75,9,10,1.0014883370098286,0.9914261604376091,0.056438506411677795,0.08836651862103384,0.0,,1,False
ridge__physical_9__a0.1__s1.00,ridge,physical_9,0.1,1.0,9,10,1.0001076681417733,0.9897188020918726,0.05440048581291409,0.09897634937218432,0.0,,1,True
ridge__physical_9__a1__s0.50,ridge,physical_9,1.0,0.5,9,10,1.0058228044504622,0.9937099807592698,0.06825621747123295,0.10574403888138385,0.0,,1,False
ridge__physical_9__a1__s0.75,ridge,physical_9,1.0,0.75,9,10,1.001850304057425,0.9914212109681857,0.05867406579170798,0.09123373020136806,0.0,,1,False
ridge__physical_9__a1__s1.00,ridge,physical_9,1.0,1.0,9,10,1.0001404612248639,0.9897152420220698,0.055381395496581484,0.09774159306272029,0.0,,1,False
ridge__physical_9__a10__s0.50,ridge,physical_9,10.0,0.5,9,10,1.0062408859845777,0.9939217880043565,0.07029492546234492,0.10579210867973643,0.0,,1,False
ridge__physical_9__a10__s0.75,ridge,physical_9,10.0,0.75,9,10,1.0023066558281537,0.9916799693415992,0.06074219870008297,0.09104933233092317,0.0,,1,False
ridge__physical_9__a10__s1.00,ridge,physical_9,10.0,1.0,9,10,1.00068069275209,0.9899822238098012,0.057137371778285914,0.09969463528920057,0.0,,1,False
ridge__physical_9__a100__s0.50,ridge,physical_9,100.0,0.5,9,10,1.009021923554037,0.99522614751869,0.07727208052769781,0.12137135965154217,0.0,,1,False
ridge__physical_9__a100__s0.75,ridge,physical_9,100.0,0.75,9,10,1.0051756289996014,0.9932724661548781,0.0678176333244474,0.10242799024557078,0.0,,1,False
ridge__physical_9__a100__s1.00,ridge,physical_9,100.0,1.0,9,10,1.0023895277533368,0.9916231965097514,0.06081173352704464,0.09370315781762016,0.0,,1,False
huber__physical_9__a0.001__s0.50,huber,physical_9,0.001,0.5,9,11,1.0058269343512651,0.9935884985257607,0.06658494267999888,0.11159883115009478,0.0,,1,False
huber__physical_9__a0.001__s0.75,huber,physical_9,0.001,0.75,9,11,1.001208349656419,0.9913111052559078,0.055632736580513,0.08667941484919794,0.0,,1,False
huber__physical_9__a0.001__s1.00,huber,physical_9,0.001,1.0,9,11,1.0005504612769598,0.9896496884145943,0.055934353670732316,0.1061467499058455,0.0,,1,False
huber__physical_9__a0.01__s0.50,huber,physical_9,0.01,0.5,9,11,1.005827449146123,0.9935887436419101,0.06658802162944163,0.11159806682537188,0.0,,1,False
huber__physical_9__a0.01__s0.75,huber,physical_9,0.01,0.75,9,11,1.0012071127527444,0.9913110672781947,0.05563445610000269,0.08665199729098845,0.0,,1,False
huber__physical_9__a0.01__s1.00,huber,physical_9,0.01,1.0,9,11,1.000548970276897,0.9896491089717672,0.0559194888932806,0.10615824831603751,0.0,,1,False
huber__physical_9__a0.1__s0.50,huber,physical_9,0.1,0.5,9,11,1.0058310321795945,0.99359124869316,0.06662236175180015,0.11155094622508965,0.0,,1,False
huber__physical_9__a0.1__s0.75,huber,physical_9,0.1,0.75,9,11,1.0011925061875508,0.9913108588122844,0.055656617060666685,0.08631971338399501,0.0,,1,False
huber__physical_9__a0.1__s1.00,huber,physical_9,0.1,1.0,9,11,1.000535466618268,0.98964427168874,0.05578546208279637,0.10625297442496628,0.0,,1,False
ridge__physical_plus_tail_13__a0.1__s0.50,ridge,physical_plus_tail_13,0.1,0.5,13,14,1.0059225087087873,0.993680001147254,0.06707073606080641,0.11070867910905398,0.0,,1,False
ridge__physical_plus_tail_13__a0.1__s0.75,ridge,physical_plus_tail_13,0.1,0.75,13,14,1.0016047138093132,0.9913946456047952,0.056394878426489874,0.09141160723737729,0.0,,1,False
ridge__physical_plus_tail_13__a0.1__s1.00,ridge,physical_plus_tail_13,0.1,1.0,13,14,1.0001152055295788,0.9897018484176467,0.05422965079126807,0.09980784065610318,0.0,,1,False
ridge__physical_plus_tail_13__a1__s0.50,ridge,physical_plus_tail_13,1.0,0.5,13,14,1.0056947968460879,0.9936646072234723,0.06789245128425185,0.10481888988380501,0.0,,1,False
ridge__physical_plus_tail_13__a1__s0.75,ridge,physical_plus_tail_13,1.0,0.75,13,14,1.0018083711999095,0.9913710332858324,0.05823426207693462,0.09227823412767172,0.0,,1,False
ridge__physical_plus_tail_13__a1__s1.00,ridge,physical_plus_tail_13,1.0,1.0,13,14,1.000338769963636,0.989675935048038,0.05503025940352165,0.10319617950491755,0.0,,1,False
ridge__physical_plus_tail_13__a10__s0.50,ridge,physical_plus_tail_13,10.0,0.5,13,14,1.005996287423261,0.9938449623492175,0.0692716715122837,0.10448315845630259,0.0,,1,False
ridge__physical_plus_tail_13__a10__s0.75,ridge,physical_plus_tail_13,10.0,0.75,13,14,1.0023734342447121,0.9915898709429458,0.05958080739956919,0.09650965123618634,0.0,,1,False
ridge__physical_plus_tail_13__a10__s1.00,ridge,physical_plus_tail_13,10.0,1.0,13,14,1.0006216147837763,0.9898942937510695,0.056002749119828645,0.10254092241447671,0.0,,1,False
ridge__physical_plus_tail_13__a100__s0.50,ridge,physical_plus_tail_13,100.0,0.5,13,14,1.0082149440155612,0.9949499772713867,0.07451825834256567,0.11626281819835962,0.0,,1,False
ridge__physical_plus_tail_13__a100__s0.75,ridge,physical_plus_tail_13,100.0,0.75,13,14,1.0042814520107046,0.9929455175858705,0.06371833490767526,0.09928201868133203,0.0,,1,False
ridge__physical_plus_tail_13__a100__s1.00,ridge,physical_plus_tail_13,100.0,1.0,13,14,1.0019867743770547,0.9913023160983845,0.058729261037720665,0.09623064349796308,0.0,,1,False
